time (s)	magX	magY	magZ
2715.673619	326.757446	-166.909409	274.932800
2715.676553	326.698975	-166.617172	273.647003
2715.679785	325.939209	-167.084747	272.361206
2715.683116	324.887207	-166.967850	270.607819
2715.686480	323.718292	-167.318527	269.964935
2715.689828	323.309174	-167.260071	268.912903
2715.693193	323.367615	-167.318527	267.042664
2715.696052	322.783142	-167.844528	265.698425
2715.699384	322.140259	-167.727631	265.932190
2715.702732	321.497375	-168.078308	264.704834
2715.706029	320.971375	-168.370529	264.354187
2715.709399	321.205139	-168.312103	263.594391
2715.712692	320.211578	-168.312103	263.360626
2715.716028	320.153107	-168.253647	262.600830
2715.718931	320.153107	-168.604309	263.126831
2715.722265	320.445343	-169.364105	263.243713
2715.725597	320.153107	-169.247223	263.535950
2715.728935	319.977783	-169.364105	265.055542
2715.732264	320.270020	-169.305664	265.230865
2715.735599	320.036224	-170.123901	265.815338
2715.738935	320.270020	-170.825241	266.808899
2715.742266	320.445343	-171.351257	267.744019
2715.745597	321.088226	-171.701920	268.562256
2715.748930	321.322021	-171.818817	270.140259
2715.752287	321.555786	-172.578613	271.718292
2715.755595	322.432495	-173.338394	273.939240
2715.758934	322.198700	-173.747513	274.699005
2715.762265	322.198700	-173.572174	276.569275
2715.765598	322.724731	-174.565750	279.023956
2715.768932	323.309174	-175.383987	280.192871
2715.772260	323.659851	-175.909988	281.653992
2715.775594	323.250732	-176.552887	283.641144
2715.778926	323.952087	-176.962006	284.985382
2715.782264	324.653412	-177.371124	286.446533
2715.785590	325.179443	-177.663345	288.141449
2715.788925	325.004089	-178.247803	291.122162
2715.792261	325.880768	-179.299820	292.641724
2715.795631	325.705414	-179.825836	293.635284
2715.798927	326.056091	-180.468719	295.914673
2715.802263	326.406769	-181.170074	297.083588
2715.805585	326.757446	-181.696075	297.960266
2715.808922	327.225006	-182.338974	299.596741
2715.812259	327.809479	-183.157211	300.882538
2715.815588	327.517242	-183.098770	302.285217
2715.818927	328.627686	-184.384567	303.863251
2715.822254	329.036804	-185.202805	305.207489
2715.825634	329.504364	-185.728806	307.369965
2715.830198	330.088837	-186.488586	310.584442
2715.833559	330.556396	-187.715942	313.331390
2715.836439	331.491516	-188.066620	314.558746
2715.839812	331.199280	-189.001755	317.013458
2715.843122	332.368195	-189.410858	319.760376
2715.846517	333.127991	-190.404434	323.267090
2715.849849	333.595551	-191.573349	325.663361
2715.853101	334.822906	-192.040909	328.819427
2715.856008	334.881348	-193.034485	332.033905
2715.859350	336.167145	-193.209808	335.599060
2715.862695	336.517822	-194.495605	338.462891
2715.866009	337.102264	-195.021622	343.021637
2715.869338	337.978943	-196.015198	346.879028
2715.872675	338.972504	-197.768539	351.905304
2715.875582	339.673859	-198.411453	356.756287
2715.878922	340.725891	-199.112793	361.256561
2715.882256	341.076569	-200.281708	366.516663
2715.885586	341.894775	-200.924591	371.835175
2715.888964	343.472809	-202.151947	376.861511
2715.892257	343.239044	-203.788422	381.595551
2715.895585	344.466400	-203.613083	387.615448
2715.898915	345.401520	-204.840439	393.635284
2715.902246	345.985962	-206.535355	398.720062
2715.905580	346.336639	-207.295135	403.863251
2715.908916	347.096436	-207.879593	409.590881
2715.912279	347.856201	-209.574509	415.669220
2715.915577	348.265320	-210.626526	421.279968
2715.918911	348.966675	-211.327881	426.715393
2715.922254	349.258881	-212.789017	432.676819
2715.925588	350.544708	-213.431900	438.404449
2715.928909	349.960236	-214.600815	444.482788
2715.932242	350.194031	-215.302155	449.275269
2715.935580	350.252472	-216.587952	455.061371
2715.938913	351.070709	-217.815308	461.139709
2715.942267	351.362946	-217.932190	466.107544
2715.945578	351.888947	-218.925781	473.004089
2715.948912	351.888947	-220.094666	479.140869
2715.952248	351.538269	-220.270004	484.459381
2715.955587	351.596741	-221.322021	490.771454
2715.958906	352.181152	-222.198715	496.499115
2715.962288	352.473389	-223.250732	502.577423
2715.965577	351.830505	-224.185852	508.831085
2715.968919	351.772064	-224.711853	515.610718
2715.972237	352.824066	-226.231445	521.455261
2715.975575	352.414948	-227.049667	528.760925
2715.978900	351.655182	-227.692566	535.715881
2715.982244	351.655182	-228.277023	542.670898
2715.985569	351.421387	-228.393921	550.502625
2715.990208	350.603149	-230.264175	566.049072
2715.993150	349.668030	-230.673279	573.588501
2715.996450	349.434265	-231.666870	582.179993
2715.999876	347.973114	-231.783737	591.531250
2716.003189	347.622437	-232.485092	600.298035
2716.006423	345.752197	-232.894211	609.590881
2716.009756	344.115692	-233.244888	617.422546
2716.013106	342.713013	-233.244888	628.644043
2716.015993	341.485687	-234.004669	638.287537
2716.019326	339.381653	-233.829346	648.281677
2716.022660	336.225586	-233.770889	658.158936
2716.026009	334.238464	-233.946213	667.919312
2716.029378	331.959076	-234.121552	678.556396
2716.032737	328.919922	-234.004669	687.556946
2716.035570	326.348328	-233.887787	698.544678
2716.038905	323.016937	-233.537109	707.603760
2716.042259	320.737579	-233.946213	717.422546
2716.045567	316.997070	-233.478653	726.656921
2716.048895	313.548798	-232.660431	737.527771
2716.052237	310.392761	-232.777313	748.223267
2716.055573	305.775574	-232.660431	756.288696
2716.058898	302.736389	-232.017532	766.224426
2716.062235	298.177673	-231.199295	774.991211
2716.065570	294.612518	-230.614838	785.043823
2716.068905	289.995300	-230.497940	793.810608
2716.072253	285.319702	-229.153717	802.635925
2716.075558	281.754517	-228.978363	811.052002
2716.078901	277.371124	-227.225006	820.111023
2716.082231	273.163055	-226.815903	829.403809
2716.085571	267.493866	-225.880753	837.527710
2716.088897	263.052002	-224.244293	845.826965
2716.092228	257.908813	-223.426071	853.541809
2716.095566	252.999420	-222.140259	862.074768
2716.098900	247.739349	-220.328461	870.374023
2716.102281	241.602570	-219.393341	878.790161
2716.105579	236.400940	-217.230850	886.914124
2716.108892	230.088837	-215.828171	894.687317
2716.112222	224.244293	-213.724136	902.460510
2716.115598	216.704834	-211.386322	909.649292
2716.118896	210.392761	-209.399170	918.416077
2716.122226	203.496185	-206.769135	926.364624
2716.125560	196.716522	-203.963760	933.085876
2716.128916	188.709534	-201.567490	941.092896
2716.132227	180.702515	-198.820572	948.632385
2716.135553	172.227936	-195.313843	955.295105
2716.138890	163.753357	-192.274689	962.425476
2716.142225	154.343658	-188.826401	969.088196
2716.145561	146.102859	-185.261246	975.225037
2716.150280	126.289886	-177.371124	986.680237
2716.153172	116.880188	-174.039734	991.648132
2716.156487	107.119812	-170.007004	995.505554
2716.159777	96.716537	-165.565155	1001.291626
2716.163077	86.254822	-161.532425	1005.850342
2716.166403	75.150208	-156.798355	1009.707764
2716.169757	65.389832	-152.473404	1012.805298
2716.173109	54.811222	-148.031555	1016.078369
2716.176002	43.765049	-143.122147	1017.364014
2716.179334	32.601986	-138.855637	1020.344727
2716.182674	21.555817	-133.186432	1020.403198
2716.185982	11.386326	-128.803040	1022.916382
2716.189310	0.690826	-124.185852	1024.026855
2716.192651	-9.537109	-119.218002	1024.786621
2716.195990	-19.648155	-115.009933	1024.552856
2716.198890	-29.876091	-110.042084	1023.091797
2716.202234	-40.279366	-105.600235	1021.630615
2716.205557	-49.163063	-101.216835	1021.104614
2716.208889	-59.390999	-96.541206	1020.870850
2716.212218	-68.976044	-91.631798	1018.065430
2716.215551	-78.794861	-87.073059	1016.312012
2716.218886	-87.853889	-82.397430	1014.909424
2716.222219	-96.796028	-77.780243	1012.162415
2716.225547	-106.673286	-72.344826	1008.947998
2716.228884	-115.030983	-67.961426	1007.311462
2716.232214	-124.148445	-62.935127	1003.512512
2716.235551	-133.207489	-58.317947	998.077148
2716.238904	-141.915833	-53.408531	995.563904
2716.242233	-150.624207	-48.265343	990.712952
2716.245552	-159.917023	-44.174168	985.043823
2716.248882	-168.157806	-38.797195	980.309692
2716.252210	-177.099945	-33.770897	976.160095
2716.255545	-184.990082	-28.744595	969.263611
2716.258877	-193.464630	-23.133839	962.600769
2716.262215	-201.880768	-17.932203	956.405579
2716.265547	-210.472260	-11.795441	948.866089
2716.268885	-219.472809	-6.886031	941.268188
2716.272208	-227.830505	-1.625950	934.196289
2716.275547	-236.071320	3.166571	926.656860
2716.278879	-243.844543	8.251316	917.422546
2716.282244	-251.325531	14.271185	909.298645
2716.285542	-260.559937	19.531267	900.473328
2716.288879	-268.391602	24.323790	891.823425
2716.292206	-275.405029	29.408533	882.998230
2716.295542	-282.301575	34.025719	873.120911
2716.298881	-289.665710	38.935127	863.009888
2716.302210	-296.270020	44.078316	853.191101
2716.305546	-302.231445	48.286385	842.729431
2716.308870	-309.244904	53.254234	831.741638
2716.313137	-320.933960	61.904152	811.519592
2716.316812	-326.135590	65.586205	801.934448
2716.319748	-331.278778	69.326706	791.414368
2716.323048	-336.071320	72.248978	781.303284
2716.326444	-340.454712	76.340149	772.361145
2716.329746	-344.370575	80.022209	762.250122
2716.333150	-348.227936	83.236702	752.139099
2716.336469	-351.793091	86.217422	743.489136
2716.339301	-355.066040	89.139679	733.962585
2716.342632	-358.864990	92.061951	725.546448
2716.345970	-361.202820	94.925781	715.610718
2716.349288	-364.651062	97.731155	706.376343
2716.352628	-366.521301	100.185852	697.843323
2716.355958	-368.976013	102.056099	688.375183
2716.358870	-371.138519	104.627701	679.374573
2716.362206	-373.242584	107.082405	670.841614
2716.365537	-375.755707	109.829338	662.191650
2716.368889	-376.515503	111.816490	653.483337
2716.372201	-377.918213	113.102272	645.008728
2716.375535	-380.372925	115.323204	636.884827
2716.378870	-381.366455	117.719460	628.877808
2716.382204	-382.593842	119.414375	619.000549
2716.385596	-383.353607	121.167732	609.649292
2716.388866	-384.405609	122.804207	601.817627
2716.392202	-384.580963	124.732903	593.109253
2716.395532	-386.042084	126.544701	582.296875
2716.398902	-386.977203	128.239639	574.231445
2716.402196	-387.678589	129.817657	564.471069
2716.405529	-388.029236	131.278793	556.054932
2716.408867	-387.737000	132.623032	546.060730
2716.412217	-388.555237	134.025711	536.592590
2716.415532	-387.853912	135.136185	527.884216
2716.418866	-388.087646	136.305099	518.474548
2716.422196	-388.555237	137.824661	509.474030
2716.425529	-388.613708	138.350677	501.057892
2716.428859	-387.327881	139.636475	491.122162
2716.432197	-386.918793	140.279373	482.998260
2716.435528	-386.100525	141.214508	474.932800
2716.438863	-385.866730	141.682068	464.763275
2716.442193	-385.340759	142.675644	456.580933
2716.445526	-384.639404	143.552322	449.099945
2716.448856	-383.353607	143.844543	441.151367
2716.452195	-382.710693	144.195206	433.670349
2716.455534	-381.658691	143.844543	426.656921
2716.458911	-380.022186	144.955002	419.994141
2716.462199	-379.203979	145.130341	412.746918
2716.465529	-377.567535	144.955002	405.967255
2716.468857	-377.041504	145.305664	399.830505
2716.472191	-375.989502	145.422562	393.693756
2716.476815	-373.067230	145.188782	382.296906
2716.479738	-371.839874	145.656342	377.036835
2716.483063	-370.320282	145.773239	371.835175
2716.486397	-368.683807	145.305664	366.341339
2716.489815	-367.456451	146.065460	362.133270
2716.493112	-366.345978	146.007019	357.866730
2716.496378	-364.534180	145.714798	353.541809
2716.499310	-363.657532	146.007019	347.638824
2716.502608	-362.021057	145.773239	342.787842
2716.505942	-359.800110	145.539444	338.872009
2716.509287	-358.806580	145.364120	333.904144
2716.512620	-358.105225	145.481018	330.923431
2716.515970	-356.410309	145.305664	325.897156
2716.519295	-355.007599	144.896561	322.098175
2716.522184	-353.429596	145.071884	318.065460
2716.525513	-351.734680	145.013458	313.331390
2716.528863	-350.682648	145.013458	308.480438
2716.532209	-348.929291	145.071884	304.681458
2716.535519	-347.526611	144.428986	300.590302
2716.538849	-345.773254	145.013458	296.440674
2716.542189	-344.779663	144.545883	291.765045
2716.545520	-342.909424	143.902985	287.264740
2716.548856	-342.032745	144.078323	283.173584
2716.552184	-339.753357	143.669205	279.199310
2716.555515	-337.824646	143.143204	274.465210
2716.558847	-336.071320	143.552322	270.783173
2716.562187	-334.434845	143.084747	266.808899
2716.565514	-333.265930	142.909424	263.068390
2716.568845	-331.921692	143.084747	259.327881
2716.572193	-330.168335	142.558746	255.470490
2716.575515	-328.239624	141.974289	252.255981
2716.578851	-326.836945	141.156052	248.573944
2716.582184	-325.609589	140.863831	245.827011
2716.585512	-324.031586	140.688492	242.320267
2716.588850	-322.570435	140.279373	239.105789
2716.592186	-321.693756	140.396255	236.300415
2716.595510	-319.881958	139.870270	233.962601
2716.598870	-319.531281	140.279373	231.917023
2716.602208	-317.719452	139.578033	229.462311
2716.605510	-316.258331	139.344254	227.182938
2716.608847	-314.855652	138.818237	224.377563
2716.612181	-313.745209	138.701355	223.500870
2716.615529	-312.810059	138.759796	220.987717
2716.618844	-311.115143	138.642914	219.468155
2716.622173	-310.822937	138.701355	217.481018
2716.625514	-309.946228	138.233795	215.552307
2716.628839	-309.361786	138.058441	214.792511
2716.632178	-308.192871	138.116898	213.565186
2716.636917	-306.381073	138.116898	211.694931
2716.639840	-305.738159	137.298676	210.233780
2716.643121	-305.270599	137.649338	208.772659
2716.646470	-304.101715	137.649338	207.779068
2716.649695	-303.341919	137.824661	206.610168
2716.653021	-302.874359	137.181778	205.499725
2716.656347	-302.114563	137.707779	204.623032
2716.659741	-301.120972	137.357101	203.863235
2716.662596	-301.120972	137.240219	202.869675
2716.665929	-299.893646	137.473999	201.466980
2716.669290	-298.900055	137.298676	201.174759
2716.672612	-297.906494	137.240219	199.713608
2716.675963	-297.555847	137.415558	197.901825
2716.679269	-296.796051	137.240219	196.557571
2716.682601	-296.094696	137.298676	195.388672
2716.685501	-294.750427	137.298676	193.752197
2716.688865	-294.575104	136.597305	193.343094
2716.692172	-294.107544	136.246643	191.940399
2716.695502	-293.347748	136.655762	191.005264
2716.698836	-293.055542	136.538879	189.018112
2716.702169	-292.704865	136.421982	188.725891
2716.705501	-291.594391	136.655762	187.790771
2716.708837	-291.126831	136.421982	186.504974
2716.712167	-291.068390	136.714203	186.271194
2716.715497	-290.834595	136.480423	185.511398
2716.718829	-289.431915	136.655762	184.517838
2716.722164	-289.490356	136.889542	183.524261
2716.725496	-289.490356	136.772659	182.998245
2716.728832	-288.789001	136.597305	182.822922
2716.732173	-289.139679	136.831100	183.582703
2716.735523	-289.256592	137.240219	183.348923
2716.738865	-288.555237	137.473999	183.758041
2716.742161	-288.613678	137.649338	184.108704
2716.745501	-289.198151	137.590881	184.225601
2716.748828	-289.198151	137.941559	184.634720
2716.752162	-288.730591	137.766235	184.985397
2716.755497	-289.431915	138.409119	185.628296
2716.758826	-289.373474	139.168915	186.621872
2716.762168	-289.315033	138.993576	187.498535
2716.765501	-290.016357	139.168915	188.258331
2716.768828	-290.133270	140.279373	189.544128
2716.772168	-290.133270	140.337830	190.888367
2716.775502	-290.893066	141.389832	191.589706
2716.778820	-291.711304	141.389832	193.518417
2716.782160	-292.061951	142.091187	194.219757
2716.785495	-292.471069	142.558746	195.213333
2716.788826	-292.295746	142.792526	197.317352
2716.792163	-292.354187	142.675644	197.668030
2716.795499	-293.113983	142.967850	198.661606
2716.800185	-293.698425	145.130341	200.824097
2716.803136	-294.341339	144.838104	202.519012
2716.806375	-295.218018	145.305664	202.986572
2716.809675	-295.393341	146.416138	204.681458
2716.813071	-295.802460	146.182358	205.207489
2716.816364	-296.854492	147.818832	206.025711
2716.819760	-296.854492	147.468155	206.727066
2716.823090	-296.503815	147.994156	208.071304
2716.825932	-297.438934	148.461731	208.480423
2716.829257	-297.906494	148.637054	209.941559
2716.832586	-299.133850	149.689072	211.110474
2716.835914	-299.309174	149.747528	211.811798
2716.839245	-299.250732	150.098190	213.682053
2716.842579	-300.127411	151.091766	214.734070
2716.845913	-300.536530	152.260681	216.019867
2716.848822	-300.945648	152.436005	217.773239
2716.852152	-302.114563	153.078903	218.299240
2716.855511	-302.757446	153.546463	221.046188
2716.858822	-303.634155	153.838699	221.747513
2716.862155	-303.926361	155.007599	223.909988
2716.865481	-305.387512	155.124496	226.014038
2716.868818	-306.497955	156.118073	227.825836
2716.872150	-307.842224	157.286972	230.631210
2716.875522	-308.251312	157.754547	233.319702
2716.878818	-309.770905	158.105209	236.651077
2716.882147	-311.056702	159.800125	239.339569
2716.885485	-311.524261	160.676804	242.203400
2716.888817	-311.816498	161.144363	245.534775
2716.892146	-313.569855	162.780838	248.924622
2716.895482	-315.147888	163.248398	253.191101
2716.898854	-315.966125	164.125076	256.113373
2716.902150	-317.251892	165.352432	259.912354
2716.905483	-318.537689	166.755112	263.652832
2716.908819	-319.589722	167.398026	268.153137
2716.912151	-321.401520	168.859146	271.192291
2716.915482	-322.511993	169.443604	275.575684
2716.918815	-323.564026	170.495621	279.549988
2716.922151	-324.674469	171.080078	283.524261
2716.925481	-325.434265	171.839874	287.381653
2716.928814	-327.479858	173.417892	291.589722
2716.932146	-328.122742	174.294571	295.856232
2716.935475	-328.999420	175.171249	300.239624
2716.938814	-330.402130	175.346588	304.038574
2716.942165	-331.103455	176.924606	307.077728
2716.945519	-331.921692	177.976639	311.052002
2716.948815	-334.201050	178.736420	316.253662
2716.952145	-334.727081	179.905319	319.994171
2716.955475	-335.311523	180.898895	324.319122
2716.958805	-336.129761	181.541794	328.059631
2716.963450	-338.350677	183.470505	337.060211
2716.966408	-339.753357	184.464066	341.852722
2716.969691	-340.805389	185.048523	345.359436
2716.973023	-340.805389	185.925186	350.736420
2716.976451	-342.091187	186.918777	355.061371
2716.979729	-343.143219	188.379898	359.503204
2716.982998	-344.253662	188.672119	364.938629
2716.985944	-345.130341	189.899475	369.614258
2716.989235	-345.890137	190.893036	375.225006
2716.992565	-347.468140	191.302170	380.601990
2716.995908	-347.760376	192.354187	386.621857
2716.999230	-348.578613	192.938644	392.700165
2717.002562	-348.753967	194.049103	398.778503
2717.005923	-349.630615	195.042664	404.564606
2717.008800	-350.799530	195.977798	411.636475
2717.012142	-350.857971	196.737595	418.299225
2717.015470	-351.384003	197.848053	425.429565
2717.018869	-351.910004	198.490936	433.436615
2717.022136	-351.851562	199.426071	440.976013
2717.025473	-352.611359	199.835190	447.872620
2717.028842	-352.845123	200.653427	456.990082
2717.032138	-352.728241	201.179443	464.412628
2717.035489	-353.663361	202.465240	473.763855
2717.038801	-353.020447	202.231445	482.647583
2717.042134	-353.663361	203.458801	490.362366
2717.045462	-352.085327	203.984818	499.187622
2717.048800	-352.085327	203.867920	508.129791
2717.052136	-351.384003	204.569260	516.662720
2717.055470	-350.448883	204.277023	525.078857
2717.058802	-350.741119	205.445953	534.663879
2717.062133	-349.279968	205.095276	543.489136
2717.065461	-348.520172	204.861481	551.729980
2717.068799	-347.877258	205.270615	560.438293
2717.072150	-346.649902	204.861481	569.555786
2717.075459	-345.305695	204.393921	577.212158
2717.078801	-344.604340	203.867920	586.680237
2717.082130	-342.967865	204.803055	595.680847
2717.085464	-341.272949	204.569260	604.213867
2717.088818	-339.519592	204.101700	611.987122
2717.092132	-337.707794	203.517258	620.403259
2717.095465	-335.779083	203.283463	629.696045
2717.098796	-333.908813	202.465240	638.287537
2717.102131	-332.330811	201.763885	647.463440
2717.105464	-329.700775	201.179443	655.119812
2717.108793	-327.830505	200.185852	664.120361
2717.112127	-324.966705	199.367630	672.594971
2717.115477	-322.395081	198.783173	681.478638
2717.118796	-320.291077	198.023376	690.537659
2717.122128	-316.667450	196.562256	699.246033
2717.126821	-309.829346	193.698425	717.714783
2717.129724	-306.381073	192.412628	727.007568
2717.133090	-302.289886	190.425476	736.358826
2717.136374	-298.432495	188.087662	746.002319
2717.139658	-294.165985	186.392746	755.411987
2717.142979	-288.964355	184.347168	765.113953
2717.146315	-284.113403	182.476913	774.991211
2717.149664	-278.677979	180.314453	785.394470
2717.152544	-273.301025	177.918182	794.979492
2717.155909	-267.924042	175.054367	804.798340
2717.159260	-261.728821	172.774994	815.435364
2717.162577	-255.650513	169.735840	824.728271
2717.165889	-248.987732	166.696686	835.248291
2717.169218	-242.149628	163.306839	844.482727
2717.172545	-234.317963	159.683228	853.424866
2717.175495	-227.830505	156.351852	863.594360
2717.178790	-220.057281	153.137344	873.004089
2717.182122	-212.400940	149.104614	881.887756
2717.185457	-203.634155	145.481018	891.472778
2717.188801	-196.679138	140.922272	899.246094
2717.192123	-188.789001	136.947983	907.779053
2717.195452	-180.372894	133.149048	915.727661
2717.198788	-171.664520	129.291656	923.500854
2717.202121	-163.248383	124.323784	931.040344
2717.205454	-154.598480	120.232613	938.170654
2717.208790	-145.422577	116.141426	946.177612
2717.212113	-136.597321	111.348915	952.080688
2717.215448	-128.531860	106.907074	957.749756
2717.218798	-119.472816	102.348335	963.945068
2717.222148	-110.998253	96.854462	970.081726
2717.225447	-102.289894	92.354179	973.705444
2717.228776	-93.756859	88.087669	978.731689
2717.232123	-85.165405	83.412041	984.400879
2717.235447	-76.223267	78.677963	988.316772
2717.238780	-67.514908	74.002335	992.641663
2717.242114	-57.754524	68.625366	995.973022
2717.245447	-49.396843	64.066620	999.304443
2717.248785	-40.162476	59.332558	1002.518982
2717.252117	-31.161888	54.364700	1004.155457
2717.255449	-21.635300	49.689072	1007.895996
2717.258778	-12.342487	44.545876	1010.058472
2717.262133	-2.932789	39.519577	1011.753296
2717.265443	7.002922	34.668610	1012.396301
2717.268783	16.237288	29.116308	1014.909424
2717.272108	26.582115	23.914671	1015.493774
2717.275444	35.991817	18.245470	1017.305664
2717.278777	47.096436	12.985388	1016.487427
2717.282109	57.382820	8.309761	1016.428955
2717.285452	67.552307	2.757452	1015.143127
2717.289703	88.417297	-9.165400	1013.623535
2717.292957	98.119232	-14.191700	1012.045532
2717.296290	108.990067	-20.211571	1010.818237
2717.299631	118.867325	-25.646990	1008.947998
2717.302976	129.387497	-31.491524	1004.564514
2717.306354	139.673874	-36.576271	1001.759155
2717.309717	149.025131	-41.777908	998.018677
2717.312552	158.843948	-47.154877	994.044434
2717.315959	168.954987	-52.590302	990.128540
2717.319220	178.247803	-58.084160	985.628235
2717.322525	187.715973	-62.876678	980.134399
2717.325865	196.015198	-67.435417	974.815857
2717.329205	204.665100	-72.637054	970.315613
2717.332525	213.139679	-77.488014	964.237244
2717.335441	222.198700	-81.988312	957.282288
2717.338773	229.387482	-86.605499	951.203979
2717.342098	236.926941	-90.696671	942.495605
2717.345438	243.823517	-95.255409	936.709534
2717.348791	251.304504	-99.112801	930.105164
2717.352105	257.441254	-103.203979	922.916382
2717.355438	264.513153	-106.827591	915.844482
2717.358769	270.007019	-110.334305	908.129761
2717.362105	276.026886	-113.957916	901.817627
2717.365456	281.871429	-117.055527	894.804138
2717.368767	287.248413	-120.094688	887.615417
2717.372105	292.391602	-123.835190	879.783752
2717.375433	297.008789	-126.815895	872.185852
2717.378769	301.918152	-129.562820	863.769653
2717.382106	306.827576	-132.134415	856.113403
2717.385436	311.035645	-135.173569	849.684387
2717.388767	315.243713	-138.563416	840.274658
2717.392096	319.568665	-141.018112	832.501465
2717.395435	323.542938	-143.765045	824.377563
2717.398768	327.575684	-145.752197	814.967834
2717.402095	331.374603	-148.674454	806.259460
2717.405437	335.173584	-150.778488	798.077148
2717.408766	338.388092	-153.350082	789.076538
2717.412097	342.245453	-155.746338	780.426636
2717.415435	345.635284	-157.791931	770.549316
2717.418760	348.674469	-159.662170	762.191650
2717.422099	351.830505	-162.058441	752.898865
2717.425432	354.752777	-163.694901	743.255371
2717.428757	358.084137	-166.091171	733.027466
2717.432095	360.188202	-167.902969	723.325500
2717.435470	363.285797	-169.247223	713.857361
2717.438767	365.974274	-170.708344	704.272339
2717.442096	367.610748	-172.520157	694.687317
2717.445427	369.364105	-174.215073	684.985352
2717.450064	373.104614	-177.020447	665.639954
2717.452985	374.974854	-177.897125	656.522461
2717.456300	375.793091	-179.475159	646.703674
2717.459642	377.488007	-180.877838	637.878418
2717.463069	378.072479	-181.754532	628.994690
2717.466357	378.832275	-182.689651	620.286377
2717.469657	379.825836	-182.689651	611.694885
2717.472937	380.176483	-183.800110	603.570984
2717.475844	380.293396	-184.852127	594.219727
2717.479197	380.819397	-185.728806	586.621826
2717.482518	381.053192	-186.079483	579.725281
2717.485850	380.936279	-186.839264	572.302734
2717.489182	381.812958	-187.365280	564.354187
2717.492538	380.527191	-188.125061	556.990051
2717.495896	380.702515	-188.417297	550.502625
2717.498750	380.176483	-189.469315	543.664490
2717.502092	379.767395	-189.644653	536.709473
2717.505454	378.715363	-189.586197	529.812927
2717.508756	378.130920	-190.462891	523.442383
2717.512083	378.014008	-191.164230	517.364075
2717.515455	377.546448	-190.579773	511.344269
2717.518754	376.552887	-191.281113	505.090607
2717.522096	376.085327	-190.871994	499.362976
2717.525418	375.442413	-191.748672	493.635284
2717.528755	374.273499	-191.573349	487.673889
2717.532079	373.630615	-191.631790	482.296906
2717.535419	372.929291	-191.690231	476.686157
2717.538754	372.111023	-191.573349	470.315613
2717.542085	371.643463	-192.157791	462.834625
2717.545423	370.533020	-192.040909	456.756287
2717.548749	369.481018	-191.924011	450.970184
