crossing time (s)	slope (V/s)	crossing number
4305.378107	13.763764	8722
4310.985120	43.345658	8723
4311.986198	42.085216	8724
4313.102688	42.633792	8725
4314.047889	39.415117	8726
4315.121398	45.386310	8727
4316.152016	37.693203	8728
4317.125660	34.304196	8729
4318.174278	31.372174	8730
4319.193600	36.598970	8731
4320.208768	28.196860	8732
4321.225077	28.216433	8733
4322.232089	29.598376	8734
4323.342978	30.615759	8735
4324.270973	25.628391	8736
4325.345577	25.829452	8737
4326.337392	21.672943	8738
4327.361719	15.525540	8739
4328.351083	19.117009	8740
4329.439404	22.742593	8741
4330.394948	22.456793	8742
4331.418885	16.551947	8743
4332.490962	16.653058	8744
4333.516499	17.518146	8745
4334.460773	18.550234	8746
4335.605450	13.882269	8747
4336.499480	14.166028	8748
4337.634612	14.900887	8749
4338.569149	12.423010	8750
4339.742925	11.763582	8751
4340.596084	12.790934	8752
4341.759007	5.254398	8753
4342.649549	11.173269	8754
4343.823004	9.452704	8755
4344.734838	10.898927	8756
4345.772692	9.595073	8757
4346.836438	7.425022	8758
4347.844484	9.680568	8759
4348.853101	3.342479	8760
4349.865121	3.922355	8761
4350.872760	6.499888	8762
4351.977930	5.522952	8763
4352.884919	7.898036	8764
4354.029523	6.431484	8765
4354.923528	5.930562	8766
4356.071926	-0.280626	8767
