time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
7511.150849	266.052246	-0.756071	0.040909	67
7513.200627	266.038361	-0.658407	0.036822	69
7515.248477	266.068909	-0.571313	0.031975	71
7517.296214	266.067230	-0.494147	0.027608	73
7519.341249	266.064758	-0.427522	0.023659	75
7521.389214	265.977875	-0.368723	0.020563	77
7523.436714	265.904572	-0.318033	0.017746	79
7525.482802	265.961243	-0.274594	0.015203	81
7527.525651	265.932892	-0.236216	0.013026	83
7529.569111	273.985413	-0.155349	0.020982	85
7530.664362	79.815918	-0.141593	0.017617	87
