time (s)	det(V)
7510.502183	0.973058	
7510.503701	0.874654	
7510.505427	0.927038	
7510.506941	0.744495	
7510.508674	0.921141	
7510.510203	0.709984	
7510.511896	0.883500	
7510.513445	0.714802	
7510.515138	0.878380	
7510.516696	0.659352	
7510.518352	0.816090	
7510.519941	0.637865	
7510.521595	0.788085	
7510.523186	0.552771	
7510.524820	0.725924	
7510.526426	0.541452	
7510.528056	0.699841	
7510.529723	0.507706	
7510.531310	0.640874	
7510.532981	0.516569	
7510.534581	0.571027	
7510.536237	0.434117	
7510.537838	0.565267	
7510.539510	0.407711	
7510.541078	0.492221	
7510.542792	0.387691	
7510.544328	0.468418	
7510.546041	0.384738	
7510.547585	0.409347	
7510.549313	0.395481	
7510.550827	0.379682	
7510.552590	0.332011	
7510.554099	0.320317	
7510.555881	0.330541	
7510.557358	0.285899	
7510.559138	0.331318	
7510.560613	0.293589	
7510.562377	0.305908	
7510.563856	0.181271	
7510.565606	0.301061	
7510.567107	0.167720	
7510.568868	0.305396	
7510.570365	0.189554	
7510.572120	0.274358	
7510.573636	0.173134	
7510.575355	0.290721	
7510.576884	0.113616	
7510.578582	0.272952	
7510.580135	0.113136	
7510.581838	0.305114	
7510.583398	0.074581	
7510.585068	0.272009	
7510.586646	0.046907	
7510.588314	0.246369	
7510.589893	0.024888	
7510.591540	0.234929	
7510.593148	0.033964	
7510.594770	0.220745	
7510.596387	0.094457	
7510.597986	0.244198	
7510.599662	0.129338	
7510.601252	0.207713	
7510.602912	0.137073	
7510.604402	0.090989	
7510.605957	0.103211	
7510.607453	0.067282	
7510.609079	0.145580	
7510.610569	0.089720	
7510.612183	0.174697	
7510.613685	0.085281	
7510.615258	0.172534	
7510.616812	0.090715	
7510.618299	0.104451	
7510.619972	0.121338	
7510.621457	0.090312	
7510.623079	0.064792	
7510.624601	0.092604	
7510.626244	0.092781	
7510.627725	0.084886	
7510.629364	0.131582	
7510.630845	0.048945	
7510.632556	0.127598	
7510.634035	0.033130	
7510.635729	0.128947	
7510.637204	0.028006	
7510.638908	0.129096	
7510.640404	0.012767	
7510.642077	0.157339	
7510.643621	-0.006984	
7510.645252	0.118885	
7510.646800	0.021202	
7510.648423	0.123872	
7510.649989	-0.046969	
7510.651658	0.124746	
7510.653243	-0.069508	
