time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
7312.974228	265.450623	-0.377281	0.100000	191
7315.026151	263.190460	-0.935092	0.054955	193
7317.074862	262.932648	-0.770485	0.049776	195
7319.119157	262.567291	-0.625581	0.041359	197
7321.161739	262.480408	-0.504840	0.034027	199
7323.213483	262.547272	-0.405587	0.027713	201
7325.255937	262.430237	-0.325319	0.022795	203
7327.322176	261.969177	-0.262031	0.018737	205
7329.352112	261.659546	-0.210928	0.014505	207
7331.390648	263.285736	-0.162224	0.010905	209
7333.433788	261.188324	-0.125135	0.011470	211
7335.030528	352.299683	-0.003777	0.041268	213
