crossing time (s)	slope (V/s)	crossing number
5035.721172	52.847237	9468
5036.790468	45.511373	9469
5037.790496	47.076542	9470
5038.777544	46.938427	9471
5039.860485	44.421621	9472
5040.821654	42.044467	9473
5041.914812	42.622216	9474
5042.909968	39.963800	9475
5043.915083	37.280975	9476
5044.912925	40.897800	9477
5046.011980	37.384103	9478
5046.966578	35.444456	9479
5047.982803	34.508366	9480
5049.025505	26.576306	9481
5050.079653	34.119964	9482
5051.059133	30.156797	9483
5052.109124	30.306805	9484
5053.131927	29.326496	9485
5054.126771	24.795200	9486
5055.185308	29.651181	9487
5056.191904	25.166508	9488
5057.218476	22.740320	9489
5058.222989	27.363379	9490
5059.234809	24.323827	9491
5060.273254	22.919574	9492
5061.311807	21.182023	9493
5062.269397	20.918283	9494
5063.313372	23.440331	9495
5064.336278	22.506156	9496
5065.388956	19.710016	9497
5066.402655	17.392670	9498
5067.473614	20.740081	9499
5068.499463	17.652218	9500
5069.479398	18.092712	9501
5070.535486	19.561649	9502
5071.460174	15.622372	9503
5072.618377	15.360910	9504
5073.461177	14.663166	9505
5074.592954	14.819299	9506
5075.565195	15.243576	9507
5076.643390	14.257405	9508
5077.656298	13.198429	9509
5078.709149	13.433229	9510
5079.648738	14.517549	9511
5080.755782	13.631789	9512
5081.723277	11.785836	9513
5082.806196	12.776170	9514
5083.753002	11.017067	9515
5084.760732	10.975932	9516
5085.909247	11.348293	9517
5086.847269	12.715377	9518
5087.901567	11.020442	9519
5088.928738	9.984007	9520
5090.004819	8.398467	9521
5090.934597	8.970035	9522
5092.071806	4.669110	9523
5092.948784	3.534365	9524
5094.024894	7.125379	9525
5095.083901	6.358201	9526
5096.075686	7.564333	9527
5097.089880	7.027730	9528
5098.161555	8.217617	9529
5099.101384	7.084160	9530
5100.219299	4.482638	9531
5101.172205	9.049808	9532
5102.116149	2.318798	9533
5103.182266	7.107815	9534
5104.206766	3.211311	9535
5105.277752	5.055355	9536
5106.241516	-0.056061	9537
5107.404028	0.876018	9538
5108.188215	4.567304	9539
5109.386121	3.409819	9540
5110.294067	1.186364	9541
5111.470752	3.084839	9542
5112.324189	6.853730	9543
5113.441662	2.832368	9544
5114.469324	6.229763	9545
5115.478008	4.260279	9546
5116.462904	0.770271	9547
5117.523634	2.381612	9548
