time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
7653.330476	270.914551	-0.818772	-0.035251	21
7655.376444	271.066895	-0.747333	-0.034166	23
7657.424130	271.257263	-0.679898	-0.032639	25
7659.470606	271.331879	-0.615558	-0.030423	27
7661.517500	271.284851	-0.555842	-0.028227	29
7663.572531	270.891571	-0.503048	-0.025642	31
7665.619931	270.664795	-0.456631	-0.023852	33
7667.663408	270.843689	-0.413612	-0.022278	35
7669.705802	271.140228	-0.372396	-0.020947	37
7671.741643	271.661438	-0.334166	-0.019456	39
7673.784973	271.954803	-0.300093	-0.018052	41
7675.832646	271.890747	-0.270419	-0.016438	43
7677.873679	271.986694	-0.240869	-0.015195	45
7679.924551	271.957642	-0.217076	-0.013988	47
7681.963577	271.984039	-0.194383	-0.012973	49
