time (s)	magX	magY	magZ
2504.767979	311.210999	-145.810623	196.440674
2504.771318	311.503204	-145.635300	195.505539
2504.774277	310.860321	-145.693741	195.154877
2504.777563	311.327881	-144.875504	196.031570
2504.780988	311.035645	-144.641724	196.089996
2504.784300	310.801849	-145.226181	196.557571
2504.787563	311.269409	-144.992401	196.323792
2504.790881	310.977203	-145.109283	198.310913
2504.793798	311.561646	-144.700180	196.791367
2504.797118	311.210999	-144.992401	197.843353
2504.800456	312.029205	-144.700180	199.129181
2504.803783	312.321442	-145.109283	199.070709
2504.807116	312.672119	-145.401520	199.304504
2504.810476	312.789001	-145.985977	201.116318
2504.813813	313.315002	-146.336639	202.109879
2504.816730	313.022766	-147.037979	202.226776
2504.820027	313.841034	-147.505539	203.161911
2504.823372	314.133270	-148.148437	204.973694
2504.826694	314.425476	-148.791351	205.791946
2504.830030	314.776154	-149.142014	207.077744
2504.833359	314.951477	-149.784912	207.486847
2504.836695	315.068390	-150.836929	208.129761
2504.840025	315.302155	-151.304489	209.941559
2504.843356	315.886597	-151.772064	210.701340
2504.846697	315.945038	-152.940964	211.461136
2504.850022	316.061951	-153.525406	212.396255
2504.853352	316.237274	-153.992981	213.506714
2504.856691	317.581543	-154.694336	214.324951
2504.860046	317.932190	-155.103439	215.435425
2504.863361	317.990631	-155.395676	216.487427
2504.866689	318.750427	-156.330795	218.123917
2504.870017	319.685547	-156.623016	218.357681
2504.873351	320.562225	-157.558136	220.403290
2504.876682	321.146698	-157.441254	221.981308
2504.880013	321.789581	-157.382812	224.611359
2504.883354	322.783142	-158.025711	225.488022
2504.886732	324.127411	-157.791931	227.942719
2504.890053	325.179443	-158.025711	229.345413
2504.893348	326.640564	-158.902390	231.215668
2504.896690	328.160126	-158.727051	233.261246
2504.900017	329.036804	-159.077728	235.657516
2504.903364	330.381042	-159.194611	238.112213
2504.906687	331.959076	-159.545288	240.333145
2504.910019	333.127991	-159.545288	243.489197
2504.913350	334.121552	-160.012848	245.885437
2504.916680	336.517822	-160.538864	249.041504
2504.920019	337.336060	-160.480408	251.496185
2504.923347	338.680298	-161.473984	255.002930
2504.926681	340.433655	-161.649323	258.275848
2504.931380	343.239044	-163.110458	265.347778
2504.934339	345.284637	-164.104034	268.153137
2504.937632	346.395081	-164.513153	272.711884
2504.940939	347.973114	-165.974289	276.101715
2504.944200	349.317352	-166.558731	280.309784
2504.947539	351.246033	-167.669189	282.939819
2504.950857	352.356506	-168.954987	288.492096
2504.954246	353.466980	-170.007004	292.992401
2504.957112	355.571014	-171.409683	297.492706
2504.960462	356.798370	-172.344833	301.992981
2504.963820	357.967255	-173.747513	306.201050
2504.967132	359.136169	-174.857971	311.636475
2504.970441	360.889526	-176.377548	314.967865
2504.973773	362.233765	-177.780228	320.461731
2504.976711	363.694885	-178.598480	324.494446
2504.980009	365.272919	-179.825836	329.403839
2504.983345	366.441833	-181.637634	334.956177
2504.986677	367.727631	-182.280533	340.391571
2504.990027	369.130310	-183.916992	345.125641
2504.993347	370.474579	-184.793686	350.444183
2504.996675	372.403259	-186.079483	356.697845
2505.000007	373.689087	-186.956161	360.964355
2505.003339	374.682648	-187.774399	366.691986
2505.006674	375.734650	-188.358841	372.478088
2505.010008	377.546448	-189.060181	379.082428
2505.013342	379.241364	-190.229111	384.517822
2505.016677	381.520752	-190.521317	390.128571
2505.020027	382.689636	-190.755112	397.083588
2505.023342	384.501465	-191.514893	403.804810
2505.026671	386.137939	-191.807129	410.000000
2505.030037	387.657501	-192.976028	417.130341
2505.033341	389.293976	-193.151367	424.085358
2505.036670	390.930420	-193.443604	431.566345
2505.040007	392.859131	-194.378723	438.813568
2505.043340	394.144928	-194.086487	445.943909
2505.046671	395.781403	-194.495605	454.476898
2505.050004	397.242554	-194.670944	462.367035
2505.053335	398.879028	-194.963165	472.711884
2505.056668	400.340149	-195.313843	481.069550
2505.059998	400.983032	-195.664520	489.544128
2505.063335	402.677948	-195.839859	499.012238
2505.066670	403.028625	-196.541199	507.662201
2505.069998	404.139099	-197.300980	517.364075
2505.073331	405.249573	-197.242538	526.013977
2505.076669	405.191101	-197.826996	537.001770
2505.079996	406.243134	-198.177673	546.411438
2505.083335	405.483337	-199.229675	556.464050
2505.086670	406.126221	-199.931030	566.458191
