time (s)	det(V)
2504.766749	0.008972	
2504.768236	-0.060460	
2504.769791	0.003852	
2504.771292	-0.012406	
2504.772837	-0.023770	
2504.774367	-0.086894	
2504.775918	0.002615	
2504.777473	-0.079284	
2504.778981	-0.029386	
2504.780636	-0.073826	
2504.782130	-0.038550	
2504.783768	-0.062519	
2504.785295	-0.097823	
2504.786939	-0.071522	
2504.788430	-0.091402	
2504.790088	-0.069101	
2504.791573	-0.134722	
2504.793225	-0.061769	
2504.794708	-0.083885	
2504.796424	-0.081254	
2504.797914	-0.119265	
2504.799632	-0.040012	
2504.801117	-0.167251	
2504.802796	-0.031090	
2504.804306	-0.169869	
2504.805948	-0.038880	
2504.807493	-0.144684	
2504.809112	-0.053958	
2504.810694	-0.183086	
2504.812290	-0.055916	
2504.813881	-0.162957	
2504.815451	-0.056258	
2504.817062	-0.156564	
2504.818689	-0.016902	
2504.820318	-0.145889	
2504.821915	-0.030949	
2504.823582	-0.161950	
2504.825154	-0.039968	
2504.826836	-0.178369	
2504.828420	-0.066386	
2504.830092	-0.160060	
2504.831645	-0.079578	
2504.833340	-0.108574	
2504.834900	-0.078241	
2504.836611	-0.134070	
2504.838137	-0.114254	
2504.839873	-0.128805	
2504.841359	-0.128503	
2504.843129	-0.066656	
2504.844615	-0.125574	
2504.846387	-0.130114	
2504.847875	-0.162002	
2504.849668	-0.103189	
2504.851144	-0.131036	
2504.852910	-0.073037	
2504.854394	-0.152769	
2504.856145	-0.071288	
2504.857649	-0.221307	
2504.859381	-0.067079	
2504.860906	-0.207687	
2504.862640	-0.115068	
2504.864180	-0.232405	
2504.865886	-0.074978	
2504.867435	-0.255556	
2504.869130	-0.103229	
2504.870698	-0.265071	
2504.872382	-0.105315	
2504.873955	-0.268164	
2504.875610	-0.112498	
2504.877189	-0.279452	
2504.878824	-0.141735	
2504.880426	-0.313290	
2504.882070	-0.151287	
2504.883692	-0.337766	
2504.885318	-0.189588	
2504.886988	-0.270259	
2504.888576	-0.195727	
2504.890256	-0.327050	
2504.891839	-0.234790	
2504.893526	-0.352211	
2504.895112	-0.270195	
2504.896774	-0.351647	
2504.898343	-0.301285	
2504.900057	-0.325947	
2504.901592	-0.327461	
2504.903304	-0.386339	
2504.904850	-0.360787	
2504.906568	-0.426292	
2504.908083	-0.389787	
2504.909844	-0.406690	
2504.911326	-0.400515	
2504.913111	-0.442542	
2504.914591	-0.472904	
2504.916381	-0.462434	
2504.917859	-0.502588	
2504.919642	-0.464364	
2504.921125	-0.512486	
2504.922888	-0.483599	
2504.924389	-0.593491	
2504.926152	-0.506995	
2504.927655	-0.599727	
2504.929411	-0.536309	
2504.930948	-0.637718	
2504.932448	-0.680322	
2504.934055	-0.689813	
2504.935544	-0.670424	
2504.937198	-0.694026	
2504.938703	-0.719606	
2504.940335	-0.720424	
2504.941864	-0.718744	
2504.943492	-0.717511	
2504.944971	-0.799524	
2504.946605	-0.711312	
2504.948088	-0.830643	
2504.949724	-0.722523	
2504.951200	-0.859091	
2504.952819	-0.742757	
2504.954370	-0.865169	
2504.955932	-0.821772	
2504.957499	-0.892816	
2504.959100	-0.775938	
2504.960671	-0.909348	
2504.962246	-0.829023	
2504.963863	-0.931399	
2504.965422	-0.832584	
2504.967034	-0.917296	
2504.968540	-0.903414	
2504.970221	-0.926235	
2504.971706	-0.914069	
2504.973417	-0.966615	
2504.974905	-0.978329	
2504.976624	-1.031974	
2504.978136	-0.980770	
2504.979869	-1.004086	
2504.981366	-1.001975	
2504.983148	-1.028671	
2504.984631	-1.042794	
2504.986409	-1.059129	
2504.987911	-1.076866	
2504.989704	-1.074255	
2504.991186	-1.155208	
2504.992954	-1.129069	
2504.994434	-1.183902	
2504.996187	-1.155881	
2504.997683	-1.292292	
2504.999404	-1.178271	
2505.000922	-1.311088	
2505.002653	-1.214812	
2505.004188	-1.327983	
2505.005904	-1.257214	
2505.007445	-1.436003	
2505.009138	-1.296554	
2505.010695	-1.485047	
2505.012390	-1.385350	
2505.013957	-1.525870	
2505.015623	-1.438544	
2505.017215	-1.524996	
2505.018880	-1.502007	
2505.020485	-1.526330	
2505.022133	-1.526487	
2505.023729	-1.526547	
2505.025363	-1.526749	
2505.027003	-1.526809	
2505.028611	-1.526873	
2505.030301	-1.526773	
2505.031896	-1.526861	
2505.033557	-1.526881	
2505.035162	-1.526857	
2505.036824	-1.526889	
2505.038422	-1.526885	
2505.040117	-1.526801	
2505.041681	-1.526970	
2505.043389	-1.526926	
2505.044936	-1.526873	
2505.046631	-1.526938	
2505.048176	-1.527006	
2505.049891	-1.526889	
2505.051393	-1.526930	
2505.053175	-1.527006	
2505.054656	-1.526926	
2505.056445	-1.527006	
2505.057931	-1.526926	
2505.059696	-1.526990	
2505.061178	-1.526881	
2505.062965	-1.526974	
2505.064461	-1.526954	
2505.066252	-1.526910	
2505.067737	-1.526970	
2505.069496	-1.526954	
2505.070996	-1.526982	
2505.072741	-1.526978	
2505.074258	-1.526885	
2505.075994	-1.526841	
2505.077512	-1.526910	
2505.079246	-1.526942	
2505.080802	-1.526958	
2505.082520	-1.526877	
2505.084069	-1.526970	
2505.085773	-1.526946	
2505.087335	-1.527051	
2505.088996	-1.526902	
2505.090556	-1.526986	
2505.092187	-1.526922	
2505.093795	-1.526958	
2505.095313	-1.526934	
2505.096952	-1.526970	
2505.098434	-1.526938	
2505.100054	-1.527030	
2505.101531	-1.527075	
2505.103172	-1.526942	
2505.104667	-1.527002	
2505.106294	-1.526886	
2505.107795	-1.526970	
2505.109386	-1.527030	
2505.110931	-1.526962	
2505.112496	-1.527039	
2505.114081	-1.526978	
2505.115576	-1.527018	
2505.117217	-1.526906	
2505.118782	-1.526934	
2505.120400	-1.527014	
2505.121933	-1.526898	
2505.123605	-1.527010	
2505.125080	-1.526918	
2505.126802	-1.526974	
2505.128277	-1.526978	
2505.130027	-1.527075	
2505.131496	-1.526970	
2505.133199	-1.527039	
2505.134688	-1.527018	
2505.136388	-1.526954	
2505.137879	-1.526966	
2505.139579	-1.526958	
2505.141070	-1.526982	
2505.142844	-1.526994	
2505.144338	-1.526982	
2505.146110	-1.526966	
2505.147618	-1.526954	
2505.149354	-1.526998	
2505.150868	-1.526938	
2505.152564	-1.526926	
2505.154103	-1.526970	
2505.155789	-1.526889	
2505.157348	-1.527071	
2505.159028	-1.526994	
2505.160584	-1.526958	
2505.162250	-1.526966	
2505.163825	-1.527083	
2505.165486	-1.526865	
2505.167098	-1.527051	
2505.168706	-1.526877	
2505.170333	-1.527039	
2505.171946	-1.526901	
2505.173604	-1.526994	
2505.175214	-1.526813	
2505.176868	-1.527099	
2505.178464	-1.526833	
2505.180148	-1.527127	
2505.181709	-1.527018	
2505.183413	-1.527063	
2505.184958	-1.526881	
2505.186673	-1.527014	
2505.188236	-1.526946	
2505.189948	-1.527022	
2505.191511	-1.526946	
2505.193227	-1.527051	
2505.194744	-1.526966	
2505.196493	-1.527063	
2505.197979	-1.526869	
2505.199753	-1.527043	
2505.201241	-1.526974	
2505.203023	-1.526926	
2505.204511	-1.526986	
2505.206288	-1.527018	
2505.207767	-1.526994	
2505.209542	-1.526974	
2505.211035	-1.527022	
2505.212758	-1.527075	
2505.214277	-1.526893	
2505.216009	-1.526926	
2505.217529	-1.526998	
2505.219259	-1.526982	
2505.220800	-1.526942	
2505.222527	-1.526910	
2505.224075	-1.526982	
2505.225781	-1.526946	
2505.227336	-1.527063	
2505.229035	-1.526922	
2505.230603	-1.527010	
