time (s)	magX	magY	magZ
6619.531851	-16.667446	296.562256	1236.592651
6619.535197	-16.901230	293.113983	1238.813477
6619.538516	-17.251900	289.548828	1241.326660
6619.541846	-17.953243	286.392761	1244.950317
6619.545185	-17.719463	282.769135	1248.340210
6619.548507	-18.420807	279.788422	1249.567505
6619.551845	-18.888371	276.164825	1253.600098
6619.555178	-18.011688	273.534790	1255.645752
6619.558515	-18.070137	269.092926	1258.918701
6619.561846	-18.829922	265.294006	1262.308594
6619.565174	-18.479248	262.196381	1264.470947
6619.568511	-18.654591	258.397430	1266.867310
6619.571844	-19.297485	254.072479	1269.438843
6619.575174	-19.589714	250.916412	1273.413208
6619.578531	-19.531265	246.883698	1276.043213
6619.581844	-19.414375	243.260071	1278.439453
6619.585178	-19.706604	239.461151	1281.127930
6619.588507	-19.297485	235.662186	1283.816528
6619.591839	-19.589714	231.220352	1286.271118
6619.596121	-20.641731	224.148453	1292.174194
6619.599441	-20.758621	219.881958	1294.804077
6619.602770	-21.226185	215.615433	1298.018677
6619.606025	-21.167736	211.874924	1300.531860
6619.609351	-20.817062	208.251328	1302.460571
6619.612682	-22.102859	203.984818	1306.434814
6619.616043	-22.278198	200.419647	1308.597290
6619.619404	-22.278198	196.386917	1310.116943
6619.622296	-22.862656	192.003525	1313.272949
6619.625624	-22.804207	187.795441	1315.961426
6619.628992	-22.687321	183.762726	1319.059082
6619.632263	-23.271774	179.846878	1321.221436
6619.635592	-23.505554	175.463470	1323.208618
6619.638922	-23.447105	171.313858	1325.897095
6619.641833	-23.271774	167.398026	1328.585571
6619.645168	-24.090012	163.423737	1330.046631
6619.648503	-24.265343	159.332565	1333.144287
6619.651854	-24.265343	154.890717	1335.014526
6619.655171	-24.674461	151.091766	1337.527710
6619.658499	-24.499123	146.591476	1339.631836
6619.661836	-25.375809	142.266510	1342.027954
6619.665169	-25.492699	138.759796	1344.658081
6619.668494	-25.960258	134.317947	1346.528320
6619.671830	-25.726479	129.642319	1348.457031
6619.675166	-26.077148	126.018700	1349.918091
6619.678498	-26.252480	122.161308	1352.781982
6619.681866	-25.843369	117.777901	1354.476929
6619.685165	-26.895386	114.212746	1356.989990
6619.688500	-26.778496	109.595551	1359.561646
6619.691831	-26.544716	105.095261	1361.081299
6619.695184	-26.427818	100.244301	1362.191772
6619.698494	-27.246056	95.977791	1365.523071
6619.701827	-26.895386	90.717705	1367.568604
6619.705164	-27.246056	87.094093	1368.796021
6619.708498	-27.479836	82.360023	1369.906494
6619.711827	-27.830513	77.918175	1372.361084
6619.715162	-27.888954	73.125656	1374.172974
6619.718498	-27.246056	68.917587	1375.867920
6619.721827	-27.830513	64.183517	1378.205688
6619.725184	-27.713615	59.566338	1379.725342
6619.728491	-28.064293	55.182930	1381.186401
6619.731821	-28.181183	50.857979	1382.062988
6619.735155	-27.947403	46.357689	1384.459351
6619.738491	-28.356514	41.039154	1384.868408
6619.741823	-28.181183	36.655754	1387.030884
6619.745182	-28.882523	32.330803	1389.076538
6619.748566	-28.239624	27.772062	1390.070068
6619.753091	-29.291641	19.122152	1393.752197
6619.756487	-29.642311	14.680307	1395.096436
6619.759365	-29.350090	10.180012	1395.447144
6619.762738	-29.817650	5.855057	1396.265381
6619.766114	-29.700760	1.004091	1398.369385
6619.769464	-30.343658	-3.320865	1399.771973
6619.772753	-30.168320	-7.879602	1400.181152
6619.776003	-30.635887	-12.321449	1402.109863
6619.779337	-30.752777	-16.938631	1402.168335
6619.782259	-31.044998	-20.912916	1403.570923
6619.785572	-31.512566	-25.588545	1404.564453
6619.788909	-31.103447	-29.445938	1404.739868
6619.792246	-31.687904	-33.829338	1406.025757
6619.795601	-31.804794	-37.394505	1407.194580
6619.798935	-31.512566	-41.485680	1407.662109
6619.801814	-31.863243	-45.518410	1409.123291
6619.805193	-31.687904	-49.784920	1410.233765
6619.808488	-31.746353	-53.700760	1411.578003
6619.811834	-32.272354	-58.201050	1410.876709
6619.815154	-32.564583	-61.298653	1412.513062
6619.818484	-32.447693	-66.091171	1412.279297
6619.821815	-31.921684	-70.007011	1412.805298
6619.825146	-32.389244	-74.273529	1411.928711
6619.828479	-31.921684	-78.014030	1413.915771
6619.831817	-32.272354	-82.280540	1414.383301
6619.835147	-32.623024	-86.079483	1415.026245
6619.838483	-32.213913	-90.462891	1414.734009
6619.841810	-32.681473	-95.138512	1415.844482
6619.845150	-32.038574	-98.703682	1415.669189
6619.848503	-31.921684	-101.801292	1416.312012
6619.851817	-32.155464	-106.184685	1416.896484
6619.855151	-31.921684	-110.042084	1416.838135
6619.858476	-32.330803	-114.074806	1416.896484
6619.861809	-32.272354	-118.224434	1417.013428
6619.865147	-32.564583	-122.140274	1417.948608
6619.868481	-32.739914	-126.114555	1417.422485
6619.871814	-32.681473	-129.971954	1417.773193
6619.875139	-32.973701	-133.244888	1418.649902
6619.878475	-33.733490	-137.628281	1418.065430
6619.881810	-33.558151	-141.836349	1418.007080
6619.885145	-32.973701	-145.050858	1417.305664
6619.888479	-32.973701	-148.732895	1417.714722
6619.891840	-32.856812	-152.707184	1417.364014
6619.895145	-33.207481	-156.272354	1418.007080
6619.898478	-33.382820	-159.779068	1417.305664
6619.901808	-33.207481	-162.993561	1416.779663
6619.905141	-33.675041	-167.026291	1417.539429
6619.908470	-33.265930	-170.357681	1416.896484
6619.911813	-33.616600	-173.805954	1416.312012
6619.916509	-33.499710	-180.527176	1415.026245
6619.919400	-34.025719	-183.624786	1415.376953
6619.922779	-34.493279	-186.430161	1415.026245
6619.925982	-34.317947	-189.761536	1415.143188
6619.929323	-33.791931	-193.326706	1414.266479
6619.932653	-34.084160	-196.424301	1413.506714
6619.936026	-34.376389	-199.405029	1413.857422
6619.939346	-33.850380	-201.859726	1411.987183
6619.942254	-34.493279	-204.957336	1412.220947
6619.945590	-34.493279	-208.171814	1412.220947
6619.948976	-34.493279	-211.269424	1411.461060
6619.952262	-33.967270	-213.548798	1412.513062
6619.955574	-34.259499	-216.880173	1410.292236
6619.958899	-34.376389	-219.685562	1410.526001
6619.961799	-34.610168	-222.374039	1409.415527
6619.965171	-33.791931	-224.770294	1408.655640
6619.968474	-33.733490	-227.634125	1408.655640
6619.971805	-34.317947	-230.731735	1406.551636
6619.975133	-33.382820	-233.303314	1407.194580
6619.978471	-33.616600	-235.933365	1406.201050
6619.981803	-33.265930	-238.329636	1405.616577
6619.985135	-33.382820	-241.836349	1404.681396
6619.988471	-33.324371	-243.589691	1403.980103
6619.991795	-33.090591	-246.862640	1402.752686
6619.995128	-32.856812	-249.200455	1402.694214
6619.998467	-33.265930	-251.129166	1401.408569
6620.001801	-33.675041	-254.226761	1402.168335
6620.005138	-33.791931	-256.798370	1401.759155
6620.008485	-33.090591	-258.493286	1399.479858
6620.011800	-33.265930	-261.298645	1398.544678
6620.015131	-33.265930	-263.636475	1398.544678
6620.018469	-33.090591	-266.032745	1398.369385
6620.021802	-33.032150	-268.545898	1398.077148
6620.025134	-32.681473	-270.883698	1396.674438
6620.028465	-32.739914	-273.221497	1396.031494
6620.031794	-32.506134	-275.325531	1395.037964
6620.035124	-32.506134	-277.604889	1395.330200
6620.038472	-33.265930	-279.884277	1392.583252
6620.041794	-33.441261	-281.696075	1392.174194
6620.045130	-33.207481	-283.917023	1392.758545
6620.048458	-33.324371	-286.897705	1391.239014
6620.051793	-33.149040	-288.534180	1390.011597
6620.055129	-33.090591	-290.229095	1389.368774
6620.058462	-33.441261	-292.216248	1388.784302
6620.061793	-33.032150	-294.144928	1387.849121
6620.065125	-32.564583	-295.430756	1386.446533
6620.068463	-32.564583	-297.534760	1386.505005
6620.071818	-32.506134	-299.288147	1386.914062
6620.076428	-32.038574	-302.093506	1384.108643
6620.079308	-32.155464	-304.022217	1383.641113
6620.082657	-32.623024	-305.132660	1383.115112
6620.086005	-32.038574	-306.243134	1382.355347
6620.089345	-32.213913	-308.522491	1381.829346
6620.092719	-32.097023	-309.574524	1381.829346
6620.096053	-31.220337	-311.678528	1380.251221
6620.098944	-32.038574	-312.321442	1379.082275
6620.102215	-32.038574	-313.782593	1378.731689
6620.105548	-31.454117	-315.886597	1378.673340
6620.108872	-31.980133	-316.587952	1377.855103
6620.112234	-31.571014	-318.224426	1376.686157
6620.115549	-31.512566	-319.101105	1376.393921
6620.118483	-31.044998	-320.796021	1376.686157
6620.121790	-30.986557	-321.848053	1374.523682
6620.125116	-31.044998	-322.490936	1374.815918
6620.128458	-30.402107	-323.952057	1373.763916
6620.131790	-30.635887	-326.056122	1373.062500
6620.135116	-30.811218	-326.582123	1372.770264
6620.138450	-30.694328	-328.452362	1371.250610
6620.141785	-30.402107	-329.387482	1370.958496
6620.145148	-29.934540	-330.205719	1370.958496
6620.148454	-29.992981	-332.017517	1370.900024
6620.151786	-30.109871	-332.134430	1369.555786
