time (s)	det(V)
3466.532515	1.728231	
3466.534150	1.727816	
3466.535757	1.728255	
3466.537420	1.727921	
3466.539000	1.728171	
3466.540679	1.728122	
3466.542253	1.728098	
3466.543944	1.727965	
3466.545508	1.728231	
3466.547204	1.728005	
3466.548768	1.728227	
3466.550479	1.727905	
3466.552014	1.728166	
3466.553739	1.728162	
3466.555228	1.728021	
3466.556791	1.728098	
3466.558283	1.727985	
3466.559898	1.728062	
3466.561430	1.728082	
3466.562992	1.728179	
3466.564609	1.728094	
3466.566095	1.728058	
3466.567757	1.728001	
3466.569252	1.728094	
3466.570890	1.728122	
3466.572407	1.728030	
3466.574058	1.728102	
3466.575536	1.728042	
3466.577183	1.728054	
3466.578665	1.728038	
3466.580315	1.728046	
3466.581803	1.728110	
3466.583520	1.728070	
3466.585025	1.727957	
3466.586717	1.728086	
3466.588208	1.727941	
3466.589866	1.728187	
3466.591385	1.728074	
3466.593021	1.728158	
3466.594573	1.727949	
3466.596197	1.728255	
3466.597792	1.727957	
3466.599358	1.728187	
3466.600959	1.728038	
3466.602586	1.728142	
3466.604218	1.727981	
3466.605847	1.728267	
3466.607473	1.728038	
3466.609090	1.728303	
3466.610738	1.727933	
3466.612333	1.728179	
3466.614019	1.727997	
3466.615593	1.728187	
3466.617294	1.728070	
3466.618845	1.728255	
3466.620546	1.728090	
3466.622102	1.728239	
3466.623796	1.728030	
3466.625355	1.728227	
3466.627087	1.728017	
3466.628584	1.728142	
3466.630342	1.728054	
3466.631824	1.728223	
3466.633606	1.728054	
3466.635090	1.728009	
3466.636866	1.728122	
3466.638357	1.728110	
3466.640156	1.728034	
3466.641635	1.728013	
3466.643413	1.728191	
3466.644902	1.728037	
3466.646655	1.728026	
3466.648154	1.728078	
3466.649901	1.728102	
3466.651414	1.727985	
3466.653132	1.728170	
3466.654677	1.727985	
3466.656382	1.728199	
3466.657926	1.728013	
3466.659615	1.728118	
3466.661166	1.727913	
3466.662845	1.728255	
3466.664416	1.727957	
3466.666089	1.728203	
3466.667690	1.727997	
3466.669333	1.728219	
3466.670916	1.728009	
3466.672542	1.728239	
3466.674162	1.728042	
3466.675795	1.728215	
3466.677469	1.727933	
3466.679053	1.728134	
3466.680742	1.727796	
3466.682326	1.728239	
3466.684009	1.727873	
3466.685610	1.728215	
3466.687290	1.727808	
3466.688864	1.728086	
3466.690574	1.727905	
3466.692116	1.728106	
3466.693828	1.727776	
3466.695384	1.727929	
3466.697086	1.727828	
3466.698621	1.727989	
3466.700335	1.727925	
3466.701836	1.728078	
3466.703625	1.727856	
3466.705105	1.727635	
3466.706886	1.727945	
3466.708369	1.727751	
3466.710138	1.726225	
3466.711617	1.726338	
3466.713392	1.727607	
3466.714876	1.724847	
3466.716624	1.725790	
3466.718156	1.721197	
3466.719648	1.685926	
3466.721246	1.628321	
3466.722745	1.631898	
3466.724407	1.572766	
3466.725899	1.569487	
3466.727516	1.496131	
3466.729047	1.414264	
3466.730679	1.463248	
3466.732172	1.392281	
3466.733820	1.423235	
3466.735295	1.301503	
3466.736946	1.352119	
3466.738424	1.225182	
3466.740079	1.306136	
3466.741563	1.222012	
3466.743153	1.257377	
3466.744682	1.121658	
3466.746323	1.259818	
3466.747894	1.093005	
3466.749487	1.199804	
3466.751083	1.052025	
3466.752660	1.179493	
3466.754292	0.989473	
3466.755840	1.101771	
3466.757487	0.973046	
3466.758965	1.070656	
3466.760685	0.978528	
3466.762175	1.033193	
3466.763907	1.036331	
3466.765482	1.075345	
3466.767174	1.010968	
3466.768721	1.042132	
3466.770438	1.019158	
3466.771980	1.003061	
3466.773702	1.018960	
3466.775214	1.025797	
3466.776954	0.958830	
3466.778444	0.989622	
3466.780229	1.006175	
3466.781712	0.946680	
3466.783493	1.006034	
3466.784977	0.950419	
3466.786750	0.974460	
3466.788234	0.894614	
3466.789988	1.007738	
3466.791487	0.870424	
3466.793250	0.959559	
3466.794765	0.826524	
3466.796499	1.005454	
3466.798023	0.847789	
3466.799735	0.974633	
3466.801276	0.856265	
3466.802973	0.963330	
3466.804528	0.796807	
3466.806232	0.955780	
3466.807812	0.769414	
3466.809500	0.940932	
3466.811070	0.757788	
3466.812740	0.923900	
3466.814321	0.718367	
3466.815971	0.902220	
3466.817575	0.683788	
3466.819204	0.864543	
3466.820821	0.669319	
3466.822454	0.821303	
3466.824086	0.687804	
3466.825694	0.786506	
3466.827328	0.631243	
3466.828907	0.746022	
3466.830605	0.639420	
3466.832166	0.694701	
3466.833871	0.575382	
3466.835424	0.662736	
3466.837154	0.536118	
3466.838711	0.630083	
3466.840406	0.523010	
3466.841950	0.555474	
3466.843667	0.539711	
3466.845148	0.499762	
3466.846928	0.476761	
3466.848413	0.484161	
3466.850171	0.463987	
3466.851651	0.421963	
3466.853421	0.461945	
3466.854905	0.354493	
3466.856684	0.426930	
3466.858184	0.347971	
3466.859965	0.378027	
3466.861463	0.287023	
3466.863197	0.389177	
3466.864716	0.297617	
3466.866446	0.373785	
3466.867980	0.213458	
3466.869688	0.342610	
3466.871238	0.159688	
3466.872920	0.316853	
3466.874481	0.129721	
3466.876156	0.294854	
