crossing time (s)	slope (V/s)	crossing number
3465.418715	31.624957	5570
3466.423027	32.174990	5571
3467.445164	32.506124	5572
3468.506071	29.235467	5573
3469.490300	35.929875	5574
3470.511842	33.646833	5575
3471.566274	33.329830	5576
3472.576817	32.699135	5577
3473.085462	1.104414	5578
3473.594555	32.931017	5579
3474.616257	33.749588	5580
3475.629797	30.863874	5581
3476.638426	30.491483	5582
3477.698548	27.673218	5583
3478.704637	30.715133	5584
3479.704777	23.679316	5585
3480.754512	26.639223	5586
3481.750508	23.696640	5587
3482.783115	22.854454	5588
3483.778620	22.505881	5589
3484.848247	22.721776	5590
3485.824178	21.262798	5591
3486.880098	22.550775	5592
3487.894699	21.313310	5593
3488.928235	21.050097	5594
3489.937254	17.838800	5595
3490.951046	20.951956	5596
3491.978761	19.035965	5597
3492.941593	20.886830	5598
3494.041910	18.324912	5599
3495.025705	19.164768	5600
3496.052201	20.920065	5601
3497.049871	18.677232	5602
3498.109636	17.557941	5603
3499.099434	14.496269	5604
3500.150887	16.665259	5605
3501.155936	15.291326	5606
3502.188797	15.948935	5607
3503.196659	15.761071	5608
3504.262438	13.931363	5609
3505.228651	14.067517	5610
3506.305225	12.798671	5611
3507.286339	13.220095	5612
3508.349785	12.793781	5613
3509.299897	12.435272	5614
3510.356687	13.843780	5615
3511.351358	13.665434	5616
3512.369959	13.913548	5617
3513.383550	12.605745	5618
3514.435227	13.508995	5619
3515.412368	10.407879	5620
3516.461525	10.129190	5621
3517.466677	12.324721	5622
3518.511929	11.649221	5623
3519.508846	9.939145	5624
3520.589080	9.575554	5625
3521.596920	10.514322	5626
3522.567443	10.470111	5627
3523.608317	9.690228	5628
3524.614786	8.565610	5629
3525.650211	6.480505	5630
3526.659897	8.846324	5631
3527.746448	9.015967	5632
3528.677835	9.251508	5633
3529.770089	8.424377	5634
3530.749360	8.071334	5635
3531.811747	8.229130	5636
3532.797849	7.830468	5637
3533.859234	5.858391	5638
3534.818893	7.698777	5639
3535.877603	6.847402	5640
3536.869234	5.851667	5641
3537.889666	5.203792	5642
3538.937202	8.664278	5643
3539.943602	6.200200	5644
3540.992428	7.264671	5645
3541.959617	6.780921	5646
3543.051546	6.978368	5647
3544.018379	5.899010	5648
3545.092711	3.111850	5649
3546.085553	4.418276	5650
3547.096116	6.170452	5651
3548.100284	5.606371	5652
3549.149421	6.133850	5653
3550.146693	6.735235	5654
3551.218181	5.389206	5655
3552.167685	4.515993	5656
3553.228026	5.710077	5657
3554.185740	6.918222	5658
3555.323613	5.115273	5659
3556.234467	4.235607	5660
3557.304468	5.265379	5661
3558.274379	6.903280	5662
3559.355230	5.858904	5663
3560.328698	6.260367	5664
3561.399220	7.440976	5665
3562.372786	7.909764	5666
3563.436014	5.522571	5667
3564.423497	3.282307	5668
3565.465545	3.854244	5669
