crossing time (s)	slope (V/s)	crossing number
4957.750279	30.183712	7176
4958.731282	27.319612	7177
4959.778565	27.982344	7178
4960.761293	27.217574	7179
4961.839074	25.775699	7180
4962.815211	28.527374	7181
4963.865537	27.865762	7182
4964.851425	27.203692	7183
4965.891195	27.106888	7184
4966.909695	23.480568	7185
4967.922016	24.948758	7186
4968.952930	23.233733	7187
4969.999004	24.306871	7188
4971.007081	22.896761	7189
4971.987850	23.938912	7190
4973.024045	23.537865	7191
4974.052148	24.767385	7192
4975.061904	22.575650	7193
4976.098986	23.683191	7194
4977.093962	23.335337	7195
4978.128986	22.557156	7196
4979.141983	20.340839	7197
4980.198225	21.577996	7198
4981.151226	20.885545	7199
4982.219492	21.915490	7200
4983.211825	21.068272	7201
4984.254216	20.037623	7202
4985.274865	19.655591	7203
4986.267985	19.810891	7204
4987.259510	16.953682	7205
4988.329837	17.550627	7206
4989.347103	17.862083	7207
4990.378859	17.411719	7208
4991.365560	17.548277	7209
4992.385116	18.451922	7210
4993.408868	18.320870	7211
4994.440295	17.900217	7212
4995.472782	17.118954	7213
4996.498043	20.266511	7214
4997.492679	18.171652	7215
4998.520625	16.936303	7216
4999.538876	18.369121	7217
5000.550410	17.776133	7218
5001.599430	16.493390	7219
5002.608580	15.867547	7220
5003.616148	15.916883	7221
5004.633514	17.025891	7222
5005.658446	15.679493	7223
5006.684243	15.529729	7224
5007.690472	12.599512	7225
5008.719371	16.877217	7226
5009.748773	15.067851	7227
5010.747963	15.704621	7228
5011.758712	14.813999	7229
5012.792807	14.536023	7230
5013.819782	14.543343	7231
5014.841651	14.597555	7232
5015.829839	15.512016	7233
5016.884669	14.388564	7234
5017.891987	14.576919	7235
5018.936626	10.149509	7236
5019.928754	17.229994	7237
5020.960690	13.067062	7238
5021.979333	12.632403	7239
5022.982681	12.757008	7240
5023.991479	11.545312	7241
5025.032118	12.522120	7242
5026.085279	13.556912	7243
5027.066030	9.505717	7244
5028.111175	10.533505	7245
5029.089472	10.267812	7246
5030.118090	11.256581	7247
5031.146081	12.323992	7248
5032.204739	11.435376	7249
5033.192876	12.102891	7250
5034.218017	10.665352	7251
5035.207903	10.661966	7252
5036.253934	10.394108	7253
5037.280998	10.914252	7254
5038.305249	9.815443	7255
5039.306927	11.216153	7256
5040.329474	9.638983	7257
5041.362872	11.553102	7258
5042.322784	11.116955	7259
5043.366041	9.773112	7260
5044.378777	11.903122	7261
5045.459152	9.899364	7262
5046.441070	8.551461	7263
5047.514822	6.744280	7264
5048.492203	6.873032	7265
5049.523116	7.196166	7266
5050.493588	8.013669	7267
5051.537837	8.524998	7268
5052.546662	5.923850	7269
5053.596452	8.582783	7270
5054.574369	8.494805	7271
5055.643705	5.925682	7272
5056.601716	6.600774	7273
5057.682078	10.424728	7274
5058.634053	9.107075	7275
5059.718411	8.316026	7276
5060.664953	8.228776	7277
5061.729826	8.923929	7278
5062.734857	7.444894	7279
5063.761887	7.573910	7280
5064.767801	7.605825	7281
5065.812638	6.039506	7282
5066.844194	4.777330	7283
5067.875659	7.408069	7284
5068.863255	5.723837	7285
5069.388511	-3.987449	7286
5069.898082	7.671996	7287
5070.895182	7.601527	7288
5071.934802	3.988284	7289
5072.956613	7.943238	7290
5073.948542	7.096079	7291
5075.000234	7.923717	7292
5076.026518	6.925336	7293
5077.055419	6.867673	7294
5078.048638	4.841455	7295
5079.096016	7.790220	7296
5080.081932	5.115355	7297
5081.101816	4.848901	7298
5082.088541	6.322551	7299
5083.164019	5.016801	7300
5084.130936	5.471986	7301
5085.211801	5.354660	7302
5086.182887	7.461898	7303
5087.224826	5.397110	7304
5087.750236	-3.151888	7305
5088.206302	6.219134	7306
5089.277908	5.480674	7307
5090.250503	3.618224	7308
5091.335811	6.792550	7309
5092.334050	6.699336	7310
5093.343457	4.742253	7311
5094.389280	2.602647	7312
5095.392605	6.367803	7313
5096.397879	5.113061	7314
5097.390084	4.645071	7315
5098.440338	6.359676	7316
5099.487853	5.048311	7317
5100.463939	4.765809	7318
5101.501912	4.719215	7319
5102.509894	4.162551	7320
5103.508854	4.691333	7321
5104.549488	3.672776	7322
5105.589903	5.746525	7323
5106.620222	4.664003	7324
5107.650325	4.609568	7325
5108.656897	4.379048	7326
5109.691303	5.255901	7327
5110.677244	4.243074	7328
5111.731002	4.354536	7329
5112.712758	5.130286	7330
5113.816012	2.985809	7331
5114.764620	4.209696	7332
5115.754875	3.105323	7333
