time (s)	det(V)
3115.581811	0.331830	
3115.583547	0.399136	
3115.585048	0.298601	
3115.586800	0.401585	
3115.588328	0.262322	
3115.590065	0.421126	
3115.591590	0.220455	
3115.593312	0.398225	
3115.594848	0.205023	
3115.596565	0.428885	
3115.598114	0.123252	
3115.599815	0.399897	
3115.601376	0.128577	
3115.603047	0.415587	
3115.604625	0.111505	
3115.606280	0.393327	
3115.607869	0.200862	
3115.609519	0.397862	
3115.611130	0.085321	
3115.612741	0.346759	
3115.614391	0.170798	
3115.615998	0.305650	
3115.617675	0.156965	
3115.619275	0.297860	
3115.620923	0.129693	
3115.622523	0.292333	
3115.624212	0.136908	
3115.625765	0.324479	
3115.627475	0.188474	
3115.629029	0.264251	
3115.630738	0.143776	
3115.632306	0.257633	
3115.634002	0.183109	
3115.635546	0.265653	
3115.637280	0.206409	
3115.638771	0.123083	
3115.640527	0.160824	
3115.642009	0.170404	
3115.643782	0.188475	
3115.645265	0.180309	
3115.647031	0.219867	
3115.648508	0.087642	
3115.650276	0.191492	
3115.651777	0.047854	
3115.653543	0.198843	
3115.655042	0.062650	
3115.656783	0.209402	
3115.658295	-0.096497	
3115.660013	0.189312	
3115.661543	-0.082700	
3115.663271	0.236150	
3115.664831	-0.018766	
3115.666543	0.207996	
3115.668105	-0.129626	
3115.669809	0.223851	
3115.671370	-0.056846	
3115.673047	0.190883	
3115.674623	-0.132881	
3115.676284	0.190166	
3115.677888	-0.091828	
3115.679524	0.165001	
3115.681158	-0.109005	
3115.682805	0.127139	
3115.684412	-0.159548	
3115.686037	0.097721	
3115.687680	-0.170920	
3115.689279	0.056313	
3115.690958	-0.012402	
3115.692430	-0.208158	
3115.694022	-0.128869	
3115.695502	-0.152023	
3115.697132	-0.027468	
3115.698609	-0.287037	
3115.700227	-0.122254	
3115.701742	-0.259676	
3115.703307	-0.132909	
3115.704874	-0.212533	
3115.706395	-0.073765	
3115.708021	-0.124832	
3115.709511	-0.066176	
3115.711143	-0.157836	
3115.712666	-0.256663	
3115.714325	-0.166928	
3115.715809	-0.243937	
3115.717452	-0.166509	
3115.718933	-0.325656	
3115.720586	-0.137542	
3115.722076	-0.226640	
3115.723785	-0.131152	
3115.725290	-0.300539	
3115.727002	-0.114423	
3115.728482	-0.320061	
3115.730177	-0.123809	
3115.731682	-0.329370	
3115.733328	-0.136643	
3115.734870	-0.341532	
3115.736509	-0.195142	
3115.738079	-0.330788	
3115.739653	-0.126794	
3115.741240	-0.361520	
3115.742876	-0.123898	
3115.744486	-0.314965	
3115.746123	-0.089931	
3115.747727	-0.392438	
3115.749352	-0.144651	
3115.750988	-0.352340	
3115.752591	-0.197890	
3115.754274	-0.346293	
3115.755840	-0.196564	
3115.757525	-0.312709	
3115.759085	-0.227373	
3115.760781	-0.330566	
3115.762334	-0.238616	
3115.764023	-0.334252	
3115.765581	-0.277779	
3115.767288	-0.380252	
3115.768780	-0.332653	
3115.770540	-0.304314	
3115.772018	-0.340778	
3115.773798	-0.356469	
3115.775281	-0.382246	
3115.777047	-0.306723	
3115.778534	-0.421006	
3115.780330	-0.297127	
3115.781805	-0.424322	
3115.783565	-0.324528	
3115.785059	-0.477608	
3115.786827	-0.315879	
3115.788338	-0.462824	
3115.790057	-0.330683	
3115.791580	-0.526146	
3115.793314	-0.311420	
3115.794859	-0.517924	
3115.796555	-0.277191	
3115.798094	-0.566477	
3115.799774	-0.332174	
3115.801333	-0.551117	
3115.803012	-0.351961	
3115.804596	-0.623031	
3115.806244	-0.390395	
3115.807849	-0.637158	
3115.809475	-0.428535	
3115.811099	-0.717495	
3115.812723	-0.477226	
3115.814364	-0.742599	
3115.815989	-0.493125	
3115.817666	-0.781211	
3115.819248	-0.564088	
3115.820916	-0.790436	
3115.822489	-0.640775	
3115.824186	-0.776191	
3115.825773	-0.638072	
3115.827435	-0.802682	
3115.828996	-0.713362	
3115.830697	-0.786665	
3115.832250	-0.758112	
3115.833977	-0.922214	
3115.835497	-0.830876	
3115.837221	-0.939967	
3115.838710	-0.849374	
3115.840467	-0.875900	
3115.841944	-0.975186	
3115.843729	-0.968133	
3115.845222	-1.006051	
3115.847019	-0.938698	
3115.848498	-1.154572	
3115.850267	-1.004090	
3115.851756	-1.158213	
3115.853507	-1.007679	
3115.855016	-1.283526	
3115.856741	-1.045142	
3115.858274	-1.274092	
3115.860009	-1.086666	
3115.861541	-1.395393	
3115.863077	-1.346118	
3115.864678	-1.330319	
3115.866180	-1.278168	
3115.867799	-1.368681	
3115.869324	-1.408122	
3115.870984	-1.329368	
3115.872468	-1.419732	
3115.874117	-1.377930	
3115.875593	-1.444071	
3115.877247	-1.392549	
3115.878731	-1.472144	
3115.880371	-1.348660	
3115.881855	-1.443769	
3115.883460	-1.382522	
3115.884992	-1.475911	
3115.886542	-1.463999	
3115.888123	-1.476023	
3115.889707	-1.424787	
3115.891293	-1.461288	
3115.892855	-1.462073	
3115.894459	-1.460220	
3115.895995	-1.476805	
3115.897677	-1.473260	
3115.899156	-1.476587	
3115.900851	-1.475633	
3115.902328	-1.476821	
3115.904047	-1.476313	
3115.905536	-1.476583	
3115.907260	-1.460748	
3115.908742	-1.476181	
3115.910450	-1.476571	
3115.911931	-1.476628	
3115.913719	-1.476567	
3115.915200	-1.476676	
3115.916989	-1.476523	
3115.918468	-1.476736	
3115.920234	-1.476406	
3115.921738	-1.476906	
3115.923511	-1.476648	
3115.925029	-1.476652	
3115.926766	-1.476591	
3115.928286	-1.476688	
3115.930012	-1.476414	
3115.931546	-1.476837	
3115.933269	-1.476845	
3115.934811	-1.476757	
3115.936513	-1.476744	
3115.938074	-1.473171	
3115.939755	-1.476821	
3115.941307	-1.476994	
3115.942987	-1.476801	
3115.944572	-1.476910	
3115.946233	-1.476579	
3115.947840	-1.476837	
3115.949465	-1.476809	
3115.951094	-1.476865	
3115.952724	-1.476990	
3115.954355	-1.476934	
3115.955962	-1.476728	
3115.957606	-1.476837	
3115.959192	-1.476861	
3115.960888	-1.476974	
3115.962472	-1.476906	
3115.964163	-1.476946	
3115.965746	-1.476910	
3115.967419	-1.476950	
3115.968967	-1.476962	
3115.970659	-1.476910	
3115.972201	-1.476938	
3115.973927	-1.476918	
3115.975430	-1.476990	
3115.977202	-1.476906	
3115.978689	-1.477022	
3115.980450	-1.476873	
3115.981939	-1.476942	
3115.983727	-1.476894	
3115.985223	-1.476978	
3115.986984	-1.476902	
3115.988460	-1.477014	
3115.990234	-1.476878	
3115.991720	-1.477006	
3115.993463	-1.477022	
3115.994976	-1.477067	
3115.996712	-1.476857	
3115.998239	-1.476970	
3115.999970	-1.476894	
3116.001512	-1.476942	
3116.003224	-1.476777	
3116.004771	-1.477022	
3116.006479	-1.476910	
3116.008036	-1.477143	
3116.009736	-1.476837	
3116.011307	-1.476994	
3116.012948	-1.476910	
3116.014553	-1.477026	
3116.016204	-1.476809	
3116.017796	-1.477119	
3116.019430	-1.477018	
3116.021033	-1.476966	
