crossing time (s)	slope (V/s)	crossing number
3977.986397	55.043621	8427
3978.902436	47.555278	8428
3979.981103	46.458180	8429
3981.019876	41.667965	8430
3982.018304	41.579631	8431
3983.050303	39.844933	8432
3984.107277	40.312511	8433
3985.092986	33.133144	8434
3986.128612	33.330278	8435
3987.160622	31.355007	8436
3988.175901	28.014138	8437
3989.136317	24.706594	8438
3990.194075	26.145110	8439
3991.220683	25.374194	8440
3992.249469	19.008331	8441
3993.249262	16.610531	8442
3994.689063	19.344101	8443
3995.239254	20.734254	8444
3996.425278	18.104146	8445
3997.340714	21.180271	8446
3998.401277	15.111910	8447
3999.399252	13.235578	8448
4000.458908	11.423616	8449
4001.449655	10.689009	8450
4002.551729	13.130876	8451
4003.517379	13.988141	8452
4004.538077	11.535075	8453
4005.593617	8.097953	8454
4006.503238	11.759589	8455
4007.544063	5.393203	8456
4008.677591	11.296511	8457
