time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
5733.940514	159.787704	-0.547780	-0.006002	47
5735.966717	160.891739	-0.544180	-0.005531	49
5737.997983	155.505417	-0.299249	-0.036290	51
5739.038603	343.927155	-0.325077	-0.025729	53
5741.072970	340.622437	-0.527012	-0.003935	55
5743.101182	341.124512	-0.521449	-0.003319	57
5745.136380	341.244446	-0.514027	-0.002544	59
5747.172885	341.067810	-0.506507	-0.001926	61
5749.209628	340.879181	-0.499491	-0.001681	63
5751.254192	340.719208	-0.493987	-0.001392	65
5753.288877	340.558563	-0.488416	-0.000726	67
5755.328299	340.484344	-0.482209	-0.000678	69
5757.370857	340.600830	-0.475541	-0.001024	71
5759.419422	340.962585	-0.469309	-0.001037	73
5761.470304	341.392426	-0.464420	-0.000464	75
5763.506625	341.400940	-0.463488	0.000552	77
5765.539066	340.621033	-0.461795	0.001696	79
5767.560816	339.615967	-0.454325	0.002030	81
5769.601530	339.702637	-0.441695	0.000687	83
5771.648956	340.736572	-0.435387	0.000025	85
5773.700335	341.558228	-0.433925	0.001520	87
5775.735772	341.190033	-0.435099	0.002673	89
5777.762094	340.145142	-0.432022	0.003294	91
5779.793977	339.530304	-0.424041	0.002767	93
5781.827561	339.708862	-0.414621	0.002356	95
5783.876300	340.251953	-0.408990	0.002478	97
5785.921704	340.619598	-0.405306	0.002860	99
5787.968242	340.736389	-0.402205	0.003205	101
5790.009195	340.642761	-0.397864	0.003781	103
5792.049836	340.452515	-0.393627	0.003729	105
5794.083362	340.308533	-0.389231	0.004066	107
5796.125699	340.198029	-0.385597	0.004176	109
5798.159048	340.115051	-0.381580	0.004176	111
5800.192408	340.215057	-0.379255	0.004256	113
5802.229415	340.552887	-0.375969	0.004328	115
5804.252166	340.984619	-0.370903	0.004389	117
5806.297229	341.040680	-0.364029	0.005116	119
5807.838002	62.302586	-0.007077	0.100000	121
5809.361708	160.010010	-0.363285	0.004632	123
5811.393232	160.738754	-0.358765	0.005059	125
5813.417061	161.141891	-0.350524	0.005819	127
5815.465326	160.764862	-0.341997	0.006519	129
5817.521030	167.457260	-0.215762	0.028352	131
5818.526022	334.735565	-0.220120	0.024537	133
5820.564660	340.939117	-0.336804	0.006255	135
5822.597834	340.565460	-0.330583	0.006950	137
5824.655216	340.116455	-0.327916	0.006981	139
5826.692556	339.851196	-0.323663	0.007190	141
5828.746003	339.792328	-0.320754	0.007068	143
5830.781645	339.860809	-0.317846	0.007176	145
5832.827079	340.011078	-0.313988	0.007377	147
5834.855749	340.158875	-0.310078	0.007593	149
5836.901853	340.198151	-0.306581	0.007801	151
5838.933765	340.284485	-0.305290	0.008087	153
5840.970810	340.198456	-0.302258	0.008267	155
5843.007626	347.716797	-0.199250	0.029197	157
5844.015248	151.144943	-0.195145	0.029245	159
5846.072935	160.302338	-0.290214	0.008048	161
5848.114278	160.892075	-0.287988	0.008489	163
5850.155511	161.063461	-0.285701	0.008831	165
5852.178357	160.459961	-0.285481	0.009206	167
5854.194956	159.516403	-0.281080	0.009327	169
5856.234464	158.598953	-0.276932	0.009348	171
5858.267909	158.531464	-0.270709	0.008960	173
5860.322722	158.871460	-0.266565	0.008726	175
5862.354534	159.507095	-0.263785	0.008768	177
5864.403900	160.117630	-0.261893	0.009216	179
5866.450129	160.534393	-0.258912	0.009690	181
5868.499844	176.468857	-0.162679	0.047534	183
5869.467803	328.239563	-0.168395	0.032451	185
