crossing time (s)	slope (V/s)	crossing number
4557.966884	40.059328	2026
4558.979563	32.609015	2027
4559.991598	24.042501	2028
4561.051356	17.142791	2029
4562.055224	15.948660	2030
4563.105590	12.791643	2031
4564.109474	9.137830	2032
4565.132913	6.713864	2033
4566.134827	4.791927	2034
4567.224142	4.107664	2035
4568.212560	3.166990	2036
4569.276049	1.230248	2037
4570.269107	1.795404	2038
4571.300034	1.901422	2039
4572.396016	-0.470578	2040
4573.326509	-1.175735	2041
4574.472334	0.324413	2042
4585.406544	11.105758	2043
4585.912368	24.881864	2044
4590.107026	7.916476	2045
