time (s)	det(V)
2940.873557	0.195266	
2940.875073	0.228350	
2940.876716	0.184518	
2940.878199	0.168904	
2940.879848	0.171793	
2940.881332	0.172022	
2940.882963	0.232580	
2940.884448	0.118566	
2940.886079	0.227158	
2940.887587	0.136601	
2940.889294	0.247312	
2940.890784	0.124392	
2940.892455	0.286386	
2940.893969	0.140009	
2940.895627	0.239106	
2940.897172	0.101442	
2940.898790	0.218557	
2940.900374	0.088918	
2940.901949	0.201083	
2940.903567	0.121572	
2940.905122	0.185582	
2940.906752	0.094030	
2940.908249	0.187201	
2940.909968	0.085824	
2940.911564	0.201095	
2940.913235	0.111404	
2940.914835	0.212688	
2940.916536	0.085369	
2940.918098	0.161633	
2940.919811	0.081002	
2940.921361	0.133407	
2940.923065	0.105273	
2940.924625	0.133101	
2940.926340	0.105821	
2940.927887	0.112693	
2940.929624	0.116073	
2940.931122	0.096918	
2940.932882	0.122986	
2940.934367	0.112504	
2940.936163	0.095815	
2940.937644	0.064974	
2940.939399	0.078082	
2940.940884	0.025569	
2940.942654	0.109326	
2940.944148	0.008916	
2940.945921	0.135054	
2940.947412	0.023837	
2940.949154	0.121249	
2940.950667	-0.030558	
2940.952372	0.117866	
2940.953911	-0.030276	
2940.955640	0.089325	
2940.957191	-0.075740	
2940.958909	0.112008	
2940.960463	-0.088872	
2940.962161	0.100733	
2940.963717	-0.087667	
2940.965428	0.082344	
2940.967002	-0.120434	
2940.968684	0.057868	
2940.970273	-0.118621	
2940.971918	0.052873	
2940.973525	-0.132515	
2940.975189	0.050762	
2940.976792	-0.118174	
2940.978436	0.019675	
2940.980070	-0.143161	
2940.981675	0.007232	
2940.983348	-0.125791	
2940.984938	-0.016136	
2940.986627	-0.147573	
2940.988227	-0.038147	
2940.989895	-0.136615	
2940.991477	-0.056545	
2940.993182	-0.122440	
2940.994736	-0.080171	
2940.996447	-0.135274	
2940.997986	-0.041813	
2940.999695	-0.094495	
2941.001253	-0.094689	
2941.002975	-0.161619	
2941.004515	-0.107245	
2941.006249	-0.113187	
2941.007734	-0.145405	
2941.009496	-0.110669	
2941.010979	-0.130714	
2941.012748	-0.141635	
2941.014235	-0.160407	
2941.016010	-0.125344	
2941.017493	-0.218531	
2941.019279	-0.134766	
2941.020776	-0.206418	
2941.022529	-0.106669	
2941.024062	-0.266501	
2941.025554	-0.206684	
2941.027142	-0.237050	
2941.028637	-0.194909	
2941.030279	-0.241179	
2941.031780	-0.242609	
2941.033394	-0.243213	
2941.034915	-0.287996	
2941.036552	-0.224429	
2941.038030	-0.296145	
2941.039670	-0.248369	
2941.041152	-0.316126	
2941.042778	-0.216014	
2941.044255	-0.269570	
2941.045883	-0.191940	
2941.047383	-0.300101	
2941.049061	-0.220336	
2941.050589	-0.319574	
2941.052207	-0.216985	
2941.053787	-0.300391	
2941.055372	-0.242282	
2941.056968	-0.351003	
2941.058529	-0.229013	
2941.060157	-0.348719	
2941.061702	-0.277784	
2941.063369	-0.367124	
2941.064868	-0.309708	
2941.066571	-0.354052	
2941.068053	-0.342370	
2941.069791	-0.371833	
2941.071332	-0.317318	
2941.073043	-0.368635	
2941.074591	-0.331502	
2941.076313	-0.371503	
2941.077833	-0.361218	
2941.079590	-0.396192	
2941.081082	-0.383511	
2941.082872	-0.393679	
2941.084351	-0.414827	
2941.086125	-0.410626	
2941.087607	-0.464082	
2941.089383	-0.417059	
2941.090865	-0.526823	
2941.092629	-0.423609	
2941.094122	-0.519157	
2941.095880	-0.442321	
2941.097383	-0.535669	
2941.099142	-0.471530	
2941.100656	-0.566768	
2941.102380	-0.472251	
2941.103910	-0.641010	
2941.105598	-0.499849	
2941.107145	-0.676584	
2941.108837	-0.501291	
2941.110402	-0.633988	
2941.112079	-0.545236	
2941.113660	-0.704895	
2941.115322	-0.556576	
2941.116913	-0.732062	
2941.118562	-0.586986	
2941.120154	-0.804410	
2941.121780	-0.634073	
2941.123416	-0.778274	
2941.125034	-0.641573	
2941.126706	-0.849113	
2941.128302	-0.703400	
2941.129963	-0.884376	
2941.131565	-0.750817	
2941.133237	-0.864275	
2941.134805	-0.774383	
2941.136508	-0.884195	
2941.138078	-0.831182	
2941.139778	-0.943996	
2941.141341	-0.880823	
2941.143035	-0.914883	
2941.144593	-0.907435	
2941.146313	-0.969749	
2941.147840	-0.949950	
2941.149573	-1.015957	
2941.151063	-1.005879	
2941.152818	-1.020997	
2941.154302	-1.054545	
2941.156074	-1.052543	
2941.157557	-1.086143	
2941.159311	-1.057155	
2941.160801	-1.132525	
2941.162556	-1.061054	
2941.164052	-1.190005	
2941.165815	-1.125777	
2941.167332	-1.244113	
2941.169063	-1.160711	
2941.170591	-1.312684	
2941.172296	-1.191044	
2941.173845	-1.313308	
2941.175546	-1.210409	
2941.177100	-1.373076	
2941.178786	-1.243123	
2941.180358	-1.413976	
2941.182040	-1.286238	
2941.183651	-1.449957	
2941.185149	-1.446766	
2941.186779	-1.458787	
2941.188293	-1.517254	
2941.189928	-1.511856	
2941.191406	-1.524400	
2941.193054	-1.506957	
2941.194522	-1.526386	
2941.196172	-1.522084	
2941.197655	-1.526450	
2941.199272	-1.526406	
2941.200784	-1.526724	
2941.202374	-1.526712	
2941.203919	-1.526595	
2941.205452	-1.526712	
2941.207059	-1.526805	
2941.208547	-1.526805	
2941.210183	-1.526853	
2941.211731	-1.526797	
2941.213397	-1.526728	
