time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
2940.437893	341.702606	-0.781787	0.013071	27
2942.492745	340.489441	-0.750074	0.015301	29
2944.545531	339.693970	-0.729746	0.013870	31
2946.592972	339.822449	-0.711332	0.012687	33
2948.636729	340.149475	-0.690821	0.012630	35
2950.676985	340.472504	-0.670291	0.012582	37
2952.720150	340.690613	-0.647910	0.012672	39
2954.765831	340.959351	-0.626910	0.012577	41
2956.811224	341.104431	-0.609509	0.012941	43
2958.848276	340.933350	-0.596056	0.013866	45
2960.879742	339.995941	-0.582519	0.014929	47
2962.904990	338.555847	-0.561039	0.014751	49
2964.949094	338.733032	-0.530179	0.011558	51
2967.014281	341.218140	-0.510299	0.009492	53
2969.066439	342.119293	-0.508996	0.014600	55
2971.086244	339.182068	-0.502635	0.016762	57
2973.114810	337.620728	-0.469248	0.012165	59
2975.179821	340.679352	-0.446521	0.008280	61
2977.241607	342.311615	-0.446436	0.014050	63
2979.262860	339.563904	-0.443696	0.016141	65
2981.282643	337.467987	-0.419019	0.013434	67
2983.328544	338.948303	-0.394263	0.009969	69
2985.401521	341.226105	-0.382751	0.010539	71
2987.456414	341.531189	-0.377999	0.013104	73
2989.491221	340.518341	-0.372356	0.013357	75
2991.521715	339.527679	-0.361089	0.012446	77
2993.547122	339.024384	-0.347864	0.011780	79
2995.581231	338.996460	-0.335053	0.011337	81
2997.626083	339.197662	-0.323317	0.011132	83
2999.678660	339.314178	-0.311647	0.011219	85
3001.717001	339.246307	-0.300668	0.011322	87
3003.773256	338.982422	-0.290751	0.011634	89
3005.840626	338.322571	-0.280326	0.011764	91
