crossing time (s)	slope (V/s)	crossing number
4935.974042	53.264862	9365
4937.028723	56.815310	9366
4938.041834	52.154186	9367
4939.076366	42.086702	9368
4940.110083	39.534584	9369
4941.093526	38.481337	9370
4942.132404	39.971152	9371
4943.190477	41.034618	9372
4944.166540	36.872974	9373
4945.268770	31.428583	9374
4946.226712	34.482904	9375
4947.250735	32.862146	9376
4948.334663	32.296479	9377
4949.310554	27.590940	9378
4950.362234	31.487467	9379
4951.321685	27.073306	9380
4952.382714	26.668804	9381
4953.344515	23.874291	9382
4954.427774	25.598892	9383
4955.412512	25.586654	9384
4956.484564	25.420824	9385
4957.482285	21.630970	9386
4958.513077	23.058858	9387
4959.595067	23.886761	9388
4960.592165	22.072634	9389
4961.591814	18.947461	9390
4962.627116	16.940183	9391
4963.614791	19.761809	9392
4964.684122	22.010815	9393
4965.700704	20.206233	9394
4966.689784	17.250389	9395
4967.758915	16.163378	9396
4968.659111	15.334062	9397
4969.785077	13.895580	9398
4970.743165	12.199563	9399
4971.742842	14.990447	9400
4972.837015	14.600665	9401
4973.849356	12.878203	9402
4974.863970	10.460769	9403
4975.878493	13.153095	9404
4976.944311	12.647633	9405
4977.895382	11.277640	9406
4978.981595	14.548433	9407
4979.921418	12.168964	9408
4981.019504	10.276225	9409
4982.030338	11.630104	9410
4983.113549	11.451107	9411
4984.097982	9.285170	9412
4985.058758	8.893924	9413
4986.070076	8.410530	9414
4987.161512	8.761254	9415
4988.206071	8.856784	9416
4989.153647	7.852396	9417
4990.174753	5.831582	9418
4991.282270	6.935361	9419
4992.244699	6.380367	9420
4993.264095	9.613985	9421
4994.300118	7.672942	9422
