time (s)	det(V)
4936.365646	0.259788	
4936.367174	0.236480	
4936.368802	0.329256	
4936.370277	0.179580	
4936.371916	0.357148	
4936.373390	0.235413	
4936.375042	0.377278	
4936.376527	0.262068	
4936.378163	0.320374	
4936.379671	0.141202	
4936.381240	0.330054	
4936.382780	0.176780	
4936.384282	0.249479	
4936.385897	0.155736	
4936.387471	0.353184	
4936.389085	0.259450	
4936.390633	0.350300	
4936.392304	0.227880	
4936.393802	0.280965	
4936.395497	0.260952	
4936.396985	0.275917	
4936.398714	0.256223	
4936.400186	0.213373	
4936.401921	0.296510	
4936.403404	0.144401	
4936.405118	0.360758	
4936.406601	0.119828	
4936.408305	0.288437	
4936.409790	0.284763	
4936.411557	0.345217	
4936.413037	0.195347	
4936.414815	0.366160	
4936.416308	0.224754	
4936.418053	0.331963	
4936.419562	0.198002	
4936.421289	0.364218	
4936.422814	0.123389	
4936.424510	0.365519	
4936.426048	0.166564	
4936.427742	0.361869	
4936.429308	0.084435	
4936.431002	0.371384	
4936.432562	0.050839	
4936.434230	0.348999	
4936.435808	0.052225	
4936.437466	0.322791	
4936.439076	-0.050989	
4936.440685	0.319665	
4936.442305	0.052591	
4936.443926	0.273605	
4936.445587	0.009569	
4936.447200	0.212052	
4936.448845	0.039898	
4936.450449	0.252247	
4936.452147	0.080645	
4936.453722	0.203887	
4936.455424	0.058195	
4936.456986	0.145339	
4936.458672	0.004699	
4936.460221	0.101003	
4936.461901	0.109958	
4936.463454	0.095819	
4936.465186	-0.018629	
4936.466693	0.068455	
4936.468441	0.067766	
4936.469927	0.048672	
4936.471714	0.041256	
4936.473195	0.021219	
4936.474960	0.068729	
4936.476443	-0.024305	
4936.478218	0.055379	
4936.479707	-0.015363	
4936.481501	0.075077	
4936.482989	-0.076661	
4936.484750	0.064306	
4936.486258	-0.028724	
4936.488002	0.065703	
4936.489527	-0.052778	
4936.491256	0.104847	
4936.492797	-0.140043	
4936.494520	0.099831	
4936.496053	-0.131028	
4936.497771	0.126571	
4936.499317	-0.072351	
4936.500992	0.146967	
4936.502552	-0.135092	
4936.504239	0.119268	
4936.505837	-0.130617	
4936.507491	0.132320	
4936.509084	-0.063477	
4936.510728	0.146745	
4936.512328	-0.117912	
4936.513964	0.118515	
4936.515603	-0.033075	
4936.517199	0.099501	
4936.518877	-0.052185	
4936.520465	0.137488	
4936.522162	0.015430	
4936.523748	0.125069	
4936.525421	-0.007463	
