time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
4936.018310	35.951790	0.920092	-0.082666	149
4938.063201	215.321579	-0.893821	0.082055	151
4940.107544	216.267914	-0.871911	0.100000	153
4942.152651	214.474197	-0.843361	0.100000	155
4944.197881	215.210724	-0.812250	0.100000	157
4946.247089	217.797623	-0.600046	0.100000	159
4948.298140	215.841187	-0.762005	0.080504	161
4950.347312	216.408951	-0.739757	0.080517	163
4952.394302	216.755585	-0.717085	0.079998	165
4954.442227	216.642929	-0.695917	0.078501	167
4956.485373	216.420410	-0.675297	0.077363	169
4958.529509	216.088425	-0.655255	0.075666	171
4960.569812	215.755890	-0.638056	0.074526	173
4962.609252	215.507187	-0.618348	0.072349	175
4964.647060	215.105698	-0.598403	0.070680	177
4966.687717	214.765717	-0.578025	0.069249	179
4968.721718	214.303345	-0.558420	0.067390	181
4970.768127	214.158401	-0.539412	0.065779	183
4972.814866	214.068237	-0.520045	0.064252	185
4974.863304	214.135483	-0.501487	0.062774	187
4976.914286	214.661606	-0.483833	0.061150	189
4978.965949	215.422562	-0.467410	0.060432	191
4981.019262	215.705139	-0.451914	0.059339	193
4983.071311	215.730835	-0.440084	0.058513	195
4985.113700	215.888245	-0.425822	0.057214	197
4987.156813	215.642715	-0.412523	0.055551	199
4989.201019	215.292023	-0.400929	0.054145	201
4991.239624	215.180237	-0.388756	0.052638	203
4993.273887	214.801834	-0.375723	0.050703	205
