time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
3378.104773	36.460690	-0.815037	-0.019471	231
3380.148599	36.422768	-0.725494	-0.017129	233
3382.196547	36.186436	-0.644020	-0.015071	235
3384.247754	36.180153	-0.569460	-0.013091	237
3386.303650	36.478050	-0.503497	-0.011723	239
3388.369417	37.248814	-0.447712	-0.010504	241
3390.424336	37.753105	-0.401712	-0.006974	243
3392.442541	37.171940	-0.361928	-0.004961	245
3394.455957	35.757214	-0.316441	-0.003390	247
3396.498572	35.304893	-0.266577	-0.005492	249
3398.513610	35.879353	-0.231984	-0.005458	251
3400.546210	37.083248	-0.200165	-0.006433	253
3402.591219	38.576191	-0.172658	-0.006888	255
