time (s)	magX	magY	magZ
5235.972040	16.949154	-28.112215	1298.655762
5235.975345	22.501461	-29.690239	1299.357178
5235.978681	27.878433	-31.151373	1298.305176
5235.982009	33.489189	-33.021626	1297.486816
5235.985343	38.983051	-34.424313	1297.253052
5235.988670	44.535358	-36.177673	1297.837524
5235.992005	49.795441	-38.164814	1296.201050
5235.996271	61.075394	-41.905319	1295.616577
5235.999610	66.452370	-43.249561	1295.032104
5236.002939	71.654007	-45.002922	1294.915283
5236.006189	76.914085	-46.873173	1294.564575
5236.009527	82.817062	-48.451199	1292.928101
5236.012861	87.843361	-50.146114	1291.525513
5236.016246	92.752777	-51.431911	1289.246094
5236.019552	97.486847	-53.477497	1288.427856
5236.022461	102.571594	-54.997082	1287.317383
5236.025795	107.130341	-56.575100	1287.668091
5236.029114	111.981293	-58.094681	1285.622437
5236.032433	117.942726	-59.029804	1283.810669
5236.035766	123.319695	-61.133839	1282.933960
5236.039116	127.644661	-62.770306	1281.472778
5236.042004	132.612503	-63.763882	1279.310303
5236.045333	136.879013	-65.692581	1276.446533
5236.048670	141.788422	-66.978378	1275.862061
5236.052002	146.405609	-68.205727	1274.284058
5236.055335	150.905914	-69.374634	1273.875000
5236.058695	155.172424	-70.777321	1270.075928
5236.061997	160.490936	-71.537109	1268.731689
5236.065333	164.699005	-73.348923	1266.978394
5236.068665	169.549973	-74.459381	1265.224976
5236.071999	173.874924	-75.803627	1262.945679
5236.075332	178.316772	-76.621857	1261.776733
5236.078669	182.817062	-78.316772	1258.211670
5236.082042	186.966675	-78.492111	1256.692017
5236.085337	191.057861	-79.719460	1255.639893
5236.088663	195.265930	-81.180595	1254.062012
5236.092003	199.240204	-82.232613	1250.847412
5236.095326	202.805374	-83.050850	1248.918701
5236.098660	207.422562	-83.927528	1245.762695
5236.102031	211.396835	-85.037987	1244.885986
5236.105331	214.845108	-86.499123	1243.600220
5236.108666	218.468735	-87.200470	1240.151978
5236.111997	222.326141	-88.018707	1239.099976
5236.115328	226.008179	-88.953827	1236.586792
5236.118660	229.398010	-89.772064	1234.190552
5236.121999	233.255417	-90.648743	1231.209839
5236.125323	236.469910	-91.934547	1229.690308
5236.128664	239.158386	-92.577438	1227.293945
5236.131999	242.898895	-93.921684	1225.248413
5236.135325	245.938034	-94.155464	1222.501465
5236.138662	249.561661	-95.090591	1220.280518
5236.141992	252.717712	-95.967270	1218.936279
5236.145335	256.049072	-96.960846	1215.663330
5236.148670	258.854462	-97.779076	1213.091797
5236.151994	261.776733	-99.006424	1211.689087
5236.155321	264.465240	-99.532440	1209.234375
5236.158658	266.744598	-100.000000	1206.545898
5236.163283	272.530670	-101.402687	1201.578003
5236.166179	275.394501	-101.811806	1199.123291
5236.169531	277.907654	-102.454712	1197.253052
5236.172867	281.297485	-102.980713	1195.791870
5236.176287	284.219757	-103.857399	1193.746338
5236.179609	286.206879	-104.208061	1190.999390
5236.182841	289.070740	-105.143188	1189.070679
5236.186175	291.057861	-105.376968	1187.141968
5236.189094	293.512573	-105.844536	1184.628906
5236.192413	295.733490	-106.312096	1181.531250
5236.195743	298.538879	-106.253647	1181.005249
5236.199080	300.292236	-106.954994	1177.966064
5236.202428	303.214508	-107.305672	1176.212769
5236.205792	304.792511	-107.890114	1173.407349
5236.208648	307.130341	-108.357681	1171.595581
5236.212041	309.585052	-108.766808	1171.186401
5236.215328	311.689056	-108.942139	1167.445923
5236.218653	313.676208	-108.942139	1165.575684
5236.221988	315.780243	-109.234367	1164.465210
5236.225317	317.650482	-110.052597	1161.426025
5236.228651	318.760956	-110.227943	1160.081909
5236.232014	320.514313	-110.286377	1157.627075
5236.235314	323.319702	-110.403275	1156.516602
5236.238648	324.605499	-110.578606	1154.997070
5236.241978	326.651062	-111.279953	1153.243774
5236.245314	327.703094	-111.805962	1151.198120
5236.248646	329.631805	-111.689064	1149.386353
5236.251984	330.683807	-112.098190	1147.223877
5236.255312	331.969604	-111.864410	1146.756226
5236.258649	333.839874	-112.156631	1143.658691
5236.261979	334.950317	-112.448860	1141.846802
5236.265317	336.060791	-112.331978	1140.794800
5236.268646	337.054352	-112.273529	1139.859741
5236.271984	338.924591	-112.799538	1138.281738
5236.275316	340.268860	-112.624191	1136.469971
5236.278667	340.970184	-112.974869	1136.469971
5236.281990	341.963776	-112.974869	1134.658081
5236.285311	342.489777	-112.799538	1133.723022
5236.288642	344.184692	-113.617767	1130.917603
5236.291973	344.886047	-113.559319	1129.807129
5236.295309	346.230255	-113.500885	1129.105713
5236.298648	346.990051	-113.968445	1128.287476
5236.301974	347.399200	-113.559319	1127.293945
5236.305341	348.801880	-113.617767	1125.891357
5236.308639	349.561676	-113.267097	1124.956177
5236.311978	350.847473	-113.267097	1124.430176
5236.315307	351.782593	-113.383987	1123.261230
5236.318665	352.834595	-112.799538	1122.209229
5236.321974	352.367035	-113.383987	1121.566284
5236.325302	353.068390	-112.974869	1121.332520
5236.329566	354.061951	-112.974869	1118.877930
5236.332921	355.815308	-112.916420	1118.527222
5236.336258	356.399780	-112.624191	1118.176514
5236.339488	356.399780	-112.448860	1117.416626
5236.342817	357.510223	-112.565758	1117.533569
5236.346149	357.627136	-112.215080	1117.299805
5236.349565	358.679138	-111.981293	1116.130981
5236.352840	359.029816	-111.630630	1115.195801
5236.355773	358.854462	-111.572182	1114.962036
5236.359095	359.088257	-111.572182	1115.429565
5236.362450	358.562256	-110.637054	1113.617798
5236.365736	359.672699	-110.403275	1113.267090
5236.369069	359.322021	-109.818817	1113.442383
5236.372401	360.549377	-110.052597	1114.026978
5236.375307	360.257141	-109.935715	1113.676147
5236.378662	360.257141	-109.234367	1113.091797
5236.381969	360.490936	-109.175919	1113.500854
5236.385302	360.666260	-108.416130	1114.435913
5236.388633	360.900055	-107.948563	1114.026978
5236.391974	360.432495	-107.773232	1114.435913
5236.395298	360.432495	-107.481003	1114.085327
5236.398637	360.140289	-107.013443	1114.669800
5236.401963	360.315613	-105.961433	1114.786743
5236.405303	360.023376	-105.961433	1115.838745
5236.408632	359.322021	-105.902985	1115.897217
5236.411968	359.380493	-105.493866	1116.598511
5236.415296	358.737579	-104.909409	1117.007690
5236.418671	358.328461	-104.617180	1115.780273
5236.421994	358.503784	-104.091179	1117.299805
5236.425296	358.854462	-103.214493	1118.936279
5236.428631	357.860901	-102.396263	1118.760986
5236.431969	356.750427	-102.045586	1119.520752
5236.435313	356.750427	-101.110458	1120.689697
5236.438630	355.581512	-101.168907	1122.209229
5236.441966	355.347748	-100.233780	1122.793701
5236.445301	355.113953	-100.116898	1122.968994
5236.448633	353.945068	-99.123314	1123.494995
5236.451964	353.477509	-98.947983	1123.787231
5236.455298	352.776154	-98.305084	1125.306763
5236.458626	351.899475	-98.012856	1125.949707
5236.461960	351.373444	-97.077736	1126.300415
5236.465309	350.321472	-96.025719	1127.001709
5236.468632	349.795441	-95.324371	1127.820068
5236.471961	349.620117	-95.032143	1130.040894
5236.475291	348.334320	-94.213905	1129.339600
5236.478625	347.749847	-93.454124	1131.502075
5236.481958	346.464050	-93.045006	1132.086426
5236.485310	345.178253	-91.466980	1134.365845
5236.488634	344.360016	-91.174751	1136.353027
5236.491959	343.074219	-90.590302	1137.931030
5236.496591	341.145538	-88.544708	1139.976562
5236.499479	339.976624	-88.018707	1142.548218
5236.502872	338.690826	-86.557564	1142.606689
5236.506162	337.814148	-85.797783	1144.593750
5236.509582	335.534760	-85.388657	1144.652222
5236.512891	335.184082	-84.278198	1146.347168
5236.516145	333.489166	-83.109299	1147.983643
5236.519473	332.320282	-82.407951	1150.029175
5236.522401	330.976044	-81.881943	1151.256592
5236.525707	329.105774	-80.771477	1152.717651
5236.529048	327.995331	-79.777908	1154.821777
5236.532375	325.599060	-78.842781	1155.815308
5236.535712	324.780823	-77.849213	1157.860962
5236.539072	323.495026	-77.264755	1159.088257
5236.541954	320.806549	-76.212738	1161.542969
5236.545313	319.579193	-74.985390	1161.718262
5236.548618	317.475159	-73.991814	1165.049683
5236.551969	316.072449	-72.764465	1165.750977
5236.555287	314.260681	-71.244881	1167.855103
5236.558618	312.741089	-70.718880	1170.309692
5236.561949	310.637054	-69.374634	1171.770874
5236.565290	308.474579	-68.381065	1173.933350
5236.568613	306.487427	-67.621269	1174.634766
5236.571950	303.974304	-66.101692	1178.316772
5236.575281	301.928680	-65.517242	1179.777954
5236.578617	299.590881	-64.582115	1181.940308
5236.581949	297.486847	-62.945644	1183.693848
5236.585287	295.324371	-61.484509	1185.330200
5236.588613	293.454132	-60.607834	1187.258911
5236.591948	290.940979	-59.146698	1188.544800
5236.595290	288.369385	-57.919346	1191.583862
5236.598611	286.090027	-56.808884	1193.278809
5236.601945	283.752197	-55.523087	1194.856812
5236.605283	281.531250	-54.880188	1196.727051
5236.608615	279.076538	-53.302162	1198.714111
5236.611947	276.504974	-51.841026	1200.584473
5236.615279	274.284058	-50.613678	1202.396240
5236.618613	271.537109	-48.568089	1203.915894
5236.621947	268.439514	-47.516071	1206.078369
5236.625275	266.452362	-46.347164	1208.299316
5236.628619	263.296326	-44.535358	1209.760376
5236.631975	260.607849	-42.665108	1211.922852
5236.635271	257.802460	-41.145531	1213.267090
5236.638621	255.289322	-40.327293	1215.897217
5236.641942	251.724152	-38.632378	1218.760986
5236.645273	248.918777	-37.229691	1219.696045
5236.648610	246.113403	-35.768555	1221.390991
5236.651940	243.307999	-33.606079	1223.611938
5236.655276	240.794846	-32.554062	1223.144287
5236.658605	237.638809	-31.560490	1227.118652
5236.662876	230.508469	-27.644651	1229.924072
5236.666202	226.943298	-26.300409	1231.502075
5236.669540	224.254822	-24.605494	1232.846313
5236.672794	220.689651	-23.495031	1234.599731
5236.676121	217.358276	-22.033899	1236.645264
5236.679452	213.909988	-19.871420	1237.872559
