time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
2829.186236	334.050140	-0.791896	0.064331	169
2831.208906	335.114319	-0.765377	0.065321	171
2833.256757	334.460876	-0.727448	0.069011	173
2835.315853	333.959778	-0.706495	0.068185	175
2837.366738	334.107178	-0.688568	0.065402	177
2839.407124	334.270142	-0.670936	0.062905	179
2841.447769	334.575226	-0.652651	0.061523	181
2843.489480	334.777344	-0.631167	0.060267	183
2845.531235	334.935699	-0.609677	0.058831	185
2847.578381	335.298035	-0.589374	0.057647	187
2849.625562	335.709503	-0.570614	0.056830	189
2851.665222	335.480377	-0.558921	0.057395	191
2853.697778	334.093506	-0.549497	0.057413	193
2855.719769	331.844360	-0.528707	0.056448	195
2857.759585	331.625519	-0.499294	0.050969	197
2859.827815	334.865448	-0.478092	0.046729	199
2861.881319	336.447144	-0.478221	0.051687	201
2863.899194	332.920929	-0.473687	0.053855	203
2865.925455	330.533447	-0.442796	0.047880	205
2867.994159	334.072968	-0.417591	0.041742	207
2870.053290	336.619110	-0.418108	0.046471	209
2872.074824	351.323853	-0.241151	0.100000	211
2873.113947	141.363693	-0.040023	0.100000	213
2875.162455	156.828186	-0.387418	0.044512	215
2877.187800	154.137421	-0.380561	0.043427	217
2879.203312	151.255264	-0.364199	0.041644	219
2881.244646	150.527908	-0.347952	0.040069	221
2883.290503	151.348511	-0.335717	0.038586	223
2885.342615	152.467178	-0.325707	0.037891	225
2887.399510	153.182648	-0.316040	0.037176	227
2889.451295	153.549606	-0.307563	0.036557	229
2891.489423	153.402863	-0.299111	0.035654	231
