crossing time (s)	slope (V/s)	crossing number
2829.183242	34.746286	4521
2830.184494	30.570486	4522
2831.191364	34.429836	4523
2832.300840	32.837587	4524
2833.271562	27.895725	4525
2834.328143	30.820402	4526
2835.330512	34.127545	4527
2836.297365	28.607751	4528
2837.352946	31.995431	4529
2838.348977	26.552494	4530
2839.391773	30.883973	4531
2840.433351	27.392811	4532
2841.469217	31.186318	4533
2842.430656	26.283882	4534
2843.523671	28.645179	4535
2844.494987	23.850214	4536
2845.539345	25.680299	4537
2846.529533	22.690914	4538
2847.607256	19.466100	4539
2848.567480	19.666686	4540
2849.664532	18.793817	4541
2850.609292	18.608985	4542
2851.663886	20.843183	4543
2852.689324	19.598052	4544
2853.717839	21.032408	4545
2854.689095	18.453675	4546
2855.720731	19.011245	4547
2856.767698	18.806447	4548
2857.749533	17.823833	4549
2858.818408	16.249565	4550
2859.829899	15.376666	4551
2860.815827	16.645339	4552
2861.880558	13.725751	4553
2862.860740	11.380502	4554
2863.886373	17.132804	4555
2864.955737	13.198939	4556
2865.936488	14.190918	4557
2866.994316	13.656066	4558
2868.031575	12.200921	4559
2868.998934	11.936171	4560
2870.048527	12.229743	4561
2871.040664	12.695555	4562
2872.072692	12.463178	4563
2872.619709	-3.645777	4564
2873.112434	9.374960	4565
2874.071461	8.614835	4566
2875.154571	9.156765	4567
2876.135694	10.979313	4568
2877.175119	10.290856	4569
2878.222897	8.636462	4570
2879.207717	7.859859	4571
2880.253254	8.774780	4572
2881.247660	9.517615	4573
2882.321728	9.513024	4574
2883.287279	8.648060	4575
2884.354385	7.906808	4576
2885.319441	7.583176	4577
2886.353060	4.713158	4578
2887.400597	6.702073	4579
2888.421315	6.888268	4580
2889.440738	6.908012	4581
2890.441589	7.041717	4582
2891.472972	3.996053	4583
2892.477474	6.618390	4584
