time (s)	magX	magY	magZ
4043.001739	-296.785492	-172.939804	193.220337
4043.005078	-295.090576	-171.887787	191.408539
4043.008440	-294.038574	-170.485092	189.421387
4043.011769	-293.571014	-170.134430	188.369370
4043.014656	-292.986572	-169.257751	185.914673
4043.017984	-291.993011	-168.322617	184.161301
4043.021324	-290.531860	-167.971939	182.407959
4043.024647	-289.772064	-166.978378	180.713028
4043.028019	-289.129150	-166.627701	179.310349
4043.031321	-288.194031	-165.634125	177.673874
4043.034648	-287.784912	-164.874344	175.511398
4043.037981	-287.726471	-164.231445	175.511398
4043.041332	-286.265350	-164.056107	173.524261
4043.044648	-285.622467	-163.354767	172.530685
4043.047976	-285.154877	-162.244293	171.829346
4043.051314	-284.745758	-161.601395	170.543533
4043.054649	-283.869080	-161.776733	169.666870
4043.057981	-283.635315	-161.192291	168.264175
4043.061320	-282.524841	-160.198715	166.978378
4043.064643	-282.583282	-160.374039	166.335480
4043.067976	-281.998840	-159.322037	164.640564
4043.071329	-282.174164	-159.029800	164.699005
4043.074644	-281.706604	-158.503799	165.225021
4043.077974	-281.706604	-157.860901	164.056107
4043.081314	-281.589722	-157.802444	163.237869
4043.084646	-281.765045	-157.276459	162.536530
4043.087975	-281.940399	-156.282883	162.536530
4043.091307	-280.771484	-155.756866	162.594971
4043.094734	-281.239044	-155.756866	162.302750
4043.098005	-281.180603	-154.763290	161.659851
4043.101308	-281.589722	-153.828171	161.367615
4043.104644	-281.063690	-153.652832	161.309174
4043.107977	-281.063690	-153.068375	160.958511
4043.111309	-281.180603	-152.951492	161.075394
4043.114682	-281.940399	-152.483932	160.490936
4043.117980	-282.174164	-151.665680	160.841614
4043.121311	-282.057281	-151.139694	160.315613
4043.124638	-282.466400	-150.730560	160.490936
4043.128001	-282.758606	-150.496780	160.900055
4043.131310	-283.050842	-149.970779	160.081833
4043.134641	-283.401520	-149.737000	160.490936
4043.139353	-283.343079	-147.925186	161.133835
4043.142324	-284.102875	-148.392746	161.192291
4043.145562	-285.037994	-148.158966	160.607834
4043.148909	-284.745758	-148.217422	161.426071
4043.152167	-285.447083	-147.808304	161.250732
4043.155479	-286.148437	-147.574524	161.718292
4043.158816	-286.323792	-148.042084	161.952072
4043.162170	-286.791351	-148.158966	162.711853
4043.165064	-287.258911	-148.100525	162.770309
4043.168398	-287.960266	-148.217422	164.114563
4043.171796	-288.310944	-148.275864	164.406769
4043.175083	-289.187592	-148.217422	164.640564
4043.178501	-289.304504	-147.808304	165.751022
4043.181727	-290.064301	-148.158966	166.686157
4043.185077	-291.350067	-148.042084	168.147278
4043.187962	-292.460571	-148.509644	169.725311
4043.191304	-293.161896	-148.568100	170.251312
4043.194629	-294.213928	-148.509644	172.063126
4043.197969	-295.324371	-149.094086	172.998245
4043.201297	-295.791931	-148.451202	173.582703
4043.204633	-297.253052	-148.918762	174.810059
4043.207965	-298.012848	-148.801880	176.797195
4043.211295	-299.649323	-148.860306	177.849213
4043.214647	-300.876678	-149.035660	181.005264
4043.217962	-302.454712	-149.035660	182.174164
4043.221299	-303.272949	-149.035660	183.401520
4043.224633	-304.617187	-148.392746	185.330215
4043.227963	-306.428986	-148.743423	187.784927
4043.231299	-307.773224	-148.743423	189.596725
4043.234634	-308.416138	-148.684982	191.408539
4043.237971	-310.637054	-148.334320	193.103439
4043.241296	-311.630615	-148.334320	194.915253
4043.244663	-313.442413	-148.217422	196.960846
4043.247962	-314.436005	-148.392746	199.415543
4043.251295	-316.247803	-147.749847	201.344254
4043.254631	-318.410278	-147.282288	202.922272
4043.257973	-318.702515	-148.042084	205.610748
4043.261289	-320.397430	-147.632965	207.948563
4043.264622	-322.501465	-147.457626	210.753937
4043.267960	-323.904144	-147.632965	213.500885
4043.271295	-325.657501	-147.106964	215.604904
4043.274629	-327.410858	-147.399185	218.410278
4043.277957	-329.047333	-147.574524	221.274109
4043.281291	-330.566925	-147.632965	223.728821
4043.284625	-332.203400	-147.457626	225.482178
4043.287975	-334.015198	-147.808304	228.755112
4043.291292	-336.002319	-147.808304	231.560486
4043.294622	-337.288147	-147.808304	234.365875
4043.297954	-340.210419	-147.983627	237.405045
4043.301288	-341.262421	-148.042084	240.911743
4043.304622	-342.957336	-147.808304	244.301575
4043.309255	-346.405609	-148.217422	251.490356
4043.312597	-348.743408	-147.808304	255.523087
4043.315483	-350.730560	-148.392746	258.562256
4043.318819	-352.425476	-148.392746	263.120972
4043.322162	-354.821747	-148.568100	267.387482
4043.325588	-356.984222	-148.158966	271.829346
4043.328884	-358.328461	-148.918762	275.745178
4043.332158	-361.309174	-148.801880	280.362366
4043.335049	-363.120972	-148.334320	285.037994
4043.338373	-365.225006	-147.925186	290.181183
4043.341704	-367.445953	-147.983627	294.915253
4043.345047	-369.549957	-147.457626	300.701355
4043.348405	-372.472229	-147.632965	305.143188
4043.351710	-374.225586	-147.165405	310.929260
4043.355070	-376.504974	-146.054932	315.604889
4043.357952	-378.784332	-145.470490	321.975433
4043.361282	-380.654602	-145.061356	326.125061
4043.364617	-382.875519	-144.126236	332.203400
4043.368008	-384.511963	-143.074219	338.807739
4043.371285	-386.849792	-141.729980	343.892456
4043.374622	-389.070740	-141.262421	349.678528
4043.377952	-390.765656	-140.093521	355.406189
4043.381286	-392.869659	-139.099945	361.659851
4043.384614	-395.032135	-138.106369	367.153717
4043.387954	-396.785492	-136.294571	373.173584
4043.391279	-398.597321	-135.242538	380.187042
4043.394615	-400.350677	-133.781403	387.083588
4043.397947	-402.162445	-131.852722	393.103455
4043.401282	-404.208099	-130.391586	399.766205
4043.404610	-405.201630	-128.521332	407.013458
4043.407947	-407.481018	-127.527763	412.857971
4043.411287	-408.416138	-126.008179	421.040344
4043.414608	-411.104645	-123.436584	427.352417
4043.417947	-412.273499	-121.917007	434.658112
4043.421276	-413.442413	-120.689651	442.606628
4043.424613	-414.377533	-118.059608	448.334320
4043.427940	-415.312683	-116.014030	456.224426
4043.431277	-416.540039	-113.793098	463.354767
4043.434654	-418.001160	-112.390411	470.309784
4043.437944	-418.644043	-109.760376	479.134979
4043.441305	-419.462311	-107.481003	488.252502
4043.444609	-419.403839	-105.552307	496.259491
4043.447943	-420.397430	-102.922272	505.026306
4043.451272	-421.098755	-100.759796	512.682617
4043.454611	-420.981873	-97.954407	521.449402
4043.457944	-420.514282	-94.798363	530.333130
4043.461273	-420.455872	-91.876099	538.340149
4043.464611	-420.806549	-88.778488	548.217468
4043.467942	-419.929871	-85.037987	555.990662
4043.471268	-419.228516	-82.407951	564.231445
4043.474609	-418.468719	-78.609001	573.758057
4043.479290	-416.247803	-70.894211	591.642334
4043.482201	-415.137329	-66.861488	600.116882
4043.485567	-413.150208	-61.659847	609.760376
4043.488812	-411.689087	-57.276447	618.118042
4043.492115	-409.468140	-52.425480	626.767944
4043.495456	-406.955017	-47.866745	636.645203
4043.498832	-405.669220	-42.255993	644.593811
4043.502150	-402.571594	-36.703682	652.191711
4043.505031	-399.181763	-30.917591	660.900085
4043.508394	-396.142609	-25.423729	668.614868
4043.511714	-392.226776	-19.403856	677.206299
4043.515079	-389.070740	-13.617767	683.986023
4043.518358	-385.622467	-7.188778	691.700745
4043.521699	-381.063690	-0.818235	698.655762
4043.525029	-377.557007	6.896552	707.305664
4043.527966	-372.939789	12.916424	713.910034
4043.531261	-368.322601	18.936295	721.157227
4043.534603	-363.939209	25.715956	727.995361
4043.537928	-358.562256	32.787846	735.300964
4043.541266	-352.308594	39.099941	739.918213
4043.544602	-347.340729	45.879601	747.165405
4043.547929	-341.729980	52.600819	753.477478
4043.551267	-335.826996	59.906490	759.731140
4043.554599	-329.807129	66.686150	764.231445
4043.557933	-323.261261	73.933372	769.842224
4043.561264	-316.189362	80.537697	775.920532
4043.564601	-309.234344	87.726471	780.128601
4043.567925	-302.688477	94.506142	785.505554
4043.571273	-295.149048	101.811806	789.538269
4043.574619	-287.960266	108.533028	794.447693
4043.577924	-279.661011	115.488014	798.480408
4043.581264	-272.121582	122.676804	802.162476
4043.584604	-264.289886	129.281128	805.435364
4043.587923	-256.107544	136.411453	808.357727
4043.591257	-246.990067	143.424896	811.104614
4043.594588	-238.573929	150.438339	813.442444
4043.597932	-229.047348	157.393341	816.013977
4043.601260	-220.280533	164.523666	818.293396
