crossing time (s)	slope (V/s)	crossing number
4042.628181	50.586051	8489
4043.587562	49.770222	8490
4044.605881	43.342048	8491
4045.607184	41.445050	8492
4046.709133	39.672253	8493
4047.636994	33.298569	8494
4048.772464	34.211671	8495
4049.721500	34.328104	8496
4050.841308	32.307644	8497
4051.825106	30.188552	8498
4052.843601	27.495625	8499
4053.851861	22.631890	8500
4054.854402	25.136272	8501
4055.912766	19.676636	8502
4056.935513	16.244263	8503
4057.901811	20.972191	8504
4058.980701	17.296890	8505
4059.935382	15.673961	8506
4061.003984	16.826559	8507
4062.027137	12.938245	8508
4063.105858	12.052934	8509
4064.103102	12.305158	8510
4065.114007	14.494204	8511
4066.130750	13.078446	8512
4067.201168	12.424294	8513
4068.159160	8.356576	8514
4069.295783	11.749535	8515
4070.158086	11.980958	8516
4071.229514	9.242531	8517
4072.188227	7.579878	8518
4073.291582	9.253323	8519
4074.271124	8.122474	8520
4075.340356	6.122281	8521
4076.386071	8.341837	8522
4077.436842	6.356984	8523
4078.376882	8.153606	8524
4079.448624	5.532531	8525
4080.478447	5.410446	8526
4081.489898	5.237707	8527
4082.511366	5.332183	8528
4083.506924	5.301695	8529
