time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
4042.615987	214.899796	-0.916372	0.100000	41
4044.641254	212.627380	-0.921482	0.100000	43
4046.699701	209.150482	-0.567338	0.100000	45
4048.761874	215.556763	-0.757469	0.100000	47
4050.805636	212.443939	-0.656098	0.100000	49
4052.841946	214.038757	-0.679106	0.100000	51
4054.882676	219.799850	-0.593955	0.100000	53
4056.936352	215.653214	-0.602989	0.092800	55
4058.991114	216.920914	-0.564059	0.088049	57
4061.046502	217.993164	-0.532580	0.083416	59
4063.085698	216.481796	-0.513324	0.080227	61
4065.103586	212.477249	-0.483974	0.076286	63
4067.157208	212.940247	-0.433197	0.066752	65
4069.243039	218.402893	-0.409777	0.066799	67
4071.274215	217.841385	-0.400354	0.067260	69
4073.290567	213.687668	-0.378581	0.061297	71
4075.325147	211.244919	-0.344848	0.056815	73
4077.398087	212.791443	-0.321798	0.053465	75
4079.446911	214.827393	-0.304020	0.051937	77
4081.495762	214.960403	-0.289882	0.049661	79
4083.522383	214.997223	-0.276833	0.045848	81
