time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
3999.566916	345.770264	-0.511339	0.028558	231
4001.048287	62.686367	-0.026980	0.100000	233
4002.600051	165.859421	-0.488805	0.028198	235
4004.649116	165.856476	-0.477735	0.027705	237
4006.699522	165.807953	-0.464557	0.027306	239
4008.747351	165.864288	-0.457057	0.027179	241
4010.791569	166.023712	-0.447128	0.027001	243
4012.834783	166.196259	-0.436861	0.026782	245
4014.874203	166.292831	-0.426492	0.026618	247
4016.918470	166.468399	-0.416590	0.026462	249
4018.961826	166.495819	-0.406812	0.026066	251
4020.998742	166.416443	-0.398090	0.025740	253
4023.034843	166.314743	-0.392102	0.025487	255
4025.066276	166.017639	-0.381484	0.025132	1
4027.102570	165.409225	-0.372844	0.024899	3
4029.132034	164.838501	-0.363409	0.024868	5
4031.160719	164.282135	-0.353030	0.024831	7
4033.199542	163.882034	-0.343119	0.024659	9
4035.240621	163.675659	-0.334211	0.024209	11
4037.283357	163.646683	-0.324321	0.024029	13
4039.335644	163.789917	-0.318171	0.023563	15
4041.376415	164.247604	-0.309319	0.023187	17
4043.432960	164.645493	-0.303104	0.023002	19
4045.485043	165.173279	-0.294863	0.022769	21
4047.533581	165.588989	-0.288381	0.022712	23
4049.582671	165.935257	-0.280179	0.022452	25
4051.636732	165.920715	-0.274910	0.021935	27
4053.673797	166.114227	-0.268552	0.021977	29
4055.718383	166.409195	-0.261219	0.021782	31
4057.758046	166.387863	-0.254211	0.021543	33
4059.803941	165.963745	-0.249170	0.020996	35
4061.837107	190.529846	-0.151485	0.070229	37
4062.784662	322.831696	-0.155618	0.062089	39
