time (s)	magX	magY	magZ
1690.404810	376.552887	-245.810638	814.558716
1690.408146	373.338379	-245.869080	825.897095
1690.411473	368.838104	-245.459946	836.241943
1690.414807	364.162476	-244.700180	849.508972
1690.418136	359.954407	-244.115723	858.977173
1690.421472	355.220337	-243.706589	871.659790
1690.424834	350.018677	-243.122131	882.238403
1690.428141	345.109283	-242.654572	893.927490
1690.431496	339.381653	-241.777908	905.616577
1690.434819	333.244904	-240.433655	918.182312
1690.438160	326.932770	-239.849197	927.592041
1690.441468	320.971375	-239.030975	938.930481
1690.444807	313.899475	-237.803619	950.151978
1690.448142	306.593781	-236.400925	961.373474
1690.451478	299.755676	-234.413773	972.419556
1690.454805	291.982452	-233.244888	981.537109
1690.458145	284.384552	-230.965500	992.524841
1690.461474	276.728241	-229.329056	1003.687866
1690.464805	268.312103	-227.225006	1013.740479
1690.468132	259.895966	-224.536530	1023.091797
1690.471466	251.129181	-222.549377	1033.494995
1690.474799	242.011688	-219.510239	1042.437134
1690.478132	232.426666	-216.997070	1051.203979
1690.481477	222.958496	-213.724136	1060.087646
1690.484794	213.198120	-210.158966	1068.737549
1690.488135	203.145538	-206.652252	1076.627686
1690.491470	193.618927	-203.846878	1085.336060
1690.494795	183.098785	-199.463455	1092.174194
1690.498128	172.812378	-195.898300	1099.771973
1690.502747	150.603149	-188.592621	1111.928711
1690.505651	139.849213	-184.209229	1118.416016
1690.508971	127.867912	-179.299820	1123.325439
1690.512361	116.938637	-175.734650	1128.819458
1690.515676	105.483345	-170.825241	1134.371704
1690.519072	93.618942	-165.740509	1137.761475
1690.522400	81.462303	-161.999985	1141.794189
1690.525263	70.065460	-157.032150	1143.430786
1690.528553	57.850380	-152.064285	1146.177612
1690.531889	46.161308	-147.680878	1147.288086
1690.535226	32.426651	-143.005249	1149.041504
1690.538548	20.737579	-138.680313	1151.145508
1690.541897	8.639393	-133.069550	1150.561035
1690.545219	-3.049679	-128.393921	1150.911743
1690.548161	-15.849213	-123.426064	1150.794800
1690.551457	-28.707184	-118.282875	1150.736328
1690.554793	-40.805382	-113.665695	1148.924561
1690.558123	-53.195793	-108.756287	1147.054321
1690.561458	-65.293976	-103.846870	1144.015137
1690.564796	-78.619530	-98.762123	1142.261841
1690.568183	-91.009941	-93.911163	1138.755127
1690.571465	-103.225014	-88.826416	1135.540649
1690.574790	-114.855644	-83.917007	1130.397339
1690.578128	-127.304497	-78.832260	1127.767334
1690.581455	-139.168915	-73.572182	1122.156616
1690.584793	-151.150208	-68.428986	1116.312012
1690.588123	-163.131500	-62.701347	1111.227417
1690.591495	-174.469910	-57.908821	1103.454102
1690.594792	-185.866730	-52.765633	1097.609619
1690.598121	-197.146698	-48.031559	1090.070068
1690.601460	-207.842194	-42.011688	1084.167114
1690.604784	-218.596161	-36.751606	1075.575684
1690.608119	-229.408539	-31.199299	1067.393311
1690.611452	-239.519592	-26.114552	1059.503174
1690.614790	-250.273529	-20.386908	1050.736328
1690.618126	-259.741669	-14.542373	1041.618896
1690.621460	-269.794281	-8.990064	1032.910522
1690.624788	-278.970215	-3.496201	1022.682617
1690.628119	-287.210999	1.939217	1013.331360
1690.631456	-296.270020	6.673290	1003.161865
1690.634793	-304.393951	11.465809	994.102783
1690.638113	-312.342499	16.375219	982.998230
1690.641474	-319.998840	21.109293	973.120911
1690.644793	-328.356537	25.668032	962.367004
1690.648117	-335.954407	30.518995	952.606628
1690.651451	-341.798950	34.668610	939.748596
1690.654785	-349.163055	39.344246	928.468750
1690.658114	-355.124512	44.078316	918.416077
1690.661452	-362.137939	47.585037	907.019287
1690.666083	-373.359436	54.773811	883.874939
1690.669002	-379.437775	58.806541	872.945618
1690.672325	-384.756287	61.436584	861.899414
1690.675722	-389.782593	65.527763	849.158325
1690.679115	-394.341339	68.391586	838.638184
1690.682372	-399.484497	71.489182	827.475098
1690.685624	-402.757446	74.294563	815.844482
1690.688984	-407.316223	77.509056	805.032104
1690.691875	-410.881378	79.320862	792.291016
1690.695228	-414.621887	81.950905	780.777283
1690.698547	-417.953247	84.288719	769.380493
1690.701878	-420.700165	87.327881	757.165405
1690.705218	-423.914673	89.431908	745.359436
1690.708586	-426.135590	91.652824	733.904114
1690.711443	-428.239624	93.698425	723.150208
1690.714773	-430.343689	95.217995	711.928711
1690.718126	-433.032135	97.438927	701.525391
1690.721461	-434.843964	99.718292	690.011658
1690.724776	-436.655762	101.296326	679.082397
1690.728114	-438.584473	102.231445	669.322021
1690.731441	-440.454712	104.393913	657.866699
1690.734773	-441.565186	106.556396	647.580322
1690.738109	-442.324982	107.725304	637.410828
