time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
4839.510095	40.499741	0.871145	0.100000	53
4841.548662	214.920120	-0.800994	-0.100000	55
4843.581392	218.350586	-0.832400	-0.100000	57
4845.624856	226.177521	-0.781716	-0.100000	59
4847.673180	219.328003	-0.869889	-0.100000	61
4849.720145	217.379898	-0.824870	-0.100000	63
4851.763583	212.910980	-0.923282	-0.100000	65
4853.802500	216.982422	-0.786840	-0.082687	67
4855.846305	216.750870	-0.757333	-0.081514	69
4857.896258	216.860748	-0.727808	-0.081919	71
4859.959264	217.237579	-0.702339	-0.080960	73
4862.009424	216.893295	-0.684366	-0.076712	75
4864.054763	216.462189	-0.663777	-0.073375	77
4866.098639	216.227203	-0.643715	-0.069826	79
4868.141841	216.170319	-0.622139	-0.067092	81
4870.186321	215.771790	-0.602580	-0.065232	83
4872.237984	215.439072	-0.582228	-0.063985	85
4874.283574	215.214844	-0.568556	-0.062569	87
4876.321404	215.943542	-0.556218	-0.062238	89
4878.347799	217.468613	-0.545296	-0.058375	91
4880.381573	218.684402	-0.523179	-0.053668	93
4882.419325	218.831863	-0.501983	-0.050134	95
4884.470228	218.155167	-0.484585	-0.047402	97
4886.503272	217.718979	-0.469492	-0.044963	99
4888.556901	217.543503	-0.454247	-0.042729	101
4890.598516	217.343353	-0.436805	-0.041119	103
4892.644484	216.940643	-0.421671	-0.040447	105
4894.699879	217.263992	-0.400876	-0.041181	107
4896.773046	217.417908	-0.389591	-0.039565	109
4898.827456	216.803726	-0.375432	-0.038377	111
4900.868404	216.433136	-0.363188	-0.036355	113
4902.907897	216.125397	-0.352165	-0.034523	115
4904.970240	215.766815	-0.340462	-0.033225	117
4907.016146	215.553787	-0.331567	-0.031973	119
4909.049812	215.566452	-0.325688	-0.031055	121
