crossing time (s)	slope (V/s)	crossing number
4839.482917	44.292898	9269
4840.489094	52.687525	9270
4841.565356	45.946385	9271
4842.513056	50.110770	9272
4843.584890	44.220740	9273
4844.642132	47.529740	9274
4845.589934	44.121437	9275
4846.607197	44.245662	9276
4847.705101	38.764952	9277
4848.667278	40.146821	9278
4849.748908	38.071622	9279
4850.841683	37.056855	9280
4851.753551	36.567539	9281
4852.811272	34.545445	9282
4853.772831	33.354211	9283
4854.812568	32.550915	9284
4855.854779	29.405904	9285
4856.898988	33.792118	9286
4857.887434	28.395162	9287
4858.911472	28.856831	9288
4860.012595	28.286582	9289
4860.985878	27.443514	9290
4862.019047	23.629856	9291
4862.966525	25.596737	9292
4864.062726	23.788764	9293
4865.035725	24.794715	9294
4866.099999	20.040803	9295
4867.044306	21.714686	9296
4868.152396	18.321303	9297
4869.174363	22.442003	9298
4870.165189	18.529668	9299
4871.116044	19.419315	9300
4872.260473	17.055608	9301
4873.201276	17.703243	9302
4874.316807	18.521725	9303
4875.224432	16.773593	9304
4876.325380	18.119151	9305
4877.301955	16.241173	9306
4878.309455	13.087879	9307
4879.305754	15.467437	9308
4880.400661	11.384129	9309
4881.424793	14.963582	9310
4882.426101	16.128067	9311
4883.453554	14.947505	9312
4884.529178	12.981873	9313
4885.454019	9.820114	9314
4886.428619	9.843454	9315
4887.531012	11.689480	9316
4888.611262	11.917970	9317
4889.636151	12.406468	9318
4890.623184	7.178849	9319
4891.704218	9.557432	9320
4892.673107	10.899397	9321
4893.583137	8.906184	9322
4894.643703	6.005277	9323
4895.699871	9.288109	9324
4896.818285	8.542466	9325
4897.684739	8.625783	9326
4898.804853	9.460123	9327
4899.724811	5.859309	9328
4900.844137	5.649211	9329
4901.753195	7.500412	9330
4902.836020	5.072448	9331
4903.849399	6.203562	9332
4905.007819	6.106463	9333
4905.907862	4.867139	9334
4907.053074	8.816738	9335
4907.990632	4.872491	9336
4909.041125	6.697041	9337
4909.919929	5.317725	9338
