time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
5379.088907	161.663101	-0.705659	0.088958	201
5381.126739	160.813492	-0.699359	0.088564	203
5383.158819	160.150436	-0.691086	0.088716	205
5385.196963	159.809097	-0.681433	0.088758	207
5387.236565	160.728531	-0.653454	0.100000	209
5389.278602	160.813477	-0.649775	0.100000	211
5391.322306	161.033951	-0.648952	0.100000	213
5393.363132	160.894745	-0.643943	0.100000	215
5395.405903	161.441666	-0.644845	0.087282	217
5397.445732	161.482315	-0.639286	0.086793	219
5399.483742	161.117218	-0.628544	0.100000	221
5401.523186	169.240723	-0.766938	0.100000	223
5403.563032	164.585495	-0.729482	0.100000	225
5405.601579	161.152344	-0.612566	0.085525	227
5407.640467	156.616470	-0.314362	0.100000	229
5408.641951	317.714508	-0.336903	0.100000	231
5410.679833	348.355774	-0.648635	0.100000	233
5412.720621	345.705444	-0.622372	0.100000	235
5414.761953	339.678101	-0.585091	0.084395	237
5416.800643	339.829041	-0.578661	0.084273	239
5418.843474	339.968811	-0.571174	0.084049	241
5420.886602	339.976776	-0.563943	0.084142	243
5422.931483	339.961456	-0.557747	0.083594	245
5424.974217	340.096283	-0.551698	0.082909	247
5427.014446	340.193726	-0.546462	0.082065	249
5429.049424	340.115204	-0.542778	0.081268	251
5431.083915	340.107452	-0.538874	0.080644	253
5433.117490	339.886536	-0.533264	0.080337	255
5435.152195	339.549316	-0.527417	0.079904	1
5437.189811	339.326263	-0.520791	0.079550	3
5439.224585	339.155457	-0.513729	0.079482	5
5441.262787	338.751984	-0.506222	0.079186	7
5443.302359	338.665100	-0.500564	0.078634	9
5445.337977	338.585449	-0.493096	0.078262	11
5447.378655	338.480835	-0.489422	0.077612	13
5449.416142	338.518005	-0.484971	0.077565	15
5451.458702	338.371185	-0.479750	0.077161	17
5453.495194	338.184448	-0.473502	0.076562	19
5455.533016	337.976135	-0.466758	0.075989	21
5457.576465	338.161316	-0.461333	0.075051	23
5459.617085	338.639160	-0.455196	0.074369	25
5461.660924	338.952209	-0.449516	0.073724	27
5463.702554	339.465912	-0.445310	0.073259	29
5465.748348	339.908783	-0.440236	0.073219	31
5467.788408	340.143433	-0.436486	0.073137	33
5469.832033	340.209076	-0.431914	0.073190	35
5471.868991	339.835968	-0.428904	0.073052	37
5473.904999	339.349976	-0.424714	0.072460	39
5475.939257	338.776703	-0.420097	0.072166	41
5477.967386	338.402527	-0.415394	0.071432	43
5480.012005	338.305511	-0.410467	0.070886	45
5482.042551	4.011714	-0.258144	0.100000	47
5483.070326	135.907578	-0.133463	0.100000	49
5485.111312	158.854004	-0.397352	0.069389	51
5487.160777	158.931061	-0.392221	0.069124	53
5489.190624	159.047073	-0.388878	0.068641	55
5491.230127	185.705658	-0.238341	0.100000	57
5492.230432	311.112305	-0.238131	0.100000	59
5494.271568	337.463593	-0.377704	0.067727	61
5496.307551	337.688446	-0.373488	0.067150	63
5498.352861	337.926514	-0.369096	0.066777	65
5500.398943	338.014221	-0.364486	0.066437	67
5502.439053	338.108826	-0.360839	0.066202	69
5504.484824	338.162018	-0.356234	0.065955	71
5506.521815	338.389008	-0.353148	0.065393	73
5508.560117	338.877106	-0.347918	0.065064	75
5510.607562	338.673309	-0.343742	0.064646	77
5512.645309	338.353180	-0.342083	0.063634	79
5514.675394	338.459900	-0.339257	0.063062	81
5516.714824	338.207123	-0.335390	0.062504	83
5518.743365	337.814819	-0.331612	0.061741	85
5520.770625	337.574371	-0.327190	0.061290	87
5522.803010	337.033234	-0.322156	0.061145	89
5524.838723	336.799744	-0.317933	0.060582	91
5526.873054	336.782928	-0.313571	0.060257	93
5528.912843	336.623749	-0.310327	0.059798	95
5530.452178	62.331619	-0.053302	0.100000	97
5532.010124	158.711563	-0.304836	0.058776	99
5534.056698	158.764816	-0.300917	0.058758	101
5536.092702	158.692703	-0.298576	0.058147	103
5538.132922	158.934204	-0.294497	0.057740	105
5540.169465	158.679764	-0.291417	0.057189	107
