crossing time (s)	slope (V/s)	crossing number
3883.525324	52.173210	8340
3884.550738	50.146832	8341
3885.639829	45.084087	8342
3886.647076	40.436356	8343
3887.682109	40.266406	8344
3888.617344	35.989379	8345
3889.702519	33.966943	8346
3890.659111	33.059978	8347
3891.737324	31.009990	8348
3892.719827	30.273940	8349
3893.746249	25.811043	8350
3894.759718	24.814282	8351
3895.801019	24.819100	8352
3896.844438	23.453088	8353
3897.850962	20.670309	8354
3898.911104	20.725224	8355
3899.928665	18.061058	8356
3900.889399	16.100281	8357
3901.981480	14.944200	8358
3902.974783	11.003938	8359
3904.022479	18.568771	8360
3905.047415	13.787472	8361
3906.034490	11.964726	8362
3907.009997	10.377960	8363
3908.100848	5.415806	8364
3909.150830	12.389778	8365
3910.090228	10.157899	8366
3911.118667	11.271045	8367
3912.180217	8.951087	8368
3913.137695	8.674852	8369
3914.268160	7.947895	8370
3915.173974	6.097550	8371
3916.348829	7.585231	8372
3917.273460	6.076540	8373
3918.346609	6.438804	8374
3919.285599	4.998485	8375
3920.414391	4.309324	8376
3921.246873	4.910159	8377
3922.533280	4.844390	8378
3923.333400	0.733440	8379
3924.542472	-1.080855	8380
3925.355242	6.206247	8381
3926.588267	3.951919	8382
3927.528755	1.837478	8383
3928.580122	2.427140	8384
