time (s)	det(V)
3884.047298	-0.050276	
3884.048852	0.058795	
3884.050569	-0.035657	
3884.052116	0.067794	
3884.053826	-0.052963	
3884.055360	0.027704	
3884.057086	-0.022501	
3884.058579	-0.066067	
3884.060373	-0.042727	
3884.061853	-0.078579	
3884.063632	-0.050341	
3884.065116	-0.033728	
3884.066911	0.036873	
3884.068395	-0.101971	
3884.070185	-0.012789	
3884.071676	-0.200750	
3884.073433	0.027966	
3884.074932	-0.103015	
3884.076715	-0.005823	
3884.078221	-0.109440	
3884.079956	-0.008112	
3884.081478	-0.197406	
3884.083199	0.040119	
3884.084724	-0.242044	
3884.086464	0.033586	
3884.088000	-0.197793	
3884.089707	0.047282	
3884.091258	-0.190679	
3884.092968	0.023620	
3884.094527	-0.329169	
3884.096211	0.025783	
3884.097788	-0.323630	
3884.099448	0.000368	
3884.101050	-0.282561	
3884.102705	-0.030984	
3884.104307	-0.305788	
3884.105942	-0.026739	
3884.107536	-0.285377	
3884.109155	-0.066575	
3884.110829	-0.348851	
3884.112405	-0.094648	
3884.114079	-0.321966	
3884.115668	-0.116155	
3884.117336	-0.250661	
3884.118909	-0.167416	
3884.120595	-0.239941	
3884.122160	-0.145058	
3884.123884	-0.259890	
3884.125427	-0.189382	
3884.127140	-0.246214	
3884.128673	-0.192154	
3884.130399	-0.216090	
3884.131886	-0.214084	
3884.133656	-0.236392	
3884.135156	-0.304028	
3884.136939	-0.247744	
3884.138417	-0.232727	
3884.140214	-0.199424	
3884.141696	-0.277191	
3884.143462	-0.195026	
3884.144943	-0.312624	
3884.146699	-0.178703	
3884.148226	-0.503152	
3884.149718	-0.430574	
3884.151297	-0.477169	
3884.152798	-0.280172	
3884.154449	-0.402661	
3884.155943	-0.308556	
3884.157585	-0.304882	
3884.159111	-0.357552	
3884.160745	-0.321032	
3884.162229	-0.403117	
3884.163876	-0.339465	
3884.165367	-0.444250	
3884.166987	-0.322087	
3884.168480	-0.479925	
3884.170130	-0.272929	
3884.171614	-0.559053	
3884.173206	-0.330998	
3884.174723	-0.506507	
3884.176353	-0.263040	
3884.177899	-0.491244	
3884.179504	-0.255322	
3884.181108	-0.479642	
3884.182689	-0.356175	
3884.184317	-0.534988	
3884.185854	-0.321656	
3884.187520	-0.494402	
3884.189000	-0.425143	
3884.190701	-0.506689	
3884.192181	-0.519019	
3884.193891	-0.569390	
3884.195449	-0.429007	
3884.197148	-0.533118	
3884.198707	-0.500973	
3884.200426	-0.539419	
3884.201922	-0.488549	
3884.203685	-0.589668	
