time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
5567.483102	339.907898	-0.542175	-0.100000	135
5569.522769	340.071777	-0.536451	-0.100000	137
5571.558880	340.211853	-0.531356	-0.100000	139
5573.600619	348.478973	-0.427932	-0.100000	141
5575.636279	347.644470	-0.424961	-0.100000	143
5577.675440	340.268219	-0.514042	-0.100000	145
5579.716401	340.284760	-0.509689	-0.099605	147
5581.760580	340.271179	-0.503294	-0.098451	149
5583.797167	340.137329	-0.498307	-0.097110	151
5585.833867	339.941467	-0.491859	-0.096291	153
5587.876518	339.877594	-0.486726	-0.094876	155
5589.918173	339.861481	-0.480807	-0.093427	157
5591.955756	339.758270	-0.475642	-0.092015	159
5593.993256	339.809967	-0.470253	-0.090864	161
5596.034347	339.957458	-0.466241	-0.089417	163
5598.065157	340.058350	-0.462050	-0.088098	165
5600.109051	340.584656	-0.457029	-0.086751	167
5602.138813	340.902405	-0.452949	-0.085427	169
5604.178146	341.200287	-0.447437	-0.084153	171
5606.207350	341.644012	-0.442809	-0.082736	173
5608.246281	341.885223	-0.438341	-0.081655	175
5610.282629	341.869354	-0.433248	-0.080521	177
5612.319234	341.982117	-0.427432	-0.079570	179
5614.356631	342.207245	-0.422510	-0.078418	181
5616.398015	342.263489	-0.417015	-0.077488	183
5618.434801	342.230743	-0.412850	-0.076246	185
5620.478454	342.177582	-0.408243	-0.075343	187
5622.516840	342.161285	-0.403496	-0.074199	189
5624.556599	341.871399	-0.399217	-0.073240	191
5626.599061	341.626190	-0.393443	-0.072173	193
5628.638959	341.599396	-0.389221	-0.071113	195
5630.680198	341.470764	-0.384753	-0.070341	197
5632.717841	341.277740	-0.380576	-0.069176	199
5634.764084	340.900085	-0.375746	-0.068536	201
5636.808378	340.846130	-0.372193	-0.067700	203
5638.842993	340.725494	-0.369150	-0.066807	205
5640.888519	340.471863	-0.363805	-0.066028	207
5642.924452	340.574585	-0.361399	-0.065308	209
5644.964451	340.676392	-0.358096	-0.064166	211
5647.003077	340.566559	-0.353001	-0.063323	213
5649.040846	340.463959	-0.350301	-0.062516	215
5651.071914	340.183472	-0.345872	-0.061665	217
5653.112432	340.274506	-0.341402	-0.060720	219
5655.160288	340.314545	-0.338807	-0.059804	221
5657.188845	340.235138	-0.333992	-0.058813	223
5659.226088	340.059814	-0.330678	-0.057905	225
5661.270450	340.101044	-0.325963	-0.057130	227
5663.313285	340.435211	-0.323240	-0.055902	229
5665.354674	340.214996	-0.319899	-0.055171	231
5667.385322	309.784546	-0.195071	-0.100000	233
5668.374677	182.995392	-0.159004	-0.100000	235
5670.404070	163.025345	-0.312358	-0.052897	237
5672.440183	162.751068	-0.307848	-0.052168	239
5674.480782	163.134399	-0.302152	-0.051205	241
5676.529467	163.233078	-0.299470	-0.050204	243
5678.564054	162.765137	-0.297039	-0.048980	245
5680.604058	162.667969	-0.292180	-0.048564	247
5682.644731	162.637512	-0.290168	-0.047493	249
5684.685639	162.367859	-0.285993	-0.046844	251
5686.724758	162.239456	-0.283131	-0.045917	253
5688.776407	161.871597	-0.279911	-0.045226	255
5690.814792	132.975739	-0.177096	-0.095231	1
5691.819994	11.084501	-0.068014	-0.100000	3
5693.868598	342.314026	-0.273570	-0.043564	5
5695.896807	342.172180	-0.269968	-0.042808	7
5697.947856	341.982422	-0.266870	-0.042295	9
