time (s)	magX	magY	magZ
2408.113026	382.981873	-198.002319	380.952667
2408.116368	382.280548	-197.300980	377.971954
2408.120628	381.637634	-196.307419	373.004089
2408.123983	380.936279	-195.781403	370.315582
2408.127209	380.001160	-195.196945	369.614258
2408.130547	379.825836	-194.670944	367.860901
2408.133872	379.884247	-194.787842	365.932190
2408.137239	379.358276	-194.203384	364.763306
2408.140563	379.007599	-193.852707	363.886627
2408.143507	378.890686	-194.203384	363.419067
2408.146810	378.598480	-193.502045	361.899475
2408.150149	379.007599	-192.625351	361.782593
2408.153472	377.838684	-193.209808	361.548798
2408.156780	377.488007	-192.683807	361.081238
2408.160118	378.014008	-192.625351	360.847473
2408.163458	377.838684	-193.034485	360.496796
2408.166361	377.020447	-193.268265	360.029205
2408.169694	377.137360	-193.385147	359.386322
2408.173024	377.137360	-193.560486	360.613678
2408.176355	376.494446	-193.560486	359.386322
2408.179692	376.202209	-194.144943	360.204559
2408.183023	375.968414	-194.144943	359.210999
2408.186385	375.559326	-194.904739	359.737000
2408.189692	374.857971	-194.787842	359.444794
2408.193026	374.857971	-195.021622	358.626526
2408.196355	374.624207	-195.021622	358.568085
2408.199685	374.215088	-196.015198	357.808289
2408.203023	374.215088	-195.722961	357.106964
2408.206356	373.104614	-196.424301	355.821167
2408.209688	372.870819	-196.482758	355.879608
2408.213017	372.929291	-196.950317	355.938049
2408.216355	372.812378	-197.300980	354.243134
2408.219688	372.520142	-197.125656	353.717133
2408.223018	372.286377	-197.242538	353.658661
2408.226357	372.169495	-196.950317	352.314453
2408.229691	372.461731	-197.067200	351.671539
2408.233023	371.760376	-196.599640	351.203979
2408.236358	372.286377	-197.008759	350.444183
2408.239686	371.701935	-197.008759	350.151978
2408.243022	371.818817	-196.307419	350.619537
2408.246352	372.403259	-196.307419	350.561066
2408.249684	372.578583	-196.365860	351.028625
2408.253019	372.695496	-196.073639	351.729980
2408.256349	373.104614	-196.132080	351.846893
2408.259700	373.163055	-195.839859	352.431305
2408.263020	373.279938	-195.781403	354.535370
2408.266347	374.039734	-195.255402	354.944489
2408.269682	374.390411	-195.606079	356.639404
2408.273037	374.273499	-195.489182	358.684998
2408.276360	375.793091	-196.365860	360.555237
2408.280957	376.962006	-196.599640	364.880188
2408.284316	377.604919	-196.482758	367.451782
2408.287222	378.189362	-196.891861	369.088257
2408.290596	378.306244	-197.300980	372.244293
2408.293891	379.592041	-197.593216	375.341919
2408.297272	379.182922	-198.119217	379.082428
2408.300630	380.176483	-198.820572	381.887787
2408.303886	380.877838	-199.229675	384.751617
2408.306768	380.994751	-199.580353	388.492096
2408.310096	381.637634	-200.340149	391.122162
2408.313444	382.046753	-201.275284	394.336639
2408.316771	381.871399	-201.918167	397.025116
2408.320096	382.222076	-202.210403	400.122772
2408.323440	383.507904	-202.677963	403.220337
2408.326342	383.332550	-203.671524	405.616577
2408.329678	384.033875	-204.548218	408.071289
2408.333034	384.793671	-205.132660	412.162476
2408.336342	385.085907	-206.009338	414.383392
2408.339699	385.670380	-206.126236	417.188751
2408.343008	385.436584	-206.418472	419.818817
2408.346352	385.728821	-207.587372	422.215088
2408.349677	387.131500	-207.528931	425.312683
2408.353011	387.073059	-208.347168	427.124481
2408.356337	387.248383	-209.106949	430.163635
2408.359673	387.949738	-209.282288	432.969025
2408.363003	388.300415	-209.808289	435.482178
2408.366346	388.417297	-210.275848	437.819977
2408.369675	389.177063	-210.509628	441.618927
2408.373004	390.579773	-210.860306	444.482788
2408.376359	390.930420	-210.217422	448.047943
2408.379674	391.514893	-210.684982	450.385742
2408.383006	392.216248	-210.042068	453.424896
2408.386340	393.209808	-211.444763	457.866730
2408.389668	393.502045	-210.743408	461.899506
2408.393007	393.852692	-211.035645	467.101105
2408.396339	395.080048	-211.678543	472.361206
2408.399671	395.664520	-211.210983	477.329041
2408.403001	395.898285	-211.386322	482.238464
2408.406339	396.599640	-211.736984	487.790741
2408.409693	397.885437	-212.204544	493.226166
2408.413006	398.528320	-211.736984	499.421387
2408.416330	399.638794	-212.087662	506.551727
2408.419695	400.223236	-212.555237	511.519623
2408.422999	400.690826	-212.964340	518.942139
2408.426330	400.398590	-213.256577	525.137329
2408.429667	401.041473	-213.431900	531.858521
2408.433019	400.924591	-213.957916	539.514893
2408.436331	401.859741	-214.659256	546.995850
2408.439669	401.918152	-215.419037	553.191101
2408.444354	400.983032	-215.594391	568.211548
2408.447247	400.807709	-216.704849	575.458740
2408.450600	400.866150	-216.821732	582.939758
2408.453929	400.573914	-217.523087	589.251892
2408.457278	400.047913	-218.107544	595.505493
2408.460511	398.995880	-218.341309	603.278748
2408.463848	399.872589	-218.633545	610.233765
2408.467179	398.528320	-219.451767	616.019836
2408.470112	397.943909	-219.568665	624.202209
2408.473417	397.300964	-220.211563	630.397400
2408.476785	396.190521	-220.854462	637.352417
2408.480108	395.664520	-220.562225	644.015137
2408.483445	394.729401	-221.088257	650.035034
2408.486765	394.670929	-220.854462	656.113403
2408.489696	393.911163	-220.679123	663.126770
2408.492990	393.735809	-220.503799	669.497314
2408.496331	392.391571	-220.854462	675.809448
2408.499656	392.274689	-220.562225	682.472229
2408.502990	391.105774	-220.328461	689.427246
2408.506327	389.936859	-219.568665	696.265320
2408.509662	389.001740	-218.984207	702.752747
2408.512987	388.241943	-218.575104	710.409119
2408.516326	387.482147	-217.581528	717.422546
2408.519661	386.371704	-217.406189	725.078857
2408.522987	384.501465	-216.237289	732.267639
2408.526321	383.274109	-214.308578	740.800659
2408.529655	381.345398	-214.074799	749.625916
2408.532994	379.475159	-212.087662	757.925171
2408.536321	377.780243	-211.210983	766.925781
2408.539653	375.617767	-210.392746	775.108093
2408.542988	373.396851	-208.990067	784.108704
2408.546319	370.766815	-207.353592	793.752136
2408.549721	367.902954	-206.184692	802.869629
2408.552986	364.980713	-204.431320	812.980713
2408.556318	360.947998	-203.320862	820.695435
2408.559649	357.616577	-201.918167	831.040344
2408.562989	354.285217	-199.989471	842.086426
2408.566318	349.784912	-198.703674	851.554626
2408.569651	345.810608	-197.008759	860.964355
2408.572984	341.661011	-195.313843	869.555786
2408.576352	336.284027	-193.735825	880.485107
2408.579648	331.608398	-192.216248	889.135010
2408.582986	326.815887	-190.755112	898.486267
2408.586317	321.380463	-188.709518	907.311462
2408.589654	317.113953	-187.482162	915.669189
2408.592983	310.334290	-185.728806	923.968445
2408.596321	304.957336	-183.449432	931.566284
2408.599648	299.463470	-181.929855	940.333130
2408.603903	288.300415	-178.014023	956.931641
2408.607250	282.338989	-176.026886	963.477478
2408.610613	276.611328	-173.864395	970.432495
2408.613834	271.526611	-171.994156	977.153748
2408.617168	265.389832	-168.954987	983.757996
2408.620537	259.603729	-167.376968	990.011658
2408.623854	253.934540	-164.805374	996.557556
2408.626762	247.856201	-161.999985	1002.051392
2408.630105	241.777893	-159.603745	1007.720581
2408.633426	236.050262	-156.506134	1014.149597
2408.636759	230.381073	-153.525406	1019.175903
2408.640092	223.952087	-150.486252	1024.202148
2408.643400	217.347748	-147.739319	1029.403809
2408.646741	210.860321	-144.115707	1034.371704
2408.649642	204.606659	-140.316772	1038.638184
2408.652977	197.768555	-136.459381	1044.658081
2408.656309	190.521332	-132.485092	1048.281738
2408.659641	183.566345	-128.043243	1053.366455
2408.663005	176.377563	-124.478088	1057.399170
2408.666308	168.604340	-119.919342	1061.840942
2408.669641	160.305084	-115.594391	1066.575073
2408.672973	152.531860	-111.327881	1069.555786
2408.676309	144.291046	-106.593803	1073.354736
2408.679635	135.407364	-101.976624	1077.387451
2408.682974	126.465225	-97.242546	1079.608398
2408.686310	116.880188	-92.800705	1083.582642
2408.689637	108.113388	-87.365280	1085.043823
2408.692974	98.294563	-82.455872	1088.199829
2408.696348	88.066628	-78.130920	1090.771484
2408.699646	78.364700	-72.461716	1091.122070
2408.702973	67.786087	-67.610748	1092.933838
2408.706324	58.084160	-62.701347	1094.044434
2408.709638	47.447105	-58.084160	1094.745728
2408.712972	36.284046	-53.466980	1095.213257
2408.716308	25.997662	-48.616013	1095.037964
2408.719641	15.828171	-44.115723	1094.745728
2408.722966	5.775570	-39.206314	1094.745728
2408.726304	-4.335476	-34.238457	1093.635254
2408.729639	-14.504967	-30.205727	1091.531250
2408.732971	-24.031563	-25.646990	1089.894775
2408.736306	-33.441261	-21.672707	1087.790771
2408.739630	-43.318527	-16.295732	1086.797119
2408.742970	-51.909996	-12.555231	1083.874878
2408.746300	-61.202812	-7.821157	1081.303345
2408.749632	-69.618935	-3.788427	1077.796631
2408.752963	-78.151962	-0.164816	1075.575684
2408.756302	-86.568092	4.744595	1071.367554
2408.759631	-94.399757	8.543543	1068.971313
2408.764328	-109.712440	17.427237	1061.022827
2408.767203	-116.842781	21.576857	1057.223877
2408.770489	-124.206902	25.726477	1052.781982
2408.773811	-131.804810	29.876097	1048.632324
2408.777169	-138.526001	34.493279	1044.365845
2408.780523	-145.130341	38.759796	1038.813477
2408.783906	-152.202209	43.610756	1034.605469
2408.787232	-159.332550	48.403275	1028.176392
2408.790060	-166.404449	52.552887	1023.559326
2408.793394	-172.541199	56.936295	1018.065430
2408.796718	-179.963745	62.371712	1010.993530
2408.800059	-186.684998	66.462883	1005.850342
2408.803395	-193.932190	71.255402	999.362915
2408.806721	-200.711884	76.047928	992.349487
2408.809655	-206.965515	80.255989	985.745178
2408.812958	-214.329620	84.288719	978.088806
2408.816291	-221.518433	88.555237	970.607788
2408.819627	-228.707214	92.821747	963.243713
2408.822964	-234.960846	97.146698	956.580933
2408.826292	-241.740509	101.939217	947.989380
2408.829626	-248.753967	105.913498	939.281128
2408.832957	-255.416748	110.063118	930.280518
2408.836336	-262.079468	113.686729	921.455200
2408.839621	-268.742249	117.018120	913.857422
2408.842958	-275.171265	120.641731	905.791870
2408.846294	-280.665131	124.031563	895.447083
2408.849623	-286.801880	126.486259	887.030945
2408.852990	-292.471069	129.291656	878.673279
2408.856292	-297.789612	132.389252	870.432495
2408.859627	-303.108124	134.668625	860.788940
2408.862956	-307.783752	137.649338	852.840454
2408.866301	-312.167145	139.694916	843.898254
2408.869619	-316.725891	142.324966	836.534180
2408.872956	-321.050873	143.902985	827.825806
2408.876288	-325.492706	146.123917	820.052551
2408.879622	-328.765625	147.994156	812.104004
2408.882952	-332.564606	150.156647	804.272339
2408.886288	-335.486847	151.968445	795.973022
2408.889618	-337.941559	153.488022	789.251892
2408.892950	-341.448303	155.182938	781.186401
2408.896292	-343.786102	156.760971	774.114502
2408.899622	-345.831696	157.871429	767.919312
2408.902958	-348.052612	159.858566	760.379883
2408.906282	-350.156647	161.319702	753.717102
2408.909619	-353.137360	162.605499	747.171204
2408.912950	-353.780243	165.293991	740.157776
2408.916284	-356.059631	166.930466	732.852112
2408.919627	-357.520752	168.157806	725.897095
2408.924239	-360.443024	172.073654	711.344238
2408.927183	-361.904144	173.827011	704.389221
2408.930488	-362.956207	174.995911	697.317383
2408.933914	-364.358856	176.866165	690.829895
2408.937205	-365.410858	178.385742	683.056702
2408.940550	-367.105774	179.613098	676.101685
2408.943795	-367.982483	181.308014	669.380493
2408.947133	-369.618958	182.710709	660.672058
2408.950040	-370.437195	183.996506	653.541748
2408.953372	-371.489197	184.697861	645.710083
2408.956698	-372.599670	185.749847	638.638184
2408.960035	-374.060791	186.860306	630.280518
2408.963384	-375.171234	187.620102	622.916382
2408.966734	-376.164825	188.438354	615.610718
2408.970061	-377.275269	189.841049	608.363525
2408.972949	-377.859741	190.483948	600.531799
2408.976360	-379.671539	190.542374	593.401489
2408.979614	-379.846863	191.126831	586.388062
2408.982951	-380.957336	191.009933	580.017517
2408.986277	-381.424896	191.068375	572.068909
2408.989611	-381.775574	191.360611	564.471069
2408.992937	-381.658691	191.828171	558.451172
2408.996273	-382.535370	191.126831	552.723511
2408.999606	-382.184692	191.828171	545.768555
2409.002939	-382.886047	190.893036	539.631775
2409.006279	-383.236694	191.243729	534.430115
2409.009603	-383.178284	190.893036	528.936279
2409.012937	-383.528961	191.652832	524.260681
2409.016269	-383.002899	191.009933	519.585022
2409.019636	-382.769165	190.776169	514.383362
2409.022939	-382.944489	190.893036	510.759796
2409.026283	-382.593842	191.009933	506.201080
2409.029606	-381.600250	191.009933	502.343689
