time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
6985.934676	87.582550	-0.649100	0.046994	13
6987.993563	87.766319	-0.462883	0.034332	15
6990.057719	88.125977	-0.324731	0.024930	17
6992.125046	88.679489	-0.224977	0.018169	19
6994.212951	89.586136	-0.155603	0.014082	21
6996.308792	157.316498	-0.030196	0.072735	23
6997.098812	232.741516	-0.054419	0.035935	25
6998.716935	359.134277	-0.003674	0.020818	27
7000.451644	171.223755	-0.006503	0.042083	29
7001.178272	92.213516	0.034236	-0.001656	31
7001.834881	111.169281	-0.009117	0.003280	33
