time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
7460.293309	269.555481	-0.767036	0.100000	3
7462.342302	266.645966	-0.766812	0.057831	5
7464.393889	266.437653	-0.667235	0.051882	7
7466.443260	266.493286	-0.579343	0.045003	9
7468.491460	266.624908	-0.500598	0.039198	11
7470.536281	266.696747	-0.432434	0.033789	13
7472.582722	266.738586	-0.373246	0.029376	15
7474.616819	266.303925	-0.322131	0.025483	17
7476.654881	265.510529	-0.275051	0.022356	19
7478.720393	265.928772	-0.233832	0.018023	21
7480.784413	267.417053	-0.203436	0.014680	23
