crossing time (s)	slope (V/s)	crossing number
2150.817160	43.043238	3534
2151.850133	40.717696	3535
2152.886089	42.879886	3536
2153.874134	36.393134	3537
2154.887469	40.423624	3538
2155.898173	32.287632	3539
2156.922044	39.078213	3540
2157.977761	34.392487	3541
2158.470675	-2.852450	3542
2158.944988	30.685856	3543
2159.996044	32.580860	3544
2161.016021	28.320697	3545
2162.089016	32.195332	3546
2163.057298	27.607569	3547
2164.083462	29.868177	3548
2165.071859	26.773211	3549
2166.140525	22.895276	3550
2167.141035	24.317772	3551
2168.193300	22.818269	3552
2169.202326	20.288917	3553
2170.210160	21.951959	3554
2171.201386	19.947888	3555
2172.255006	20.371020	3556
2173.299565	18.456448	3557
2174.295311	13.799990	3558
2175.297163	16.554064	3559
2176.356605	16.709235	3560
2177.325115	12.222027	3561
2178.398160	14.628747	3562
2179.396609	12.917362	3563
2180.443293	12.477102	3564
2181.450217	12.769280	3565
2182.498589	9.949306	3566
2183.494289	11.343931	3567
2184.518934	9.688654	3568
2185.549149	11.458687	3569
2186.531468	12.408438	3570
2187.589459	10.377794	3571
2188.594718	6.218311	3572
2189.660898	10.511867	3573
2190.650030	8.529272	3574
2191.681734	8.394005	3575
2192.697707	5.244971	3576
2193.686678	6.101249	3577
2194.759654	6.220659	3578
2195.761423	6.535272	3579
2196.833208	5.147930	3580
2197.740167	3.421774	3581
2198.820030	5.789318	3582
2199.826882	5.605041	3583
2200.923132	5.562187	3584
2201.868156	5.128915	3585
2202.963362	4.004804	3586
2203.871063	4.151658	3587
2204.977489	4.272677	3588
2205.996717	3.961520	3589
2207.014021	4.988325	3590
2207.990097	4.047573	3591
2209.023973	4.867069	3592
2210.083914	4.225096	3593
2211.078622	4.270735	3594
2212.105189	4.111342	3595
2213.127920	2.623140	3596
2214.150370	4.182443	3597
2215.176295	3.557028	3598
2216.199006	0.876154	3599
2217.208023	3.313689	3600
2218.256500	5.109419	3601
2219.294133	5.909677	3602
2220.278045	6.322730	3603
2221.368649	-0.859656	3604
2222.326054	6.290476	3605
2223.367761	3.889527	3606
2223.846672	1.989098	3607
