time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
2151.815601	151.945938	-0.824292	0.046655	207
2153.857264	152.115234	-0.785853	0.046173	209
2155.904594	152.111374	-0.750358	0.045354	211
2157.954210	169.107697	-0.360586	0.100000	213
2158.970877	321.154175	-0.328031	0.100000	215
2161.010122	331.818848	-0.676673	0.041816	217
2163.050320	331.706329	-0.645814	0.040632	219
2165.091426	331.662018	-0.615751	0.039916	221
2167.135950	331.473663	-0.587267	0.038850	223
2169.179520	331.303223	-0.561002	0.037764	225
2171.220532	331.172028	-0.535646	0.036555	227
2173.266413	330.984253	-0.511002	0.035473	229
2175.309119	330.871124	-0.486596	0.034188	231
2177.351539	330.816681	-0.463264	0.032781	233
2179.398989	330.958984	-0.439984	0.031374	235
2181.450638	331.342072	-0.418166	0.029989	237
2183.502371	331.980194	-0.399096	0.028912	239
2185.557927	332.529999	-0.382110	0.028403	241
2187.601196	332.551331	-0.366957	0.027934	243
2189.645823	332.067871	-0.353156	0.027472	245
2191.678549	331.332245	-0.339090	0.026516	247
2193.707946	330.593536	-0.323524	0.025611	249
2195.748452	329.949768	-0.306249	0.024603	251
2197.774208	329.733978	-0.290909	0.023248	253
2199.818158	329.739044	-0.273859	0.022429	255
2201.864527	329.969513	-0.260264	0.021205	1
2203.904655	330.495087	-0.248437	0.019998	3
2205.968789	330.904663	-0.237103	0.019262	5
2208.010496	331.278198	-0.228177	0.018537	7
2210.071918	331.513092	-0.217845	0.018267	9
2212.111362	331.408966	-0.208544	0.017466	11
2214.161090	331.361816	-0.199636	0.016830	13
2216.191891	331.201447	-0.190577	0.016134	15
2218.226669	330.945496	-0.181729	0.015562	17
2220.263789	330.591705	-0.172609	0.015057	19
2222.314437	331.022675	-0.166045	0.014193	21
2223.871307	59.996353	-0.013467	0.061556	23
