time (s)	magX	magY	magZ
7221.494973	-1.296318	351.734680	161.899475
7221.498311	-1.413208	350.448853	160.263016
7221.501644	-1.413208	348.403290	157.866745
7221.504978	-1.354763	346.123901	155.353607
7221.508340	-1.763882	344.721222	154.418472
7221.511641	-1.646992	342.208069	152.139099
7221.514974	-1.530102	341.331390	150.035065
7221.518304	-1.822327	339.402679	148.573929
7221.521668	-1.763882	338.116882	146.703674
7221.524974	-2.056107	337.006439	145.125656
7221.528306	-1.646992	335.428406	143.547638
7221.531643	-1.471653	334.551727	142.904724
7221.534969	-1.822327	333.908844	140.976044
7221.538304	-1.646992	332.739929	140.742264
7221.541638	-2.406780	331.161896	139.631790
7221.546315	-2.056107	329.525421	137.527756
7221.549235	-1.997662	328.473419	136.417297
7221.552589	-1.997662	327.947418	136.183517
7221.555874	-1.997662	327.070740	135.189941
7221.559150	-1.997662	327.421387	134.371719
7221.562482	-2.699005	326.135590	134.663940
7221.565839	-2.582115	326.194031	133.845703
7221.568726	-2.582115	325.784943	133.904160
7221.572059	-2.640560	325.025146	132.443024
7221.575397	-2.932789	324.440674	133.261246
7221.578774	-3.108124	323.914673	132.443024
7221.582111	-3.225014	324.031555	133.085922
7221.585443	-3.166569	324.557587	132.384567
7221.588351	-4.043251	323.447113	131.917007
7221.591637	-3.926357	323.096436	131.507889
7221.594980	-3.867912	323.388672	131.566345
7221.598305	-4.393921	322.862671	131.566345
7221.601633	-4.277031	322.278198	131.040329
7221.604968	-4.978374	321.985962	130.981888
7221.608305	-5.212154	322.219757	130.163651
7221.611637	-5.329048	322.044434	130.572769
7221.614962	-6.147282	321.869110	130.280533
7221.618298	-5.738163	322.278198	129.929871
7221.621635	-6.322617	321.927551	129.929871
7221.624969	-6.030392	321.927551	130.046753
7221.628295	-5.971947	322.161316	130.046753
7221.631657	-6.030392	322.044434	130.222092
7221.634966	-6.088837	322.161316	130.748108
7221.638301	-6.147282	322.395111	130.631210
7221.641625	-6.322617	322.395111	131.215668
7221.644969	-5.796608	322.161316	129.988312
7221.648296	-5.971947	322.161316	130.923431
7221.651656	-6.497955	323.271790	130.981888
7221.654962	-6.322617	324.265350	130.923431
7221.658293	-6.264172	324.849823	132.384567
7221.661634	-6.381062	324.323792	133.670380
7221.664964	-6.322617	324.908234	133.553482
7221.668287	-6.381062	326.194031	134.137939
7221.671629	-6.614845	326.778503	135.073059
7221.674986	-6.381062	327.421387	135.774414
7221.678297	-6.205727	328.590302	136.241974
7221.681626	-6.264172	329.817657	138.346008
7221.684955	-6.556400	330.460571	139.398010
7221.688294	-6.322617	331.980133	140.391586
7221.691618	-6.147282	332.681488	141.560486
7221.694955	-6.614845	334.493286	142.846298
7221.698288	-6.848625	335.194611	144.482758
7221.701624	-6.965515	337.357117	146.879028
7221.706318	-7.257744	339.870239	149.742844
7221.709266	-7.783752	341.682068	152.080658
7221.712496	-7.608414	342.909424	153.541794
7221.715807	-8.251312	344.896576	155.645813
7221.719214	-8.660431	346.240784	158.275864
7221.722495	-8.426651	348.578613	160.613678
7221.725848	-8.368202	349.279968	162.133255
