time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
5141.175870	340.307739	-0.588194	0.025971	191
5143.210999	339.953430	-0.579567	0.025856	193
5145.249186	339.755157	-0.571237	0.025684	195
5147.285865	339.813293	-0.560467	0.025547	197
5149.330936	340.050476	-0.553989	0.025267	199
5151.376172	340.353882	-0.547166	0.025206	201
5153.418928	340.707275	-0.540065	0.025377	203
5155.464625	340.767456	-0.532446	0.025693	205
5157.503749	340.772400	-0.526638	0.025895	207
5159.544659	340.761139	-0.520258	0.025834	209
5161.584126	340.656891	-0.512876	0.026189	211
5163.625868	340.477966	-0.505911	0.026160	213
5165.662711	340.262146	-0.500185	0.025947	215
5167.704229	340.202789	-0.493700	0.025766	217
5169.740112	340.171814	-0.489158	0.025658	219
5171.779777	340.222931	-0.482684	0.025568	221
5173.811808	340.227997	-0.477550	0.025352	223
5175.843732	340.229584	-0.471181	0.025209	225
5177.881758	340.256531	-0.464613	0.025488	227
5179.915476	340.188416	-0.455979	0.025759	229
5181.956419	340.121887	-0.449753	0.025546	231
5183.998088	339.996643	-0.441999	0.025916	233
5186.046814	339.785065	-0.435704	0.026018	235
5188.085463	339.750366	-0.430637	0.025889	237
5190.130671	339.791595	-0.423858	0.025587	239
5192.174926	339.745789	-0.419298	0.025045	241
5194.214634	339.863281	-0.413493	0.025644	243
5196.253499	339.950592	-0.409567	0.025128	245
5198.289303	340.152557	-0.403330	0.025469	247
5200.333580	340.048462	-0.397610	0.025407	249
5202.368173	340.154541	-0.393428	0.025058	251
5204.411947	340.166901	-0.386388	0.025206	253
5206.449747	340.289856	-0.380900	0.024777	255
5208.491801	340.346771	-0.375445	0.024689	1
5210.530832	340.412201	-0.370366	0.024920	3
5212.576218	340.331299	-0.365587	0.024724	5
5214.615445	340.401794	-0.361662	0.025027	7
5216.650529	340.328430	-0.357643	0.025083	9
5218.691763	340.122040	-0.353902	0.025190	11
5220.719087	339.843353	-0.347990	0.025012	13
5222.754835	339.476288	-0.345453	0.025042	15
5224.781212	338.922241	-0.340494	0.024954	17
5226.821000	338.554199	-0.335583	0.024778	19
5228.847349	338.393402	-0.330733	0.024420	21
5230.891923	338.419952	-0.323761	0.024285	23
5232.925316	338.459656	-0.319751	0.023994	25
5234.972688	338.748138	-0.314301	0.023548	27
5237.016970	339.012115	-0.311263	0.023586	29
5239.063216	339.358765	-0.308110	0.023360	31
5241.101409	339.450256	-0.302890	0.023504	33
5243.146799	339.524597	-0.300579	0.023348	35
5245.191724	339.606659	-0.296267	0.023506	37
5247.228227	339.593506	-0.292876	0.023283	39
5249.272399	339.444824	-0.287910	0.023385	41
5251.303424	339.228699	-0.285349	0.023212	43
5253.331658	338.999634	-0.281594	0.023023	45
5255.373848	338.923309	-0.279231	0.022758	47
5257.407161	338.888458	-0.274540	0.022810	49
5259.436033	338.941986	-0.271817	0.022471	51
5261.465965	338.957581	-0.267027	0.022679	53
5263.508908	338.642670	-0.261459	0.022567	55
5265.555524	338.670319	-0.259028	0.022531	57
