time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
1568.459213	152.517990	-0.819078	0.004522	193
1570.507550	152.764679	-0.771919	0.004737	195
1572.556638	153.019455	-0.728346	0.004837	197
1574.603604	153.151840	-0.685693	0.005318	199
1576.647690	153.182434	-0.645459	0.005525	201
1578.691941	153.087524	-0.606380	0.005520	203
1580.733086	152.988144	-0.569951	0.005319	205
1582.771173	152.900284	-0.533231	0.005275	207
1584.813029	152.847382	-0.499681	0.004948	209
1586.857902	152.748520	-0.467142	0.004954	211
1588.895682	152.790405	-0.436579	0.004858	213
1590.940310	152.867462	-0.409225	0.004740	215
1592.987290	152.902222	-0.382836	0.004789	217
1595.035705	152.820618	-0.358590	0.004694	219
1597.083076	152.794861	-0.334033	0.004453	221
1599.141074	152.679733	-0.313709	0.004308	223
1601.188968	152.447906	-0.292907	0.004024	225
1603.243700	152.162537	-0.274108	0.003772	227
1605.291190	151.938858	-0.258621	0.003565	229
1607.337649	151.818268	-0.244345	0.003441	231
1609.374005	151.801880	-0.229773	0.003504	233
