crossing time (s)	slope (V/s)	crossing number
1567.443375	45.044690	2496
1568.474240	45.895024	2497
1569.473921	40.426491	2498
1570.475199	38.064718	2499
1571.528375	35.217655	2500
1572.560519	37.752006	2501
1573.578420	37.235732	2502
1574.604290	30.413594	2503
1575.591091	31.986416	2504
1576.657541	28.027321	2505
1577.628485	25.026518	2506
1578.701187	22.215598	2507
1579.724311	23.469643	2508
1580.774622	24.379823	2509
1581.744887	20.187054	2510
1582.749602	16.486436	2511
1583.778105	18.724858	2512
1584.841072	17.458995	2513
1585.829993	15.052010	2514
1586.892718	12.198207	2515
1587.852815	15.821037	2516
1588.876190	12.386959	2517
1589.943821	11.879286	2518
1590.942552	13.411611	2519
1591.950823	8.937064	2520
1592.959969	10.075819	2521
1593.996707	11.191960	2522
1595.034545	9.472687	2523
1596.043977	9.877882	2524
1597.047893	6.082741	2525
1598.111828	5.230470	2526
1599.170292	8.024412	2527
1600.110375	6.274752	2528
1601.179056	6.080598	2529
1602.144634	6.627300	2530
1603.240026	5.183904	2531
1604.192016	7.336277	2532
1605.261793	4.786029	2533
1606.222909	5.327522	2534
1607.353691	4.904858	2535
1608.265934	3.876653	2536
1609.379925	5.251106	2537
1610.385327	2.404984	2538
