time (s)	det(V)
4096.946663	0.224991	
4096.948202	0.041444	
4096.949900	0.216575	
4096.951475	0.059310	
4096.953153	0.222542	
4096.954728	0.059733	
4096.956408	0.241753	
4096.957988	0.076769	
4096.959636	0.229265	
4096.961239	0.040071	
4096.962878	0.219021	
4096.964496	0.040385	
4096.966131	0.180997	
4096.967767	0.009395	
4096.969386	0.162826	
4096.971032	0.032618	
4096.972637	0.147240	
4096.974328	0.015973	
4096.975901	0.106965	
4096.977604	0.002382	
4096.979161	0.089232	
4096.980865	-0.034820	
4096.982420	0.042133	
4096.984101	-0.051388	
4096.985669	0.003691	
4096.987374	-0.030006	
4096.988888	-0.029623	
4096.990646	-0.054917	
4096.992137	-0.093790	
4096.993914	-0.088989	
4096.995404	-0.130654	
4096.997161	-0.121739	
4096.998661	-0.165281	
4097.000451	-0.144024	
4097.001923	-0.208489	
4097.003700	-0.156938	
4097.005185	-0.263596	
4097.006942	-0.186982	
4097.008439	-0.289531	
4097.010167	-0.237110	
4097.011690	-0.309431	
4097.013401	-0.227474	
4097.014944	-0.416096	
4097.016646	-0.300484	
4097.018198	-0.424423	
4097.019883	-0.305922	
4097.021439	-0.509215	
4097.023144	-0.336368	
4097.024717	-0.541127	
4097.026374	-0.377054	
4097.027981	-0.543673	
4097.029639	-0.402799	
4097.031229	-0.622137	
4097.032863	-0.455505	
4097.034478	-0.634379	
4097.036110	-0.498008	
4097.037754	-0.651499	
4097.039343	-0.533417	
4097.041021	-0.654331	
4097.042597	-0.563223	
4097.044285	-0.668442	
4097.045764	-0.747961	
4097.047327	-0.694977	
4097.048837	-0.759184	
4097.050468	-0.654597	
4097.051963	-0.726869	
4097.053579	-0.690912	
4097.055111	-0.810239	
4097.056662	-0.692943	
4097.058222	-0.760900	
4097.059713	-0.730261	
4097.061382	-0.780679	
4097.062882	-0.758512	
4097.064515	-0.805143	
4097.066039	-0.828351	
4097.067684	-0.762830	
4097.069179	-0.838732	
4097.070832	-0.775471	
4097.072320	-0.802593	
4097.074036	-0.763354	
4097.075520	-0.866736	
4097.077221	-0.738249	
4097.078706	-0.814078	
4097.080396	-0.754141	
4097.081878	-0.874664	
4097.083560	-0.752743	
4097.085074	-0.898020	
4097.086743	-0.757928	
4097.088277	-0.878302	
4097.089892	-0.783092	
4097.091457	-0.919922	
4097.093143	-0.742008	
4097.094712	-0.914307	
4097.096365	-0.719288	
4097.097945	-0.911153	
4097.099592	-0.774899	
4097.101213	-0.990084	
4097.102840	-0.804616	
4097.104478	-0.991550	
4097.106083	-0.827915	
4097.107739	-0.957104	
4097.109339	-0.863474	
4097.110989	-0.995187	
4097.112586	-0.870197	
4097.114270	-1.014624	
4097.115838	-0.923129	
4097.117545	-0.996408	
4097.119098	-0.982728	
4097.120810	-1.082811	
4097.122364	-1.023341	
4097.124047	-1.079190	
4097.125597	-1.048075	
4097.127328	-1.108037	
4097.128821	-1.114631	
4097.130592	-1.157722	
4097.132074	-1.186198	
4097.133838	-1.168594	
4097.135325	-1.268420	
4097.137079	-1.208358	
4097.138560	-1.297654	
4097.140337	-1.252690	
4097.141836	-1.384625	
4097.143598	-1.309707	
4097.145100	-1.410455	
4097.146836	-1.328289	
4097.148354	-1.483283	
4097.150064	-1.366691	
4097.151602	-1.484399	
4097.153314	-1.420413	
4097.154860	-1.526052	
4097.156553	-1.458009	
4097.158106	-1.526245	
4097.159782	-1.501330	
4097.161355	-1.526346	
4097.163030	-1.525318	
4097.164618	-1.526684	
4097.166262	-1.526825	
4097.167879	-1.526587	
4097.169499	-1.526805	
4097.171128	-1.526749	
4097.172765	-1.526805	
4097.174394	-1.526732	
4097.176013	-1.526898	
4097.177673	-1.526563	
4097.179248	-1.526740	
4097.180927	-1.526749	
4097.182495	-1.526869	
4097.184195	-1.526825	
4097.185750	-1.526821	
4097.187422	-1.526821	
4097.188975	-1.526893	
4097.190673	-1.526833	
4097.192203	-1.526732	
4097.193962	-1.526648	
4097.195458	-1.526857	
4097.197245	-1.526906	
4097.198721	-1.526749	
4097.200502	-1.526761	
4097.201991	-1.526865	
4097.203774	-1.526761	
4097.205266	-1.526833	
4097.207056	-1.526769	
4097.208562	-1.526825	
4097.210058	-1.526966	
4097.211638	-1.526865	
4097.213184	-1.526833	
4097.214795	-1.526849	
4097.216282	-1.526825	
4097.217919	-1.527006	
4097.219431	-1.526724	
4097.221090	-1.526910	
4097.222583	-1.526841	
4097.224219	-1.526877	
4097.225695	-1.526889	
4097.227350	-1.526954	
4097.228831	-1.526857	
4097.230461	-1.526865	
4097.231945	-1.526886	
4097.233566	-1.526861	
4097.235080	-1.526785	
4097.236741	-1.526829	
4097.238281	-1.526901	
4097.239906	-1.526805	
4097.241484	-1.526950	
4097.243081	-1.526890	
4097.244668	-1.526982	
4097.246236	-1.526885	
4097.247838	-1.526902	
4097.249381	-1.526930	
4097.251010	-1.526893	
4097.252500	-1.526817	
4097.254244	-1.526877	
4097.255800	-1.526902	
4097.257494	-1.526861	
4097.259056	-1.526853	
4097.260757	-1.526986	
4097.262316	-1.526853	
4097.264018	-1.526833	
4097.265550	-1.526906	
4097.267283	-1.526902	
4097.268774	-1.526886	
4097.270559	-1.526841	
4097.272044	-1.526889	
4097.273826	-1.526954	
4097.275306	-1.526817	
4097.277087	-1.526833	
4097.278565	-1.526926	
4097.280338	-1.526829	
4097.281842	-1.526914	
4097.283611	-1.526893	
4097.285106	-1.526902	
4097.286853	-1.526893	
4097.288371	-1.526877	
4097.290094	-1.526841	
4097.291624	-1.526982	
4097.293345	-1.526918	
4097.294891	-1.526869	
4097.296609	-1.526829	
4097.298155	-1.526930	
4097.299848	-1.526825	
4097.301413	-1.526906	
4097.303108	-1.526873	
4097.304694	-1.526857	
4097.306341	-1.526898	
4097.307936	-1.527022	
4097.309582	-1.526881	
4097.311189	-1.526950	
4097.312839	-1.526837	
4097.314449	-1.526813	
4097.316088	-1.526769	
4097.317730	-1.527010	
