crossing time (s)	slope (V/s)	crossing number
4529.120582	54.064438	8937
4530.077551	52.803480	8938
4531.079348	51.518097	8939
4532.104440	45.709132	8940
4533.156209	44.420521	8941
4534.179002	41.496165	8942
4535.260050	40.065273	8943
4536.271290	33.508560	8944
4537.243389	40.580780	8945
4538.244006	36.660344	8946
4539.310164	34.923458	8947
4540.341632	33.895162	8948
4541.306893	30.580531	8949
4542.342623	35.400119	8950
4543.400680	31.619240	8951
4544.345503	30.591087	8952
4545.412254	28.293475	8953
4546.434080	26.442633	8954
4547.475948	25.816758	8955
4548.467719	22.565061	8956
4549.561408	22.096931	8957
4550.494532	24.242973	8958
4551.558635	18.977890	8959
4552.520355	19.271521	8960
4553.711891	18.564241	8961
4554.613867	16.853348	8962
4555.712396	18.934199	8963
4556.658633	16.011785	8964
4557.745170	16.302472	8965
4558.697744	15.087594	8966
4559.707842	14.890266	8967
4560.800895	13.648019	8968
4561.755988	14.623262	8969
4562.779236	12.386293	8970
4563.890207	12.310529	8971
4564.813613	14.469684	8972
4565.922042	13.424249	8973
4566.817241	8.468126	8974
4567.941043	9.516992	8975
4568.936422	8.311750	8976
4570.008580	10.469846	8977
4570.953899	9.623715	8978
4572.010042	8.664928	8979
4572.982099	7.943157	8980
4574.045062	8.577357	8981
4575.099308	7.280932	8982
4576.059797	6.590120	8983
4577.092813	5.304903	8984
4578.122314	7.420646	8985
4579.196534	6.196672	8986
4580.266665	6.181794	8987
4581.219475	4.331876	8988
4582.215019	5.167319	8989
