time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
4625.755661	36.538208	-0.862913	0.049909	71
4627.804736	36.973476	-0.829168	0.050949	73
4629.846199	36.949123	-0.800909	0.052570	75
4631.887408	36.042084	-0.770023	0.052989	77
4633.917120	34.805614	-0.734958	0.052273	79
4635.955872	34.458340	-0.698589	0.050890	81
4637.996620	34.486988	-0.665358	0.049045	83
4640.044151	34.745224	-0.637775	0.048107	85
4642.085051	35.038052	-0.611325	0.047266	87
4644.128714	35.384312	-0.585747	0.046951	89
4646.179523	35.489109	-0.558116	0.046837	91
4648.237189	35.336739	-0.535328	0.045617	93
4650.299429	35.132977	-0.514247	0.042896	95
4652.348420	35.082302	-0.494820	0.040477	97
4654.389269	35.294235	-0.473891	0.038711	99
4656.441267	35.635979	-0.452954	0.037526	101
4658.492026	35.921967	-0.431289	0.036682	103
4660.536681	36.383030	-0.414553	0.035902	105
4662.569473	36.591805	-0.398499	0.035769	107
4664.608109	35.669418	-0.382590	0.036762	109
4666.631973	33.969158	-0.364082	0.037103	111
4668.661818	33.107864	-0.345815	0.036099	113
