crossing time (s)	slope (V/s)	crossing number
4836.875194	74.634815	2188
4837.893049	63.301736	2189
4838.895396	49.818841	2190
4839.949487	42.427426	2191
4840.981908	34.405231	2192
4842.016980	25.226359	2193
4843.023377	19.070220	2194
4844.031763	14.825919	2195
4845.089870	12.631400	2196
4846.104258	10.230379	2197
4847.100367	7.950733	2198
4848.162324	6.983334	2199
4849.177163	5.283672	2200
4850.256870	1.711584	2201
4851.216245	3.706997	2202
4852.271134	2.777792	2203
4853.299456	0.467498	2204
4854.396260	0.155054	2205
4855.342129	-0.396534	2206
4856.501981	0.541519	2207
