time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
4837.901840	213.238586	0.974965	-0.022757	141
4839.950677	33.184223	-0.776141	0.019454	143
4842.002637	33.198750	-0.611739	0.016106	145
4844.052254	33.249565	-0.479027	0.012668	147
4846.106129	33.331039	-0.373703	0.009830	149
4848.159426	33.326614	-0.289601	0.007878	151
4850.227691	33.186413	-0.224386	0.006189	153
4852.284147	32.953178	-0.172228	0.005075	155
4854.376577	32.550488	-0.131632	0.004010	157
4856.492755	32.112049	-0.099114	0.003213	159
