crossing time (s)	slope (V/s)	crossing number
1294.723330	52.328838	2148
1295.777588	46.352821	2149
1296.776460	48.183626	2150
1297.848633	43.119029	2151
1298.849683	37.674156	2152
1299.884680	37.853192	2153
1300.930595	35.359559	2154
1301.912826	29.267039	2155
1302.947509	31.002907	2156
1303.950734	27.999253	2157
1304.958373	26.124276	2158
1306.033437	27.933787	2159
1307.030892	22.140679	2160
1308.084024	24.859342	2161
1309.081180	20.702974	2162
1310.104490	22.575282	2163
1311.107317	17.955530	2164
1312.198417	18.160650	2165
1313.135099	16.055693	2166
1314.223302	19.534556	2167
1315.174880	15.165834	2168
1316.242619	16.606498	2169
1317.238260	15.304572	2170
1318.335849	12.047790	2171
1319.276370	11.562306	2172
1320.338983	10.493782	2173
